Similarity Score,Incident ID,Incident Title,Incident Description,Use Case ID,Use Case Name,Agency,Intended Purpose
0.747,531,"AI-Assisted Body Scanners Reportedly Subjected Transgender Travelers to Invasive Body Searches","Transportation Security Administration (TSA)'s use of image-processing body scanners at airports led transgender and gender-nonconforming travelers to be subjected to allegedly discriminatory and invasive searches, such as being asked to remove undergarments in private rooms by officers not of their gender.",4416,"Credential Authentication Technology with Camera System (CAT-2) and AutoCAT (CAT-2 in an e-gate form factor)","Department of Homeland Security","The Transportation Security Administration (TSA) uses AI-based, one-to-one (1:1) facial matching technologies at some checkpoints to assist human reviewers with traveler identity verification. The purpose and expected benefits of the technology include increased speed and accuracy of identity verification at the checkpoint while improving detection of imposters."
0.747,659,"Mass Surveillance Facial Recognition Program Reportedly Targets Palestinians in Gaza","In Gaza, a previously undisclosed facial recognition program by Israeli forces is reportedly conducting mass surveillance on Palestinians in the wake of the October 7th Hamas attacks. The program, utilizing Corsight and Google Photos technologies, identifies individuals from crowds and drone footage. Allegedly, the technology often incorrectly flags civilians as militants, with one pronounced case being the poet Mosab Abu Toha on November 19, 2023.",5476,"Video Surveillance System","Department of Agriculture","The purpose of this system is to conduct facial recognition video surveillance to provide enhanced security. Benefits include reduced labor hours for technicians and augmented surveillance capability.    "
0.747,173,"AI Tools Failed to Sufficiently Predict COVID Patients, Some Potentially Harmful","AI tools failed to sufficiently predict COVID patients, some potentially harmful.",5946,"Implementation of a Severe COVID-19 Risk Prediction Tool","Department of Veterans Affairs","The project seeks to implement a Severe COVID-19 Risk Prediction Tool to effectively identify Veterans at higher risk of developing severe COVID-19 symptoms through a machine-learning model to address one of the key barriers to increased vaccination offerings identified, i.e., the lack of tools for assessing risk of severe disease progression and potential vaccination benefit. It is expected by facilitating the estimated risk for severe COVID-19 progression, as well as a patient's current vaccin"
0.746,994,"AI-Enabled Organized Crime Expands Across Europe","Europol’s EU Serious and Organised Crime Threat Assessment (EU-SOCTA) 2025 warns that AI is accelerating the growth of organized crime throughout Europe. Criminal networks are leveraging AI for cyber fraud, ransomware, money laundering, and child exploitation, while AI-powered social engineering and automation are making criminal operations more scalable and harder to detect. ",4378,"Cybersecurity Threat Management, Detection, and Response","Department of Homeland Security","Machine Learning (ML) is used to analyze historical ICE cybersecurity data, create activity baselines, and detect anomalous behaviors for alerting. By integrating ML with other advanced analytics and correlation rules, AI identifies patterns indicative of security incidents, enabling SOC analysts to detect and respond to threats more quickly than previously possible."
0.746,823,"Cybercheck Tool Allegedly Provides Questionable Evidence in Murder Trials","Global Intelligence's Cybercheck AI tool, used by law enforcement to track suspects based on open source data, has allegedly been providing inaccurate or unverifiable evidence in several murder trials. Reportedly the tool lacks transparency and often produces unreliable reports, which has prompted prosecutors to withdraw Cybercheck evidence from multiple cases after its findings were challenged, reportedly wasting law enforcement time and resources while undermining prosecutors' cases.",4335,"Advanced Analytic Enabled Forensic Investigation","Department of Homeland Security","CISA deploys forensic specialists to analyze cyber events at Federal Civilian Executive Branch (FCEB) departments and agencies, as well as other State, Local, Tribal, Territorial, and Critical Infrastructure partners. Forensic analysts can utilize advanced analytic tooling, in the form of Artificial Intelligence (AI) implementations, to better understand anomalies and potential threats. This can be further supported by the development of AI-assisted agents. Analysts can interact with such agents"
0.746,1016,"Jailbroken Lovable AI Allegedly Used to Generate and Host Phishing Pages, Steal Credentials, and Bypass Security","The generative AI platform Lovable, which is used for building web apps, was reportedly jailbroken to create and host full phishing campaigns. These campaigns allegedly included credential-harvesting login pages, evasion techniques, and real-time exfiltration via services like Telegram and Firebase. The AI system was reportedly used for generating the phishing content and and then deploying it live on a URL hosted under its own subdomain.",6009,"Advanced Threat Protection","Tennessee Valley Authority","Protecting against attackers and exploitations means testing using the same strategies that adversaries use. Leveraging billions of data points across operating systems, mail flow, and identity patterns, mathematical and probabilistic based decisions can be made to mitigate and even completed remove threats to the organization. ML and AI technology help reduce phishing emails, malware spread, leveraging compromised accounts, and further promote visibility to threats."
0.746,26,"Hackers Break Apple Face ID","Vietnamese security firm Bkav created an improved mask to bypass Apple's Face ID",5291,"Enable Face ID to unlock M365 apps on Government iPhone and iPad","Department of the Treasury","Improve Ease of use for customer accessing Org Data in M365 apps and TEAMS on government iPhone and IPad.Customers would no longer need to continuously input Password into the M365 apps if Face ID is enabled. https://support.apple.com/en-us/102381"
0.745,896,"Alleged Misuse of Facial Recognition Technology by Law Enforcement Reportedly Leading to Wrongful Arrests and Violations of Investigative Standards","Law enforcement agencies across the U.S. have allegedly been misusing AI-powered facial recognition technology, leading to wrongful arrests and significant harm to at least eight individuals. Officers have reportedly been bypassing investigative standards, relying on uncorroborated AI matches to build cases, allegedly resulting in prolonged detentions, reputational damage, and personal trauma.",4424,"Case Processing Improvements in FDNS-DS NexGen","Department of Homeland Security","In the future, USCIS may consider using artificial intelligence (AI) / machine learning (ML)  FDNS-DS NexGen or other systems  may data from other applications for FDNS-DS NexGen or other systems to aid in investigative work, enhance investigative case prioritization, and detect duplicate case work. USCIS may consider and explore investigating whether it would be useful to integrate AI/ML into the predictive modeling for potential future system enhancements, also integrate AI/ML into the predict"
0.745,268,"Permanent Removal of Social Media Content via Automated Tools Allegedly Prevented Investigative Efforts","Automated permanent removal of violating social media content, such as terrorism, violent extremism, and hate speech, without archival has allegedly hindered the potential use of this content for investigating serious crimes and hampered efforts in criminal accountability.",5361,"Identifying harmful social media content in Sinhala and Tamil","United States Agency for International Development","The activity will develop AI tools that can identify hate speech online, and to design various counter-measures, ranging from streamlined mechanisms to report such content to crafting counter-narratives that can mitigate the negative effects on targeted communities"
0.745,693,"Google AI Reportedly Delivering Confidently Incorrect and Harmful Information","Google's AI search engine has reportedly been providing users with confidently incorrect and often harmful information. Reports highlight numerous inaccuracies, including misleading health advice and dangerous cooking suggestions. For example, it has falsely claimed Barack Obama as the first Muslim U.S. President, reflecting fringe conspiracy theories, or recommending that glue can be an ingredient in pizza.",5011,"Information Search from Google","Department of Health and Human Services","Google's search engine provides AI-assisted techniques to process search requests efficiently. "
0.745,1104,"AI Chatbot Allegedly Used to Research Explosive Materials in Palm Springs Fertility Clinic Bombing","An unnamed AI chatbot was reportedly used by Guy Edward Bartkus and Daniel Park, the perpetrators of the 2025 Palm Springs fertility clinic bombing, to research explosive materials and optimize fuel mixtures. Records show the chatbot responded to queries related to ammonium nitrate fuel oil (ANFO) composition. The bombing resulted in one death, four injuries, and significant structural damage.",5074,"Chatbot for researchers to find data sets for environmental health research efforts","Department of Health and Human Services","This project is focused on the use of large language models and chatbot technology to provide a way for researchers to find data sets of relevance for environmental health research efforts.  The primary objective is providing a tool that aids researchers in finding useful resources, specifically data sets, thus benefitting research efforts in finding the best data to use quickly."
0.744,827,"AI Transcription Tool Whisper Reportedly Inserting Fabricated Content in Medical Transcripts","OpenAI's AI-powered transcription tool Whisper, used to translate and transcribe audio content such as patient consultations with doctors, is advertised as having near “human level robustness and accuracy.”  However, software engineers, developers and academic researchers have alleged that it is prone to making up chunks of text or even entire sentences and that some of the hallucinations can include racial commentary, violent rhetoric, and even imagined medical treatments.",6229,"Veritone Illuminate","Department of Justice","Purpose: The purpose of the AI software (Veritone) is to transcribe or translate recordings into speaker separated conversations.  Expected benefits: Using Veritone’s AI transcription is expected to save OPR substantial amounts of money compared to our prior, routine use of court reporters to transcribe audio recordings of investigative interviews.  In addition, human transcription of OPR’s audio recorded interviews typically has a two to three week turnaround to receive the transcripts back fro"
0.744,1210,"Malicious Nx npm Packages Reportedly Weaponize AI Coding Agents for Data Exfiltration","Malicious versions of the popular Nx monorepo tool and plugins were reportedly published to npm after attackers compromised its CI workflow. The malware's postinstall script reportedly harvested credentials and exfiltrated data, reportedly weaponizing local AI coding agents such as Claude Code, Gemini, and Amazon q. By invoking unsafe flags, it allegedly coerced the tools into scanning developer machines for sensitive files, marking one of the first known AI-assisted supply chain attacks.",4332,"Malware Reverse Engineering","Department of Homeland Security","This use case delivers improved internal government tools for reverse engineering of malware and speeding the development of cyber threat intelligence that can be shared across the government and with CISA partners.  Threat actors can leverage the same malware for long periods of time, so having the ability to improve analysis and generation of shareable cyber threat intelligence forces threat actors to spend more resources generating new malware. Machine learning and other analytical tools are "
0.743,252,"Remotely Operated Taser-Armed Drones Proposed by Taser Manufacturer as Defense for School Shootings in the US","Axon Enterprise considered development of remotely operated drones capable of tasering at a target a short distance away as a defense mechanism for mass shootings, despite its internal AI ethics board’s previous objection and condemnation as dangerous and fantastical.",6114,"Drone Technology","Department of Justice","Purpose: DEA has a mission to protect communities and save lives. Drone technology uses AI for autonomous navigation and obstacle avoidance. The purpose of this use case is to enable more proficient drone operation and to support agent safety.   Expected benefits: This use case supports human drone operators and pilots in deploying drones. It reduces resources and allows trained drone operators to focus on real-time operational needs."
0.743,11,"Northpointe Risk Models","An algorithm developed by Northpointe and used in the penal system is two times more likely to incorrectly label a black person as a high-risk re-offender and is two times more likely to incorrectly label a white person as low-risk for reoffense according to a ProPublica review.",6182,"Prisoner Assessment Tool Targeting Estimated Risk and Needs (PATTERN)","Department of Justice","Purpose: This tool, developed by OJP, uses pre-defined rules to score an inmate's recidivism risk level.  Expected benefits: PATTERN provides a standardized approach to calculating a recidivism risk level."
0.743,173,"AI Tools Failed to Sufficiently Predict COVID Patients, Some Potentially Harmful","AI tools failed to sufficiently predict COVID patients, some potentially harmful.",5324,"Serbia: AI predictions for the utilization of hospital beds","United States Agency for International Development","AI technology was used to predict bed occupancy at hospitals with MoH data from 2019, with an overall median error by department around 20%. This was a proof-of-concept model developed at the request of the Institute of Public Health (IPH) Batut to understand how AI can work and the value add. CHISU was asked to subsequently focus on a different use case (waiting list optimization for scheduled imaging diagnostics services, specifically CT and MRI), which is considered higher priority to demonst"
0.743,1016,"Jailbroken Lovable AI Allegedly Used to Generate and Host Phishing Pages, Steal Credentials, and Bypass Security","The generative AI platform Lovable, which is used for building web apps, was reportedly jailbroken to create and host full phishing campaigns. These campaigns allegedly included credential-harvesting login pages, evasion techniques, and real-time exfiltration via services like Telegram and Firebase. The AI system was reportedly used for generating the phishing content and and then deploying it live on a URL hosted under its own subdomain.",5623,"Phishing Email Identification","Federal Housing Finance Agency","Knowbe4 PhishER is a tool to report and manage suspicious emails. This tool use ML and AI to analyze suspicious emails to identify if the email is spam, phishing, or malicious. The primary benefit of this tool is to automate responses without requiring human intervention to analyze each email that end users identify as suspicious."
0.742,267,"Clearview AI Algorithm Built on Photos Scraped from Social Media Profiles without Consent","Face-matching algorithm by Clearview AI was built using scraped images from social media sites such as Instagram and Facebook without user consent, violating social media site policies, and allegedly privacy regulations.",5394,"Using AI to detect information manipulation","United States Agency for International Development","To detect narratives and trends in social media alterations of images and video in order to identify information manipulation."
0.742,744,"AI Work Assistants Require More Effort Than Expected, CIOs Say","AI work assistants, such as Copilot for Microsoft 365 and Gemini for Google Workspace, are proving to be more labor-intensive than anticipated for enterprises. CIOs report that these AI tools struggle with outdated or inaccurate data, leading to incorrect outputs. Companies are finding they must invest heavily in data management to ensure reliability. This added effort has led to delays in deployment and frustration, as businesses work to maximize the potential of these expensive AI tools.",4844,"Use of AI tools within the Agency’s instance of ServiceNow","Environmental Protection Agency","ServiceNow is used as the Agency’s primary service desk management system for resolving incidents, problems, change controls, knowledge management, inventory of systems and software including the central Configuration Management Datbase (CMDB).  Employees and IT professionals rely on this platform to obtain service, submit incidents, obtain reports and trends, and plan workloads and priorities to solve problems.  Our proposed use of AI tools is limited in scope the Agency’s existing security bou"
0.742,636,"AI Romance Apps Reportedly Compromise User Privacy for Data Harvesting","AI-powered romantic chatbots, marketed for enhancing mental health, are found to exploit user privacy by harvesting sensitive personal information for data sharing and targeted ads, with inadequate security measures and consent protocols, according to research by the Mozilla Foundation.",5209,"Therapy Chatbot - Text-Based Mental Health Support for SSA Employees","Social Security Administration","This AI use case is a therapy chatbot that employees can access on their own personal devices."
0.742,1125,"Reported Use and Circulation of AI-Generated Misinformation and Fake Victim Visuals After Air India 171 Crash","Following the June 12, 2025 crash of Air India Flight 171, bad-faith actors reportedly used generative AI to produce fake videos and images misrepresenting victims and dramatizing the event. These AI-generated fakes spread widely on social media during the investigation delay, reportedly confusing even aviation professionals and misleading the public. Experts warned that the misuse exploited the grief of victims' families and amplified misinformation about the tragedy.",5394,"Using AI to detect information manipulation","United States Agency for International Development","To detect narratives and trends in social media alterations of images and video in order to identify information manipulation."
0.742,613,"AI-Generated Images Available through Adobe Stock Misrepresent Real-World Events","AI-generated images available through Adobe Stock, depicting realistic but fictional scenes of real-world events like wars and protests, have raised significant ethical concerns. These images blurred the lines between reality and fiction in journalistic contexts, prompting Adobe Stock to ""crack down on AI-generated images that seem to depict real, newsworthy events and take new steps to prevent its images from being used in misleading ways.""",6024,"Adobe Suite Applications","Department of Justice","Purpose: Adobe Suite products support the Bureau of Alcohol, Tobacco, Firearms and Explosives (ATF) in enhancing the quality and efficiency of multimedia content handling within their operations. The out-of-the-box artificial intelligence features included in these Adobe applications assist in tasks like image enhancement, optical character recognition (OCR), content-aware editing, and document formatting. These AI capabilities enable ATF to prepare high-quality documents and multimedia files fo"
0.741,240,"GitHub Copilot, Copyright Infringement and Open Source Licensing","Users of GitHub Copilot can produce source code subject to license requirements without attributing and licensing the code to the rights holder.",4450,"GitHub Copilot for Code Modernization","Department of Commerce","Accelerate and improve the quality of code modernization projects at BEA"
0.741,690,"ISIS Utilizes AI for Propaganda Videos in News Harvest Program","ISIS supporters have created an AI-generated media program called News Harvest to disseminate propaganda videos. The program produces near-weekly broadcasts featuring AI-generated news anchors discussing ISIS operations globally, using cheap and easy-to-use AI tools. This development showcases the use of AI as a powerful propaganda tool for extremist groups.",4397,"MiX Indicators","Department of Homeland Security","Online news and other open-source media can be used to quickly detect and respond to emerging health security threats. However, it is not practical for people to read and scan all online news stories every day for key terms. AI/ML makes it possible to read, digest and organize news stories to look for key threat terms. AI/ML will also be used to predict normal trends in news stories. This makes it possible to detect when an unusual number of health security threat terms are found in the news. Th"
0.741,1104,"AI Chatbot Allegedly Used to Research Explosive Materials in Palm Springs Fertility Clinic Bombing","An unnamed AI chatbot was reportedly used by Guy Edward Bartkus and Daniel Park, the perpetrators of the 2025 Palm Springs fertility clinic bombing, to research explosive materials and optimize fuel mixtures. Records show the chatbot responded to queries related to ammonium nitrate fuel oil (ANFO) composition. The bombing resulted in one death, four injuries, and significant structural damage.",5833,"VA.gov Chatbot: Use of AI for summative and/or intent classification of Va.gov content","Department of Veterans Affairs","The VA.gov Chatbot currently uses Natural Language Understanding (primarily driven by Microsoft Power Virtual Agents (PVA) and Custom Question Answer (CQA)) to interpret Veterans' intent and match it to responses within the knowledge base.  The future state vision for the VA’s chatbot solution involves leveraging advanced AI services and capabilities to increase the breadth of questions that the Chatbot will be able answer, to improve the accuracy of each answer, and in cases of necessary channe"
0.741,810,"TikTok Network Amplifies AI-Generated Nazi Propaganda and Hate Speech","A coordinated neo-Nazi network on TikTok used AI-generated media, including Hitler speeches, to spread Nazi propaganda and extremist content, violating TikTok’s hate speech policies. The network evaded platform moderation through coded language, imagery, and music, with some accounts accumulating millions of views. TikTok’s algorithm further amplified the reach of this content, despite community guidelines.",5361,"Identifying harmful social media content in Sinhala and Tamil","United States Agency for International Development","The activity will develop AI tools that can identify hate speech online, and to design various counter-measures, ranging from streamlined mechanisms to report such content to crafting counter-narratives that can mitigate the negative effects on targeted communities"
0.741,1108,"Digital Rights Groups Accuse Meta and Character.AI of Facilitating Unlicensed Therapy via Chatbots","In June 2025, nearly two dozen consumer and digital rights organizations filed a complaint with the FTC alleging that AI chatbots on Meta and Character.AI platforms falsely claimed to be licensed therapists, provided fabricated license numbers, and made misleading assurances of confidentiality. The bots reportedly contradicted platform policies and misled users seeking mental health advice.",5209,"Therapy Chatbot - Text-Based Mental Health Support for SSA Employees","Social Security Administration","This AI use case is a therapy chatbot that employees can access on their own personal devices."
0.740,103,"Twitter’s Image Cropping Tool Allegedly Showed Gender and Racial Bias","Twitter's photo cropping algorithm was revealed by researchers to favor white and women faces in photos containing multiple faces, prompting the company to stop its use on mobile platform.",5374,"Twitter trend analysis in Colombia","United States Agency for International Development","This system uses artificial intelligence through a control dashboard, presenting a counter of retweets in the last hour with gender classification, topic classifier, georeferencing, sentiment trends, and emotion analysis in tweets. This application is designed as a measure to counteract misinformation and promote transparency on social media. In the framework of promoting transparency, access to information, and open government as paths to combat corruption, the product will develop several Mach"
0.740,896,"Alleged Misuse of Facial Recognition Technology by Law Enforcement Reportedly Leading to Wrongful Arrests and Violations of Investigative Standards","Law enforcement agencies across the U.S. have allegedly been misusing AI-powered facial recognition technology, leading to wrongful arrests and significant harm to at least eight individuals. Officers have reportedly been bypassing investigative standards, relying on uncorroborated AI matches to build cases, allegedly resulting in prolonged detentions, reputational damage, and personal trauma.",4449,"Criminal Investigations (OBIM)","Department of Homeland Security","The intended purpose of this AI is so that USSS INV personnel may submit available photographs or video stills of these unknown persons as probe images (facial images or templates searched against the gallery of an FRS) to other government agencies for comparison against their image galleries. The agencies will query their image galleries of known persons and may provide lists of potential matches. USSS INV personnel may use the potential matches to produce investigative leads which will assist "
0.740,803,"Facebook's Algorithm Reportedly Amplifies AI-Generated Content, Fueling Misleading Posts","AI-generated spam images are increasingly filling Facebook feeds, with the platform’s algorithm reportedly amplifying these posts. Many of these images are bizarre, fake, and used in scams, misleading users into engaging with non-existent products or clickbait. ",5394,"Using AI to detect information manipulation","United States Agency for International Development","To detect narratives and trends in social media alterations of images and video in order to identify information manipulation."
0.740,1103,"Purported DOGE Contract Review Tool Cited in Reports of AI-Driven Misjudgments in VA Budget Cuts","A purported AI tool using LLMs was deployed to classify Veterans Affairs contracts as expendable based on limited text and simplified criteria. The system allegedly produced hallucinated values and flagged critical healthcare and research services for cancellation. Reportedly, at least two dozen flagged contracts were later terminated.",5923,"Automated Decision Support","Department of Veterans Affairs","Intake of VA Claims materials as well as other Veteran, VSO, and stakeholder submissions results in contentions which are prescribed as eligible.  The platform ingests and takes initial actions on claims and contentions (largely those impacted by the PACT Act) which include medical record retrieval, review of the VBMS eFolder, generates a summary review document, drafting or submitting contract examination requests via robotics process automation (RPA), and/or changing the claim status to Ready "
0.740,637,"Gunshot Detection Technology ShotSpotter (now SoundThinking) Reportedly Only Has 47% Accuracy in Chicago System","SoundThinking's (formerly ShotSpotter's) system in Chicago, with a reported 47% accuracy rate for detecting actual gunshots, led to potential public safety risks by failing to alert police to real shootings, possibly delaying emergency response to violent incidents and misdirecting law enforcement resources.",6104,"Data & Analytics: Gunshot Detection System ","Department of Justice","Purpose: DEA is a data-driven organization that integrates data and analytics capabilities across its mission. The purpose of this use case is to utilize a sensor system to detect gunshots for physical security. This system is not for operational matters.   Expected benefits: To assist DEA with protecting DEA employees in the event of an active shooter."
0.740,744,"AI Work Assistants Require More Effort Than Expected, CIOs Say","AI work assistants, such as Copilot for Microsoft 365 and Gemini for Google Workspace, are proving to be more labor-intensive than anticipated for enterprises. CIOs report that these AI tools struggle with outdated or inaccurate data, leading to incorrect outputs. Companies are finding they must invest heavily in data management to ensure reliability. This added effort has led to delays in deployment and frustration, as businesses work to maximize the potential of these expensive AI tools.",5588,"AI-driven Workflow Automations to Improve Business Operations","Federal Deposit Insurance Corporation","Working with vendor software on some AI capabilities for use in the future.  There are various AI capabilities that may come available in a vendor's software (Generative AI to support human interactions, Intelligence chatbot, etc.) Human Resources (HR) is specifically looking at AI driven workflow automation to improve business operations."
0.739,637,"Gunshot Detection Technology ShotSpotter (now SoundThinking) Reportedly Only Has 47% Accuracy in Chicago System","SoundThinking's (formerly ShotSpotter's) system in Chicago, with a reported 47% accuracy rate for detecting actual gunshots, led to potential public safety risks by failing to alert police to real shootings, possibly delaying emergency response to violent incidents and misdirecting law enforcement resources.",6051,"ShotSpotter (via access to external state/local systems)","Department of Justice","Purpose: This capability is not provided or managed by ATF. State and local partner law enforcement agencies provide access to a limited number of ATF staff.  Expected benefits:  Rapid detection of gunshots, which can help to decrease the time to respond to a violent crime."
0.739,76,"Live facial recognition is tracking kids suspected of being criminals","Buenos Aires city government uses a facial recognition system that has led to numerous false arrests.",5476,"Video Surveillance System","Department of Agriculture","The purpose of this system is to conduct facial recognition video surveillance to provide enhanced security. Benefits include reduced labor hours for technicians and augmented surveillance capability.    "
0.739,264,"AI-Based Vehicle Speed Estimation App Denounced by UK Drivers as Surveillance Technology","Speedcam Anywhere, an app allowing users to document and report traffic violations via AI-based videographic speed estimation of a vehicle, raised concerns for UK drivers about its capabilities for surveillance and abuse.",6060,"Motorola Solutions - Vigilant-LEARN","Department of Justice","Purpose: The purpose of the AI use case in Motorola Solutions Vigilant-LEARN is to process and interpret vehicle-related data, such as license plate information, more efficiently. Through AI-driven pattern recognition and automated alerts, this tool helps distinguish significant vehicle movements from routine traffic, minimizing manual tracking efforts. This improves operational efficiency, supports timely detection of noteworthy patterns, and enhances decision-making. In turn, this tool reduces"
0.739,163,"Facebook’s Hate Speech Detection Algorithms Allegedly Disproportionately Failed to Remove Racist Content towards Minority Groups","Facebook’s hate-speech detection algorithms was found by company researchers to have under-reported less common but more harmful content that was more often experienced by minority groups such as Black, Muslim, LGBTQ, and Jewish users.",5361,"Identifying harmful social media content in Sinhala and Tamil","United States Agency for International Development","The activity will develop AI tools that can identify hate speech online, and to design various counter-measures, ranging from streamlined mechanisms to report such content to crafting counter-narratives that can mitigate the negative effects on targeted communities"
0.739,76,"Live facial recognition is tracking kids suspected of being criminals","Buenos Aires city government uses a facial recognition system that has led to numerous false arrests.",4371,"Facial Recognition Service","Department of Homeland Security","The Facial Recognition Service is used during investigations conducted by Homeland Security Investigations (HSI) agents and analysts for identification of known individuals, as well as extracting faces for further investigations from perpetrators including child exploitation offenses, human rights atrocities, and war criminals.  This is a DHS HSI Innovation Lab/RAVEn project. The Repository for Analytics in a Virtualized Environment (RAVEn) facilitates large, complex analytical projects to suppo"
0.739,186,"Algorithm Assessing Risk Faced by Victims of Gender Violence Misclassified Low-Risk Cases, Allegedly Leading to Homicide of Women and Children in Spain"," In Spain, the algorithm that assesses recidivism risk in gender violence, VioGén, have critically underestimated the level of risk in a series of cases that ended in homicide of women and children since its first deployment.",5360,"Natural Language Processing to detect gender-based violence in Kenya","United States Agency for International Development","This tool will detect patterns of technology-facilitated gender based violence (TFGBV), provide early identification of potential threats, and facilitate automatic and anonymous reporting.  The grantee is planning to employ machine learning algorithms for pattern detection, natural language processing (NLP), computer vision, and sentiment analysis."
0.739,735,"AI-Enabled Fraud Schemes Reportedly Increasing Consumer Harm and Challenging Detection","Scammers are reportedly using AI tools such as language models, voice cloning, and synthetic IDs to create more convincing frauds, leading to financial losses and identity theft. Banks have begun deploying AI-driven verification tools to counter these schemes, but experts warn that AI-enabled fraud continues to cause real-world harm and remains difficult to detect.",5346,"AI Pilot- Detection of data exfiltration","United States Agency for International Development","The AI Pilot Project was developed to demonstrate the use of AI at USAID through the detection of security events and anomalies in network data. While existing cybersecurity measures catch some attacks, it is highly likely that many are sneaking by undetected, either disguised as benign traffic or simply unnoticed in the mass of data. The objective of the AI Pilot was to develop an in-house capability to detect previously undetected anomalous actors, trends or events in network data through the "
0.738,1172,"Meta AI Bug in Deployed Service Reportedly Allowed Potential Access to Other Users' Prompts and Responses","A security researcher reported a vulnerability in Meta AI's deployed chatbot service that, under certain conditions, could allow an unauthorized user to view another user's prompts and AI-generated responses. The flaw reportedly involved guessable prompt IDs and insufficient server-side authorization checks. Meta reportedly fixed the issue in January 2025 and found no evidence of malicious exploitation, awarding the researcher a bug bounty.",5346,"AI Pilot- Detection of data exfiltration","United States Agency for International Development","The AI Pilot Project was developed to demonstrate the use of AI at USAID through the detection of security events and anomalies in network data. While existing cybersecurity measures catch some attacks, it is highly likely that many are sneaking by undetected, either disguised as benign traffic or simply unnoticed in the mass of data. The objective of the AI Pilot was to develop an in-house capability to detect previously undetected anomalous actors, trends or events in network data through the "
0.738,787,"Deepfake ID Sales Persist as OnlyFake Relaunches with New Fraud Tools","Researchers from Au10tix discovered the relaunch of OnlyFake, a site offering AI-generated fake IDs. Despite an earlier takedown, the site reemerged with disclaimers and new tools, including handwritten signature generation. These fakes are challenging biometric verification systems and are reportedly being used to perpetuate fraudulent activity.",5253,"Deepfake Detector","Department of State","Deep learning model that took in an image containing a person's face and classifies the image as either being real (contains a real person's face) or fake (synthetically generated face, a deepfake often created using Generative Adversarial Networks). This project is retired."
0.738,277,"Voices Created Using Publicly Available App Stolen and Resold as NFT without Attribution","An AI-synthetic audio sold as an NFT on Voiceverse’s platform was acknowledged by the company for having been created by 15.ai, a free web app specializing in text-to-speech and AI-voice generation, and reused without proper attribution.",5174,"AI voice over","National Science Foundation","Commercial-off-the-shelf (COTS) - The AI system was purchased pre-built from a third-party, Wellsaid has been used to generate placeholder voice over, which will be replaced later by real voice over, so it doesnt cause much AI policy concerns.  "
0.738,742,"Grok AI Model Reportedly Fails to Produce Reliable News in Wake of Trump Assassination Attempt","xAI's model Grok, intended to automate news delivery on the X platform, is reported to have struggled to provide accurate information during the attempted assassination of former President Donald Trump. Grok apparently issued incorrect headlines, including false reports about Vice President Kamala Harris being shot and misidentifying the alleged shooter. These errors show the pitfalls of relying on AI for real-time news aggregation, as it allegedly amplified unverified claims and failed to recog",4397,"MiX Indicators","Department of Homeland Security","Online news and other open-source media can be used to quickly detect and respond to emerging health security threats. However, it is not practical for people to read and scan all online news stories every day for key terms. AI/ML makes it possible to read, digest and organize news stories to look for key threat terms. AI/ML will also be used to predict normal trends in news stories. This makes it possible to detect when an unusual number of health security threat terms are found in the news. Th"
0.738,1010,"GenNomis AI Database Reportedly Exposes Nearly 100,000 Deepfake and Nudify Images in Public Breach","In March 2025, cybersecurity researcher Jeremiah Fowler discovered an unprotected database linked to GenNomis by AI-NOMIS, a South Korean company offering face-swapping and ""nudify"" AI services. The exposed 47.8GB dataset included nearly 100,000 files. Many depicted explicit deepfake images, some involving minors or celebrities. No personal data was found, but the breach was a serious failure in data security and consent safeguards in AI image-generation platforms.",5346,"AI Pilot- Detection of data exfiltration","United States Agency for International Development","The AI Pilot Project was developed to demonstrate the use of AI at USAID through the detection of security events and anomalies in network data. While existing cybersecurity measures catch some attacks, it is highly likely that many are sneaking by undetected, either disguised as benign traffic or simply unnoticed in the mass of data. The objective of the AI Pilot was to develop an in-house capability to detect previously undetected anomalous actors, trends or events in network data through the "
0.738,393,"Facebook AI-Supported Moderation for Ads Failed to Detect Violating Content","Facebook's ad moderation system involving algorithms failed to flag hateful language and violating content such as calls for killings for ads in English and Swahili.",5361,"Identifying harmful social media content in Sinhala and Tamil","United States Agency for International Development","The activity will develop AI tools that can identify hate speech online, and to design various counter-measures, ranging from streamlined mechanisms to report such content to crafting counter-narratives that can mitigate the negative effects on targeted communities"
0.738,718,"OpenAI, Google, and Meta Alleged to Have Overstepped Legal Boundaries for Training AI","In late 2021, OpenAI and other tech giants like Google and Meta reportedly faced data shortages for training AI models. OpenAI is said to have developed a tool called Whisper to transcribe over one million hours of YouTube videos, potentially violating YouTube’s terms of service. Similarly, Google allegedly transcribed YouTube videos, risking copyright infringements. Meta reportedly explored summarizing copyrighted texts without permission and debated acquiring Simon & Schuster for data.",5696,"Freedom of Information Act (FOIA) Discovery AI Pilot","National Archives and Records Administration","NARA is piloting the use of AI to improve its responses to Freedom of Information Act requests. This includes AI tools for finding relevant records and automatically redacting sensitive information, which will make the process faster, more accurate, and compliant with privacy laws."
