Use Case ID,Use Case Name,Agency,Bureau/Component/Division/Branch,Contact Name,Contact Email Address,Use Case Topic Area,Is the AI use case found in Appendix B’s list of general commercial AI products and services?,What is the intended purpose and expected benefits of the AI?,Describe the AI system’s outputs.,Stage of Development,"Is the AI use case rights-impacting, safety-impacting, both, or neither?"
DOJ-0099,Bloomberg (AI Assisted Legal Research),Department of Justice,Department-wide,DOJ Chief AI Officer,AI@usdoj.gov,Law & Justice, Searching for information using AI.,"Purpose: Provides AI-assisted research to help streamline legal research and document review. 

Expected benefits: Increases the speed at which attorneys can review and evaluate caselaw to determine if it is applicable to their current investigations. ",Case law recommendations,Initiated – The need for an AI use case has been expressed and its intended purpose and high-level requirements are documented.,Neither
DOJ-0100,BriefCatch,Department of Justice,Department-wide,DOJ Chief AI Officer,AI@usdoj.gov,Law & Justice,Improving the quality of written communications using AI tools.,"Purpose: Aids attorneys with grammar and sentence structure to enable stronger written product.

Expected benefits: Provide stronger written products.","Briefs, summaries, and any other written work product.","Operation and Maintenance – The AI use case has been integrated into agency operations, and is being monitored for performance.",Neither
DOJ-0101,Cybersecurity Defense Tools,Department of Justice,Department-wide,DOJ Chief AI Officer,AI@usdoj.gov,Mission-Enabling (internal agency support),None,"Purpose: Certain tools are used department-wide to provide endpoint detection; threat intelligence, analysis, and response; and related services. These tools include, for example, CrowdStrike, Zscaler, Splunk, Lookout, Palo Alto Networks, and Cisco Secure Network Analytics.

Expected benefits: To help the Department more quickly identify and respond to threats and indicators of compromise from systems.",Recommendations related to potential IT security threats ,"Operation and Maintenance – The AI use case has been integrated into agency operations, and is being monitored for performance.",Neither
DOJ-0102, eLitigation Tools,Department of Justice,Department-wide,DOJ Chief AI Officer,AI@usdoj.gov,Law & Justice,None,"Purpose: Department of Justice components use electronic litigation (“eLitigation”) tools for a broad range of purposes, including support of investigations, litigation, and FOIA and Privacy Act processes. Most of these tools are commercial-off-the-self products that are commonly used outside of government, such as Everlaw and Relativity. These tools increasingly integrate AI capabilities that can assist with tasks core to the mission of the Department, such as surfacing potentially discoverable information in voluminous collections of emails, text messages, or other electronic records; locating potentially inculpatory or exculpatory evidence in voluminous electronic data; and identifying material that may be appropriate for disclosure or withholding according to applicable legal rules and privileges.

Expected benefits: eLitigation tools can offer substantial benefits over exclusively human review of voluminous electronic information: they can be faster, more accurate and consistent, and more efficient. 

Please note: These tools are used in contexts that are rights-impacting, but the nature and details of AI uses vary, which may affect whether particular uses are rights-impacting.",Outputs vary by use case.,"Operation and Maintenance – The AI use case has been integrated into agency operations, and is being monitored for performance.",Case-by-case assessment
DOJ-0103,Digital Forensics,Department of Justice,Department-wide,DOJ Chief AI Officer,AI@usdoj.gov,Law & Justice,None,"Purpose: Forensic analysis tools used to extract, analyze, search, and organize digital evidence and datasets.

Expected benefits: Increases the efficiency of extracting data from devices and of analyzing/searching for pertinent data within devices and datasets.",Outputs vary by use case.,"Operation and Maintenance – The AI use case has been integrated into agency operations, and is being monitored for performance.",Rights Impacting
DOJ-0104,General Web Search,Department of Justice,Department-wide,DOJ Chief AI Officer,AI@usdoj.gov,Mission-Enabling (internal agency support),Searching for information using AI.,"Purpose: DOJ employees use services such as Google and Bing to retrieve information on a variety of subjects.

Expected benefits: Streamline the information-gathering processes.",Recommended search results,"Operation and Maintenance – The AI use case has been integrated into agency operations, and is being monitored for performance.",Neither
DOJ-0105,LexisNexis (AI assisted legal research),Department of Justice,Department-wide,DOJ Chief AI Officer,AI@usdoj.gov,Law & Justice,Searching for information using AI.,"Purpose: Conduct legal research.

Expected benefits:  Improving accuracy and efficiency of legal research.","Recommends caselaw and other legal materials (such as statutes, regulations, and scholarly articles) and, in some circumstances, an overview of the law in response to queries.","Operation and Maintenance – The AI use case has been integrated into agency operations, and is being monitored for performance.",Neither
DOJ-0106,Percipio Skillsoft CAISY,Department of Justice,Department-wide,DOJ Chief AI Officer,AI@usdoj.gov,Education & Workforce,None,"Purpose: Interactive tool using generative AI to customize learning environments for the workforce.

Expected benefits: Training tailored to individual needs.",Training recommendations.,Initiated – The need for an AI use case has been expressed and its intended purpose and high-level requirements are documented.,Neither
DOJ-0107,ServiceNow,Department of Justice,Department-wide,DOJ Chief AI Officer,AI@usdoj.gov,Mission-Enabling (internal agency support),None,"Purpose: To automate engagement with IT helpdesk personnel for IT requests. ServiceNow is a cloud-based platform that digitizes and automates workflows and  helps organizations work more efficiently and effectively. ServiceNow automates incident triage and classification and can handle routine inquires and simple tasks to free up resources to focus on higher priority issues. 

Expected benefits: Allows IT support to common and simple requests 24/7.  ServiceNow provides a scalable solution that supports faster and more responsive service delivery and cost savings across the organization. Virtual agents handle common inquires that free staff for higher priority issues while predictive intelligence offers data-driven insights to improve decision-making and optimizing resource allocation. Consistent processing helps reduce errors and enhances user experience.","Automated service requests
Incident resolution recommendations
Virtual agency responses
Data insights and analytics reports
Search results and recommendations 
Documented and categorized knowledge-based articles. ","Operation and Maintenance – The AI use case has been integrated into agency operations, and is being monitored for performance.",Neither
DOJ-0108,ThomsonReuters CLEAR (AI assisted legal research),Department of Justice,Department-wide,DOJ Chief AI Officer,AI@usdoj.gov,Mission-Enabling (internal agency support),Searching for information using AI.,"Purpose: Performing legal research.

Expected benefits:  Improving accuracy and efficiency of legal research. ","Recommends caselaw and other legal materials (such as statutes, regulations, and scholarly articles) and, in some circumstances, an overview of the law in response to queries.","Operation and Maintenance – The AI use case has been integrated into agency operations, and is being monitored for performance.",Neither
DOJ-0109,Westlaw (AI assisted legal research),Department of Justice,Department-wide,DOJ Chief AI Officer,AI@usdoj.gov,Mission-Enabling (internal agency support),Searching for information using AI.,"Purpose: Performing legal research.

Expected benefits:  Improving accuracy and efficiency of legal research. ","Recommends caselaw and other legal materials (statutes, regulations, scholarly articles, etc.) and, in some circumstances, an overview of the law in response to queries.","Operation and Maintenance – The AI use case has been integrated into agency operations, and is being monitored for performance.",Neither
DOJ-0110,ArcGIS,Department of Justice,ENRD,DOJ Chief AI Officer,AI@usdoj.gov,Law & Justice,None,"Purpose: ENRD uses ArcGIS to create, view, and edit GIS maps.  Although ENRD's ArcGIS license includes a feature known as GeoAI, ENRD has not yet used it, and there are currently no work flows involving the use of GeoAI. ENRD might use GeoAI in an appropriate case to screen a set of aerial photographs and identify objects or features in the photos. Pre-trained models offered by ArcGIS include models purportedly capable of identifying oil well pads and oil tanks, performing OCR on maps, and classifying land cover from certain image sources. The software also reportedly allows the training of custom models, although ENRD currently has no plans to create any. ENRD might use GeoAI to assist in mapping addresses contained in the text of a set of documents or to analyze large sets of tabular data, such as the geographical distribution of phone records.

Expected benefits: Faster evaluation of aerial photographs and documents that contain location information and discovery of patterns and clusters not readily apparent in data.","Data points on GIS maps indicating the presence of objects, features, or other locations of interest; choropleth maps depicting analytical results; statistical summary graphs and tables; repeatable analytic models.","Acquisition and/or Development – An AI use case has been identified for development, or the AI use case is currently under development with the necessary IT tools and data infrastructure having been provisioned.","No, use case is too new to fully assess impacts; will be reassessed before end of acquisition and development stage."
DOJ-0111,Parallel Search from CaseText,Department of Justice,ENRD,DOJ Chief AI Officer,AI@usdoj.gov,Law & Justice,Searching for information using AI.,"Purpose: Parallel Search helps attorneys and paralegals identify cases that are relevant to particular points of law by allowing them to describe the case they are looking for in plain language. 

Expected benefits: Faster legal research",Legal citations to cases.,"Operation and Maintenance – The AI use case has been integrated into agency operations, and is being monitored for performance.",Neither
DOJ-0112,Qualtrics,Department of Justice,ENRD,DOJ Chief AI Officer,AI@usdoj.gov,Mission-Enabling (internal agency support),None,"
Purpose: Qualtrics is a cloud-based service that can send out survey and record responses. ENRD uses it to send out questionnaires to its own employees to gather feedback on issues such as training needs and student feedback on training sessions. ENRD also uses Qualtrics to collect victim impact statements and to collect public input in environmental justice matters. 

Qualtrics includes a sentiment analysis feature, but ENRD has not used it. Sentiment analysis can review narrative responses from respondents and summarize the overall sentiment of a group of respondents and surface insights and issues from a large number of responses. Future uses of this tool are uncertain.

Expected benefits:  Qualtrics can provide immediate analysis of respondent sentiment and surface insights. It can reduce the number of hours and effort spent reading and scoring narrative responses and summarizing the overall opinion on the subject.",Survey responses and reports summarizing data from responses.,"Acquisition and/or Development – An AI use case has been identified for development, or the AI use case is currently under development with the necessary IT tools and data infrastructure having been provisioned.","No, use case is too new to fully assess impacts; will be reassessed before end of acquisition and development stage."
DOJ-0113,SimplyFile,Department of Justice,ENRD,DOJ Chief AI Officer,AI@usdoj.gov,Mission-Enabling (internal agency support),Prioritizing and categorizing incoming emails using AI.,"Purpose: SimplyFile uses AI to learn a user’s email filing habits and then predict where the user will want to move each email by displaying a list of suggested filing locations. This allows users to file their emails with a single button click, rather than having to click and drag them to the correct folders.

Expected benefits: Faster and more accurate email filing",A sorted list of predicted filing locations (Outlook folders),"Operation and Maintenance – The AI use case has been integrated into agency operations, and is being monitored for performance.",Neither
DOJ-0114,Veritone,Department of Justice,ENRD,DOJ Chief AI Officer,AI@usdoj.gov,Law & Justice,None,"Purpose: Veritone is available to ENRD through JMD. ENRD has not used Veritone, but might use it to help with discovery or investigation if the need emerges in an appropriate case or matter. Veritone can transcribe media files collected from an agency in response to a discovery request; provide machine translation (e.g., of foreign-language documents produced by an opposing party in litigation); assist with redactions of audio, video, or images obtained from agencies for civil discovery; and identify and track objects in video. ENRD might use such tools to perform a preliminary screening on large volumes of materials obtained in an investigation or in discovery. All materials, whether flagged during screening or not, would then be provided to counsel for further action in compliance with legal requirements.

Expected benefits:  Faster screening of large volumes of electronic materials or information that may be of interest in an investigation or discovery.","Transcribed or translated text, tagged media files, and draft redactions for media files.","Acquisition and/or Development – An AI use case has been identified for development, or the AI use case is currently under development with the necessary IT tools and data infrastructure having been provisioned.","No, use case is too new to fully assess impacts; will be reassessed before end of acquisition and development stage."
DOJ-0115,Zoom,Department of Justice,ENRD,DOJ Chief AI Officer,AI@usdoj.gov,Mission-Enabling (internal agency support),None,"Purpose: Zoom provides automatic closed captioning at live training events, depositions, and court hearings. Closed captioning is provided for the benefit of the hearing impaired. Transcripts may be temporarily saved, e.g., for the convenience of the presenter to note areas in which the training could be improved next time, but otherwise the transcripts serve no official purpose and do not replace court reporters for generating official transcripts of depositions and hearings.

Expected benefits: Increased accessibility. Provide closed captioning text at live events.",Closed captions,"Operation and Maintenance – The AI use case has been integrated into agency operations, and is being monitored for performance.",Neither
DOJ-0116,Critical Mention,Department of Justice,EOUSA,DOJ Chief AI Officer,AI@usdoj.gov,Law & Justice,None,"Purpose: Media monitoring service that allows users to search, analyze, and create reports using specific criteria. Facilitates searches in broadcasts, online news, social media, and podcasts. 

Expected benefits: Awareness of media mentions.",Curated reports about public media presence.,"Operation and Maintenance – The AI use case has been integrated into agency operations, and is being monitored for performance.",Rights Impacting
DOJ-0117,Evidence.com - Axon,Department of Justice,EOUSA,DOJ Chief AI Officer,AI@usdoj.gov,Law & Justice,None,"Purpose: The Draft One product can be used by investigators to produce draft report narratives.  Investigators can use Auto-Transcribes to turn speech from audio sources into text. Investigators can leverage Redaction Assistant to detect and redact common objects found in body-worn videos.  Investigators can also use Audio Redaction to redacting the corresponding audio and transcript.

Expected benefits: Cost savings, reducing time to prepare, and increased efficiencies during litigation.","Review Assistant to Draft reports narratives, text audio conversion, and edited video.","Operation and Maintenance – The AI use case has been integrated into agency operations, and is being monitored for performance.",Rights Impacting
DOJ-0118,Flashpoint Ignite,Department of Justice,EOUSA,DOJ Chief AI Officer,AI@usdoj.gov,Law & Justice,None,"Purpose: Curating publicly available information to assist with litigation. 

Expected benefits: Provides the capability to quickly aggregate and distill publicly available data to assist with litigation. ",Reports to assist with litigation (recommendation) ,"Operation and Maintenance – The AI use case has been integrated into agency operations, and is being monitored for performance.",Rights Impacting
DOJ-0119,Veriato - Insider Threat Management and User Activity Monitoring,Department of Justice,EOUSA,DOJ Chief AI Officer,AI@usdoj.gov,Law & Justice,None,"Purpose: User Behavior Analytics detect anomalies. This tool uses machine learning to identify security threats.

Expected benefits: It allows large complex datasets to be analyzed effectively.",It outputs reports and alerts for anomalies.,"Operation and Maintenance – The AI use case has been integrated into agency operations, and is being monitored for performance.",Rights Impacting
DOJ-0120,Object Classification Tool - Field Office Security Camera,Department of Justice,FBI,DOJ Chief AI Officer,AI@usdoj.gov,Law & Justice,None,"Purpose: Security enhancement to Field Offices.

Expected benefits: enhanced security",-,"Operation and Maintenance – The AI use case has been integrated into agency operations, and is being monitored for performance.",Safety Impacting
DOJ-0121,"Data and Analytics: Data Synthesis, Filtering, and Linking (Procurement ID: 15F06722C0000258 )",Department of Justice,FBI,DOJ Chief AI Officer,AI@usdoj.gov,Law & Justice,None,"Purpose: Tool facilitates more efficient categorization and analysis of publicly available information.

Expected benefits: more efficient categorization and analysis",-,"Operation and Maintenance – The AI use case has been integrated into agency operations, and is being monitored for performance.",Both
DOJ-0122,Facial Recognition Technology (Procurement ID: 15F06723P0001356 ),Department of Justice,FBI,DOJ Chief AI Officer,AI@usdoj.gov,Law & Justice,None,"Purpose: Tool to conduct authorized searches of photos of individuals pertinent to an ongoing investigation against publicly available images to generate investigative leads.

Expected benefits: generation of investigative leads",-,"Operation and Maintenance – The AI use case has been integrated into agency operations, and is being monitored for performance.",Rights Impacting
DOJ-0123,Document Text Extraction and Language Translation Tool,Department of Justice,FBI,DOJ Chief AI Officer,AI@usdoj.gov,Law & Justice,None,"Purpose: System which uses optical character recognition and language translation to process information from physical or digital documents. This tool is not used for identification/authentication.

Expected benefits: process information from documents","Capability returns a list of detected words as well as a confidence score in additional English text for a specified word or phrase
It returns the coordinates of a detected biometric, as well a confidence score and the type of biometric detected.
It is used to automatically detect biometric data on tenprint cards and other documents in order to include the data in biometric submissions for the other systems.","Operation and Maintenance – The AI use case has been integrated into agency operations, and is being monitored for performance.",Neither
DOJ-0124,License Plate Reader 1 ,Department of Justice,FBI,DOJ Chief AI Officer,AI@usdoj.gov,Law & Justice,None,"Purpose: Program uses character recognition to read and identify license plates. 

Expected Benefits: License plate reader technology assists in locating vehicles associated with persons of interest.",License plate values,"Operation and Maintenance – The AI use case has been integrated into agency operations, and is being monitored for performance.",Rights Impacting
DOJ-0125,Enterprise Telecommunications Information System,Department of Justice,FBI,DOJ Chief AI Officer,AI@usdoj.gov,Mission-Enabling (internal agency support),None,"Purpose: Quicker processing of calls coming into threat intake examiners when the caller information can be gathered and put into data fields automatically.

Expected benefits: Reduced customer wait time.",text,"Operation and Maintenance – The AI use case has been integrated into agency operations, and is being monitored for performance.",Neither
DOJ-0126,Facial Recognition Technology and Data Mapping Tools - 1 (Procurement ID: 15F06720P0001515),Department of Justice,FBI,DOJ Chief AI Officer,AI@usdoj.gov,Law & Justice,None,"Purpose: Tool to conduct authorized searches of photos of individuals pertinent to an ongoing investigation against publicly available images to generate investigative leads.

Expected benefits: generation of investigative leads",-,"Operation and Maintenance – The AI use case has been integrated into agency operations, and is being monitored for performance.",Both
DOJ-0127,Human Language Extraction and Translation Technology,Department of Justice,FBI,DOJ Chief AI Officer,AI@usdoj.gov,Mission-Enabling (internal agency support),None,"Purpose: Multi-language text extraction and translation tools.

Expected benefits: Transcribing of audio and video files into text which enables users to search for pertinent information.",-,"Operation and Maintenance – The AI use case has been integrated into agency operations, and is being monitored for performance.",Neither
DOJ-0128,Attrition and Background Models Capability,Department of Justice,FBI,DOJ Chief AI Officer,AI@usdoj.gov,Other,None," Purpose: Two models work in tandem:  Attrition Model: The basic goal of the model is to provide probabilities of attrition for all employees over different time windows, so that the total future attrition for arbitrary subsets of employees can be estimated. Background Model: The Background Model has two ML sub models related to successful background/on-boarding process clearances: chances of successful completion, and timeline for successful completions. Individual-level results are not provided to personnel involved in recruiting or retaining those individuals.

Expected Benefits: When the models are used successfully, the FBI's staffing fill rates will increase ensuring the organization has the necessary manpower to complete its objectives.",The models produce .csv files which are then incorporated into various database tables and reports for end users to consume. Outputs are general estimates and are not attributable to specific individuals.,"Operation and Maintenance – The AI use case has been integrated into agency operations, and is being monitored for performance.",Neither
DOJ-0129,Audio and Video Recording Management Tool (Procurement ID: 15F06724F0002009),Department of Justice,FBI,DOJ Chief AI Officer,AI@usdoj.gov,Mission-Enabling (internal agency support),None,"Purpose: Tool facilitates audio and video recording within FBI custodial interview rooms, consistent with DOJ and FBI policy.

Expected benefits: Prevents loss of required audio and video data within FBI custodial interview rooms",Audio and video recordings,Implementation and Assessment – The AI system associated with the use case is currently undergoing functionality and security testing.,Rights Impacting
DOJ-0130,License Plate Reader 2 (Procurement ID: 15F06720P0001767D),Department of Justice,FBI,DOJ Chief AI Officer,AI@usdoj.gov,Law & Justice,None,"Purpose: Program uses character recognition to read and identify license plates. 

Expected Benefits: License plate reader technology assists in locating vehicles associated with persons of interest.",License plate values,"Operation and Maintenance – The AI use case has been integrated into agency operations, and is being monitored for performance.",Rights Impacting
DOJ-0131,"License Plate Reader 3 
(APP-00325) ",Department of Justice,FBI,DOJ Chief AI Officer,AI@usdoj.gov,Law & Justice,None,"Purpose: Program uses character recognition to read and identify license plates. 

Expected Benefits: License plate reader technology assists in locating vehicles associated with persons of interest.",License plate values,"Operation and Maintenance – The AI use case has been integrated into agency operations, and is being monitored for performance.",Rights Impacting
DOJ-0132,National Crime Information Center,Department of Justice,FBI,DOJ Chief AI Officer,AI@usdoj.gov,Law & Justice,None,"Purpose: To provide NCIC with a more accurate name matching algorithm that is currently in production.

Expected benefits: The models can produce much quicker searches on word embeddings than they would otherwise be able to do, and can generate a larger return of similar phrases or misspellings.","The output of the search algorithm is composed of both the AI components, external products, and NCIC-established parameters.","Acquisition and/or Development - An AI use case has been identified for development, or the AI use case is currently under development with the necessary IT tools and data infrastructure having been provisioned.",Both
DOJ-0133,National Data Exchange,Department of Justice,FBI,DOJ Chief AI Officer,AI@usdoj.gov,Law & Justice,None,"Purpose: N-DEx uses natural language processing (NLP) service that uses machine learning to uncover valuable insights and connections in the text of criminal justice and law enforcement related information in the system. N-DEx is used to perform this extraction by training models using data that contain that person or entity. 

Expected benefits: The benefit of this use case is to provide an entity extraction feature to aid N-DEx searches so that users can accurately search for people and filter the search results based on a specified role type.",Entity extraction such as person objects and addresses.,"Operation and Maintenance – The AI use case has been integrated into agency operations, and is being monitored for performance.",Neither
DOJ-0134,National Instant Criminal Background Check System,Department of Justice,FBI,DOJ Chief AI Officer,AI@usdoj.gov,Law & Justice,None,"Purpose: Produce faster searches of databases of state laws relevant to a NICS background check.

Expected benefits: The models can produce much quicker searches on word embeddings than they would otherwise be able to do, and can generate a larger return of similar phrases or misspellings.", The AI model facilitates more accurate and wider-ranged search responses for NICS analysts when they examine state law databases for laws relevant to a NICS background check.,"Operation and Maintenance – The AI use case has been integrated into agency operations, and is being monitored for performance.",Neither
DOJ-0135,Next Generation Identification (NGI),Department of Justice,FBI,DOJ Chief AI Officer,AI@usdoj.gov,Law & Justice,None,"Purpose: To provide NGI with a more accurate biometrics capabilities, including name matching algorithm, provide finger print matching,  facial recognition, iris recognition, and latent print matching.

Expected benefits: Increased accuracy.",Investigative leads,"Operation and Maintenance – The AI use case has been integrated into agency operations, and is being monitored for performance.",Both
DOJ-0136,TIPS,Department of Justice,FBI,DOJ Chief AI Officer,AI@usdoj.gov,Law & Justice,None,"Purpose: The Threat Intake Processing System (TIPS) database uses AI algorithms to accurately identify, prioritize, and process actionable tips in a timely manner. The AI used in this case helps to triage immediate threats in order to help FBI field offices and law enforcement respond to the most serious threats first. Based on the algorithm score, highest priority tips are first in the queue for human review.

Expected benefits: The AI used in this case helps to triage immediate threats in order to help FBI field offices",A score that shows the probability of a threat. Key Phrase and Entity Extraction.,"Operation and Maintenance – The AI use case has been integrated into agency operations, and is being monitored for performance.",Both
DOJ-0137,Facial Recognition Technology and Data Mapping Tools - 2 (Procurement ID: 15F06720P0001275),Department of Justice,FBI,DOJ Chief AI Officer,AI@usdoj.gov,Law & Justice,None,"Purpose: Tool to conduct authorized searches of photos of individuals pertinent to an ongoing investigation against publicly available images to generate investigative leads.

Expected benefits: generation of investigative leads",-,"Operation and Maintenance – The AI use case has been integrated into agency operations, and is being monitored for performance.",Both
DOJ-0138,Autonomous Detection and Monitoring (Procurement ID: 15F06721P0002431),Department of Justice,FBI,DOJ Chief AI Officer,AI@usdoj.gov,Law & Justice,None,"Purpose: Tool provides capabilities to support data and analytics, data synthesis, filtering, and linking of open source & threat intelligence.

Expected benefits: increased analytic capability",-,"Operation and Maintenance – The AI use case has been integrated into agency operations, and is being monitored for performance.",Both
DOJ-0139,Adobe Acrobat,Department of Justice,FBOP,DOJ Chief AI Officer,AI@usdoj.gov,Law & Justice,None,"Purpose: Adobe Acrobat uses Optical Character Recognition (OCR) of scanned documents and indexes which can be searched to quickly locate information and process multiple FOIA and Privacy Act requests.

Expected benefits: Efficiency and cost savings. The AI tool allows employees to search for and find information quicker than manual processes would allow.",Provides areas to search for multiple requests.,"Operation and Maintenance – The AI use case has been integrated into agency operations, and is being monitored for performance.",Rights Impacting
DOJ-0140,ahrefs,Department of Justice,FBOP,DOJ Chief AI Officer,AI@usdoj.gov, Mission-Enabling (internal agency support),None,"Purpose: This application was used to check for grammatical errors and spelling. The application can also suggest verbiage, paraphrase content, and change tone. 

Expected benefits: Improved written communications; increased efficiency in drafting communications.",Suggestions on what verbiage to include to improve clarity. ,Retired – The AI use case has been retired or is in the process of being retired.,Neither
DOJ-0141,aifreebox.com,Department of Justice,FBOP,DOJ Chief AI Officer,AI@usdoj.gov, Mission-Enabling (internal agency support),None,"Purpose: This application was used to check for grammatical errors and spelling. The application can also generate and translate text.

Expected benefits: Improved written communications; increased efficiency in drafting communications.",Suggestions on what verbiage to use to improve clarity.,Retired – The AI use case has been retired or is in the process of being retired.,Neither
DOJ-0142,ASCVD (Atherosclerotic Cardiovascular Disease) Risk Estimator,Department of Justice,FBOP,DOJ Chief AI Officer,AI@usdoj.gov,Health & Medical,None,"Purpose: The ASCVD is used as a preventative measure to identify inmates that are at risk for heart disease in order to provide more aggressive treatment to reduce that risk.

Expected benefits: The expected outcome would be to have less heart disease or related complications due to the proactive assessment of potential risk.",An estimated percentage of the possibility of the inmate developing heart disease over the next ten years and over the inmate's lifetime.,Initiated – The need for an AI use case has been expressed and its intended purpose and high-level requirements are documented.,Both
DOJ-0143,Automated Medication Dispensing Cabinet (Pyxis),Department of Justice,FBOP,DOJ Chief AI Officer,AI@usdoj.gov,Health & Medical,None,"Purpose: The Automated Medication Dispensing Cabinet uses a fingerprint scanner in order to provide faster and more secure login of users.

Expected benefits: To prevent unauthorized access to the medications held in the cabinets.",Decides if the fingerprint scanned matches the one in the system for each specific employee.,"Operation and Maintenance – The AI use case has been integrated into agency operations, and is being monitored for performance.",Both
DOJ-0144,Automated Staffing Tool,Department of Justice,FBOP,DOJ Chief AI Officer,AI@usdoj.gov,Law & Justice,None,"Purpose: This analytical tool is used for assessing staffing levels within the Federal Bureau of Prisons. 

Expected benefits: The expected benefit of the AI use case is to maximize cost effectiveness of staffing needs for each institution.",Output reports provide how many positions are currently authorized within the FBOP.,Implementation and Assessment – The AI system associated with the use case is currently undergoing functionality and security testing.,Neither
DOJ-0145,Aztec Learning Software,Department of Justice,FBOP,DOJ Chief AI Officer,AI@usdoj.gov,Education & Workforce,None,"Purpose: Provide learners with data driven course work in Aztec Learning Management System (LMS).

Expected benefits: Improved learning experiences.",Predictions and reports of trends.,"Operation and Maintenance – The AI use case has been integrated into agency operations, and is being monitored for performance.",Neither
DOJ-0146,BRAVO Classification ,Department of Justice,FBOP,DOJ Chief AI Officer,AI@usdoj.gov,Law & Justice,None,"Purpose: Uses statistical techniques to predict misconduct for newly admitted inmates. In turn, this prediction is used to assign appropriate security levels.

Expected benefits: Correctly classifying inmates' security level will decrease the level of misconduct towards other inmates and staff.",AUC score showing the degree to which the instrument correctly discriminates between those who commit misconduct and those who do not.,"Operation and Maintenance – The AI use case has been integrated into agency operations, and is being monitored for performance.",Both
DOJ-0147,Building Automation Systems,Department of Justice,FBOP,DOJ Chief AI Officer,AI@usdoj.gov,Law & Justice,None,"Purpose: The systems enable FBOP employees to configure the environmental conditions, including AI-enabled security features.

Expected benefits: Reduce energy consumption and waste, monitor performance, and alerts for device failures.",Alerts,"Operation and Maintenance – The AI use case has been integrated into agency operations, and is being monitored for performance.",Safety Impacting
DOJ-0148,ChatGPT,Department of Justice,FBOP,DOJ Chief AI Officer,AI@usdoj.gov, Mission-Enabling (internal agency support),None,"Purpose: This tool was used to improve the quality of written communication, emails, and fliers to notify staff on institution updates.

Expected benefits: Improvements in the quality of written communications.",Recommendations on grammar and communication formats,Retired – The AI use case has been retired or is in the process of being retired.,Neither
DOJ-0149,Community Treatment Pipeline Screening,Department of Justice,FBOP,DOJ Chief AI Officer,AI@usdoj.gov,Health & Medical,None,"Purpose: This is an FBOP-developed tool to identify individuals due to be released to the community who require clinical review for additional treatment services once released into pre-release confinement.

Expected benefits: Reduces clinical reviews by a third by pre-screening those with no indicators of potential treatment needs in FBOP records management systems (SENTRY or BEMR).  ",Checkmarks for potential types of treatment needs found in SENTRY or BEMR.,"Operation and Maintenance – The AI use case has been integrated into agency operations, and is being monitored for performance.",Both
DOJ-0150,Descript,Department of Justice,FBOP,DOJ Chief AI Officer,AI@usdoj.gov, Mission-Enabling (internal agency support),None,"Purpose: This tool  synchronizes audio files to video. 

Expected benefits: Video to be used for communications and training purposes.","Output is an video file (e.g., MP4)",Initiated – The need for an AI use case has been expressed and its intended purpose and high-level requirements are documented.,Neither
DOJ-0151,Federal Bureau of Prisons Inmate Population Projections,Department of Justice,FBOP,DOJ Chief AI Officer,AI@usdoj.gov,Law & Justice,None,"Purpose: FBOP takes a strategic planning approach to managing our agency. FBOP regularly reviews capacity requirements, considers the current and projected inmate population levels, current law enforcement initiatives, geographic origin of the confined population, and the age and condition of existing facilities.  The FBOP strives to manage the existing large population and resulting crowding, at higher security levels, to ensure that federal inmates continue to serve their sentences in a safe and humane environment. AI was used to assist in inmate population projections, helping FBOP achieve these goals. This AI use case assisted with the projection of estimated inmate populations for up to 4 years. 

Expected benefits: Benefits included the provision of information for agency budgeting and physical capacity planning to meet our strategic goals, such as: ensuring that FBOP appropriately cares for and houses those in our custody; continuing to operate a high quality, cost effective, and innovative health care system; developing environments which better mirror our communities; advancing technology in support of the agency's mission; and reviewing and analyzing data to inform evidence-based decisions that will be used to improve agency operations.","Aggregate level counts of inmates projected to be in agency's custody as of end of each future fiscal year, for the upcoming 4 years",Retired – The AI use case has been retired or is in the process of being retired.,Both
DOJ-0152,Gemini,Department of Justice,FBOP,DOJ Chief AI Officer,AI@usdoj.gov, Mission-Enabling (internal agency support),None,"Purpose: This application was used to check for grammatical errors. The application can also generate content. 

Expected benefits: To help improve the clarity and grammar of written communications.",Recommendations on grammar and communication formats,Retired – The AI use case has been retired or is in the process of being retired.,Neither
DOJ-0153,Google Translate,Department of Justice,FBOP,DOJ Chief AI Officer,AI@usdoj.gov, Mission-Enabling (internal agency support),None,"Purpose: Staff have periodically used Google Translate to translate documents and notifications for the Spanish speaking population from English to Spanish.

Expected benefits: Translating documents from English to Spanish allows for the Spanish speaking population the opportunity to stay well informed with the events and details of the institution.",Google translate provides a word for word translation of the information entered.,"Operation and Maintenance – The AI use case has been integrated into agency operations, and is being monitored for performance.",Rights Impacting
DOJ-0154,Grammarly,Department of Justice,FBOP,DOJ Chief AI Officer,AI@usdoj.gov, Mission-Enabling (internal agency support),None,"Purpose: This tool was used to improve the quality of written communication.

Expected benefits: Better written communications.",Recommendations on grammar and communication formats,Retired – The AI use case has been retired or is in the process of being retired.,Neither
