usecaseid,usecasename,flexibleselection13,shorttext14,flexselect16,shorttext161,flexibleselection39,richtext18,richtext19,flexselect110,flexibleselection1101,richtext1102,flexibleselection112,flexselect112,shorttext21,shorttext22,shorttext23,shorttext24,flexibleselection25,shorttext26,flexibleselection27,flexibleselection28,flexibleselection42,flexibleselection29,shorttext210,flexibleselection211,flexibleselection212,FlexibleSelection31,richtext441,richtext32,flexibleselection33,flexibleselection34,richtext13,flexibleselection35,flexibleselection36,publiccodelink361,flexibleselection41,systemname42,flexibleselection43,flexibleselection44,shorttext10,flexibleselection45,richtext5111,flexibleselection46,richtext512,flexibleselection47,flexibleselection48,flexibleselection51,rmflexibleselection52,rmflexibleselection53,rmrichtext54,rmflexibleselection55,rmflexibleselection56,rmflexibleselection57,,flexibleselection58,richtext451,flexibleselection59,richtext510,flexibleselection511,richtext461,flexibleselection512,richtextfallbackother,flexibleselection37,richtext14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WO0000000109175,Hydrograhy feature extraction from remotely sensed data,Department of the Interior ,USGS,Mission-Enabling,,None of the Above,"Surface water features shown on maps, also known as hydrography, show the available water that can greatly influence the quality of life and the environment. Mapping hydrography is a complex task because the amount and distribution of surface water continuously varies with weather conditions. This research is testing machine learning techniques to develop models that predict the location of surface water from remotely sensed elevation and image data. Machine learning techniques are methods that train a model based on existing hydrography features in training area. After training a model, it can be applied to other areas where hydrography data do not exist, and the model can potentially be applied to new remote sensing data to help update hydrography features over time.",see description,No,,,Initiated,Neither,,,,,Developed in-house.,,No,,,Yes,USGS Fundamental Science Practicies Policies,No,No,Yes,,"high resolution elevation data, imagery","Documentation is complete: Documentation exists regarding the maintenance, composition, quality, and intended use of the training and evaluation data, as well as any statistical bias across model features and protected groups. ",no,,Yes,"Yes – agency has access to source code, but it is not public.",,Yes,Science Support System (SSS),Less than 6 months,Yes,,Yes,,Yes,,Use of existing data platforms: This use case is being developed on existing enterprise data and analytics platforms within the agency rather than procuring additional platforms or SaaS to operate.,Documentation has been published: Complete documentation has been published to a repository or data catalog within the agency and is made accessible to other data science teams for review and feedback.,No – Agency did not request an extension for this use case.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WO0000000109159,Using machine learning to detect invasive bullfrogs,Department of the Interior ,USGS,Mission-Enabling,,None of the Above,Detecting bullfrogs along their invasion front in order to inform removal efforts,Outputs were not documented and DOI will update the use cases once additional data is collected from submitter,No,,,Implementation and Assessment,Neither,,,2020-05-01 00:00:00,,Developed in-house.,,No,,,Yes,USGS Fundamental Science Practicies Policies,No,No,Yes,,audio recordings,"Documentation is complete: Documentation exists regarding the maintenance, composition, quality, and intended use of the training and evaluation data, as well as any statistical bias across model features and protected groups. ",no,,Yes,"Yes – agency has access to source code, but it is not public.",,Yes,Science Support System (SSS),Less than 6 months,Yes,,Yes,,Yes,,Use of existing data platforms: This use case is being developed on existing enterprise data and analytics platforms within the agency rather than procuring additional platforms or SaaS to operate.,Documentation has been published: Complete documentation has been published to a repository or data catalog within the agency and is made accessible to other data science teams for review and feedback.,No – Agency did not request an extension for this use case.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WO0000000109153,"Deep Learning application for automated mapping of surficial landforms, surficial geological deposit",Department of the Interior ,USGS,Mission-Enabling,,None of the Above,Florence Bascom Geoscience Center (FEDMAP-funded): The Bascom Geoscience Center (FEDMAP) is using the deep-learning capabilities implemented within the ESRI ArGIS Pro software platform to automate the process of mapping surficial landforms and related surficial geologic deposits from lidar-derived topography. We are also using this capability to train models that can identify abandoned mine sites from lidar-derived topography.,Outputs were not documented and DOI will update the use cases once additional data is collected from submitter,No,,,Implementation and Assessment,Neither,,2024-10-01 00:00:00,2024-10-01 00:00:00,,Developed in-house.,,No,,,Yes,USGS Fundamental Science Practicies Policies,No,No,Yes,,Published geologic maps and user-created data,"Documentation is complete: Documentation exists regarding the maintenance, composition, quality, and intended use of the training and evaluation data, as well as any statistical bias across model features and protected groups. ",no,,Yes,"Yes – agency has access to source code, but it is not public.",,Yes,Science Support System (SSS),Less than 6 months,Yes,,Yes,,Yes,,Use of existing data platforms: This use case is being developed on existing enterprise data and analytics platforms within the agency rather than procuring additional platforms or SaaS to operate.,Documentation has been published: Complete documentation has been published to a repository or data catalog within the agency and is made accessible to other data science teams for review and feedback.,No – Agency did not request an extension for this use case.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WO0000000109150,Zero shot segmentation to expedite Quaternary geologic mapping,Department of the Interior ,USGS,Mission-Enabling,,None of the Above,Geosciences and Environmental Change (GEC) Science Center (FEDMAP-funded): The construction of detailed geologic maps requires a lot of manual GIS data input to outline the extent of interpreted geologic features. We are working to extend and adapt the Segment Anything Model for identification of Quaternary geologic features in order to expedite the process of creating GIS data for geologic maps.,Outputs were not documented and DOI will update the use cases once additional data is collected from submitter,No,,,Acquisition and/or Development,Neither,,,,,Developed in-house.,,No,,,Yes,USGS Fundamental Science Practicies Policies,No,No,Yes,,,"Documentation is complete: Documentation exists regarding the maintenance, composition, quality, and intended use of the training and evaluation data, as well as any statistical bias across model features and protected groups. ",no,,Yes,"Yes – agency has access to source code, but it is not public.",,Yes,Science Support System (SSS),Less than 6 months,Yes,,Yes,,Yes,,Use of existing data platforms: This use case is being developed on existing enterprise data and analytics platforms within the agency rather than procuring additional platforms or SaaS to operate.,Documentation has been published: Complete documentation has been published to a repository or data catalog within the agency and is made accessible to other data science teams for review and feedback.,No – Agency did not request an extension for this use case.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WO0000000109142,Oil Spil Response for Ice-Covered Rivers,Department of the Interior ,USGS,Mission-Enabling,,None of the Above,"This project uses backscatter data from the SAR (synthetic aperture radar instrument) on the Sentinel-1 satellite to determine ice phenology for large rivers and lakes based on machine learning method (i.e., a Random Forest Classifier). The goal of this DOI Inland Oil Spill Preparedness Program (IOSPP) funded work is to provide rapid, near real-time information to oil spill response crews concerning about the safety of ice-covered areas (FY2023-25).",Outputs were not documented and DOI will update the use cases once additional data is collected from submitter,No,,,Operation and Maintenance,Neither,,,,,Developed in-house.,,No,,,Yes,USGS Fundamental Science Practicies Policies,No,No,Yes,,,"Documentation is complete: Documentation exists regarding the maintenance, composition, quality, and intended use of the training and evaluation data, as well as any statistical bias across model features and protected groups. ",no,,Yes,"Yes – agency has access to source code, but it is not public.",,Yes,Science Support System (SSS),Less than 6 months,Yes,,Yes,,Yes,,Use of existing data platforms: This use case is being developed on existing enterprise data and analytics platforms within the agency rather than procuring additional platforms or SaaS to operate.,Documentation has been published: Complete documentation has been published to a repository or data catalog within the agency and is made accessible to other data science teams for review and feedback.,No – Agency did not request an extension for this use case.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WO0000000109139,Modeling Sediment Abundance in the Eastern Snake River Plain Aquifer Using Supervised Learning,Department of the Interior ,USGS,Mission-Enabling,,None of the Above,This project aims to model sediment abundance in the eastern Snake River Plain aquifer near the Idaho National Laboratory. We are employing supervised learning techniques to predict sediment presence at various depths within boreholes using natural gamma ray readings. The model is trained with independently derived estimates of sediment probability to enhance its accuracy. This initiative will significantly aid scientists in understanding and managing sediment distribution in the aquifer.,see description,No,,,Initiated,Neither,,,,,Developed in-house.,,No,,,Yes,USGS Fundamental Science Practicies Policies,No,No,Yes,,,"Documentation is complete: Documentation exists regarding the maintenance, composition, quality, and intended use of the training and evaluation data, as well as any statistical bias across model features and protected groups. ",no,,Yes,"Yes – agency has access to source code, but it is not public.",,Yes,Science Support System (SSS),Less than 6 months,Yes,,Yes,,Yes,,Use of existing data platforms: This use case is being developed on existing enterprise data and analytics platforms within the agency rather than procuring additional platforms or SaaS to operate.,Documentation has been published: Complete documentation has been published to a repository or data catalog within the agency and is made accessible to other data science teams for review and feedback.,No – Agency did not request an extension for this use case.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WO0000000109137,Pacific Northwest Stream Flow Permanence,Department of the Interior ,USGS,Mission-Enabling,,None of the Above,"We are using machine learning approaches, specifically the random forest algorithm, to provide spatially explicit estimates of the presence of year-round surface flow in streams across large (several US states) geographic extents. Empirical random forest models include discrete flow/no flow observations as the response variable and a broad suite of physio climatic covariates. The models are used to inform management decisions that require streamflow classification of perennial versus non-perennial which is the charge of many land steward agencies including the Bureau of Land Management, U.S. Forest Service and State and private forests. Funding for this project is congressional allocated funds (FY2023-25).",Outputs were not documented and DOI will update the use cases once additional data is collected from submitter,No,,,Operation and Maintenance,Neither,,,,,Developed in-house.,,No,,,Yes,USGS Fundamental Science Practicies Policies,No,No,Yes,,,"Documentation is complete: Documentation exists regarding the maintenance, composition, quality, and intended use of the training and evaluation data, as well as any statistical bias across model features and protected groups. ",no,,Yes,"Yes – agency has access to source code, but it is not public.",,Yes,Science Support System (SSS),Less than 6 months,Yes,,Yes,,Yes,,Use of existing data platforms: This use case is being developed on existing enterprise data and analytics platforms within the agency rather than procuring additional platforms or SaaS to operate.,Documentation has been published: Complete documentation has been published to a repository or data catalog within the agency and is made accessible to other data science teams for review and feedback.,No – Agency did not request an extension for this use case.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WO0000000109123,SAMPLE Toolbox,Department of the Interior ,USGS,Mission-Enabling,,None of the Above,A toolbox for land managers to develop plans for monitoring vegetation,Outputs were not documented and DOI will update the use cases once additional data is collected from submitter,No,,,Acquisition and/or Development,Neither,,,,,Developed in-house.,,No,,,Yes,USGS Fundamental Science Practicies Policies,No,No,Yes,,,"Documentation is complete: Documentation exists regarding the maintenance, composition, quality, and intended use of the training and evaluation data, as well as any statistical bias across model features and protected groups. ",no,,Yes,"Yes – agency has access to source code, but it is not public.",,Yes,Science Support System (SSS),Less than 6 months,Yes,,Yes,,Yes,,Use of existing data platforms: This use case is being developed on existing enterprise data and analytics platforms within the agency rather than procuring additional platforms or SaaS to operate.,Documentation has been published: Complete documentation has been published to a repository or data catalog within the agency and is made accessible to other data science teams for review and feedback.,No – Agency did not request an extension for this use case.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WO0000000109121,Mapping wildfire fuels in previously burned landscapes,Department of the Interior ,USGS,Mission-Enabling,,None of the Above,The goal is to understand how land management treatments affect the probability of reburning.,Outputs were not documented and DOI will update the use cases once additional data is collected from submitter,No,,,Acquisition and/or Development,Neither,,,,,Developed in-house.,,No,,,Yes,USGS Fundamental Science Practicies Policies,No,No,Yes,,,"Documentation is complete: Documentation exists regarding the maintenance, composition, quality, and intended use of the training and evaluation data, as well as any statistical bias across model features and protected groups. ",no,,Yes,"Yes – agency has access to source code, but it is not public.",,Yes,Science Support System (SSS),Less than 6 months,Yes,,Yes,,Yes,,Use of existing data platforms: This use case is being developed on existing enterprise data and analytics platforms within the agency rather than procuring additional platforms or SaaS to operate.,Documentation has been published: Complete documentation has been published to a repository or data catalog within the agency and is made accessible to other data science teams for review and feedback.,No – Agency did not request an extension for this use case.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WO0000000109117,Inventorying landforms with convolutional neural networks,Department of the Interior ,USGS,Mission-Enabling,,None of the Above,"Geosciences and Environmental Change (GEC) Science Center (FEDMAP-funded): LiDAR derived topographic data images earth's surface in unprecedented detail and is available across most of the country. This data reveals landforms relevant for understanding many scientific phenomena (e.g., patterned ground) and natural hazards (e.g., karst). We are developing simple pipelines to train and deploy convolutional neural networks on high resolution topographic data in order to efficiently identify and inventory these features.",Outputs were not documented and DOI will update the use cases once additional data is collected from submitter,No,,,Implementation and Assessment,Neither,,,,,Developed in-house.,,No,,,Yes,USGS Fundamental Science Practicies Policies,No,No,Yes,,,"Documentation is complete: Documentation exists regarding the maintenance, composition, quality, and intended use of the training and evaluation data, as well as any statistical bias across model features and protected groups. ",no,,Yes,"Yes – agency has access to source code, but it is not public.",,Yes,Science Support System (SSS),Less than 6 months,Yes,,Yes,,Yes,,Use of existing data platforms: This use case is being developed on existing enterprise data and analytics platforms within the agency rather than procuring additional platforms or SaaS to operate.,Documentation has been published: Complete documentation has been published to a repository or data catalog within the agency and is made accessible to other data science teams for review and feedback.,No – Agency did not request an extension for this use case.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WO0000000109098,Lava lake thermal pattern classification using self organizing maps and relationships to eruption pr,Department of the Interior ,USGS,Mission-Enabling,,None of the Above,We apply a machine learning algorithm called self-organizing maps (SOM) to thermal infrared time-lapse images .,Outputs were not documented and DOI will update the use cases once additional data is collected from submitter,No,,,Implementation and Assessment,Neither,,2024-01-01 00:00:00,,,Developed in-house.,,No,,,Yes,USGS Fundamental Science Practicies Policies,No,No,Yes,,,"Documentation is complete: Documentation exists regarding the maintenance, composition, quality, and intended use of the training and evaluation data, as well as any statistical bias across model features and protected groups. ",no,,Yes,"Yes – agency has access to source code, but it is not public.",,Yes,Science Support System (SSS),Less than 6 months,Yes,,Yes,,Yes,,Use of existing data platforms: This use case is being developed on existing enterprise data and analytics platforms within the agency rather than procuring additional platforms or SaaS to operate.,Documentation has been published: Complete documentation has been published to a repository or data catalog within the agency and is made accessible to other data science teams for review and feedback.,No – Agency did not request an extension for this use case.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WO0000000109096,Advancing image-based surveys to support sea duck conservation along the Pacific Flyway,Department of the Interior ,USGS,Mission-Enabling,,None of the Above,"For most of their annual cycle, North American sea ducks are densely distributed in estuaries and along the coastal nearshore where they are susceptible oil spills, energy development, changing ocean conditions, and other potential threats. Observer-based aerial surveys have been an important tool for evaluating coastal distributions and estimating population abundances to understand sea duck responses to their changing environment. However, safety, expense, observer bias and lack of methodological consistency are rising concerns associated with observer-based surveys, making it imperative to transition to more sustainable methods. Digital aerial surveys (DAS) that automate counts from aerial imagery using convolutional neural network (CNN) models are one way to improve survey safety and count accuracy. We are developing a standardized DAS for the lower Pacific Flyway to help maximize safety, while improving data consistency and model accuracy among important regions within the Flyway.",Outputs were not documented and DOI will update the use cases once additional data is collected from submitter,No,,,Acquisition and/or Development,Neither,,,,,Developed in-house.,,No,,,Yes,USGS Fundamental Science Practicies Policies,No,No,Yes,,,"Documentation is complete: Documentation exists regarding the maintenance, composition, quality, and intended use of the training and evaluation data, as well as any statistical bias across model features and protected groups. ",no,,Yes,"Yes – agency has access to source code, but it is not public.",,Yes,Science Support System (SSS),Less than 6 months,Yes,,Yes,,Yes,,Use of existing data platforms: This use case is being developed on existing enterprise data and analytics platforms within the agency rather than procuring additional platforms or SaaS to operate.,Documentation has been published: Complete documentation has been published to a repository or data catalog within the agency and is made accessible to other data science teams for review and feedback.,No – Agency did not request an extension for this use case.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WO0000000109095,Probabilistic source classification of large tephra producing eruptions using supervised machine lea,Department of the Interior ,USGS,Mission-Enabling,,None of the Above,"  USGS has produced a model that accurately and confidently identifies large tephra-producing eruption volcanic sources in the Alaska-Aleutian arc using only in situ geochemistry. The model is a voting ensemble classifier comprised of six conceptually different machine learning algorithms trained on proximal tephra deposits that have had their source positively identified. Eruptive products from Alaska's Aleutian Arc-Alaska Peninsula and Wrangell volcanic field were used as a test environment for 11 supervised classification algorithms, trained on nearly 2000 electron probe microanalysis measurements of glass major oxides, representing 10 volcanic sources.",Outputs were not documented and DOI will update the use cases once additional data is collected from submitter,No,,,Implementation and Assessment,Neither,,,,,Developed in-house.,,No,,,Yes,USGS Fundamental Science Practicies Policies,No,No,Yes,,,"Documentation is complete: Documentation exists regarding the maintenance, composition, quality, and intended use of the training and evaluation data, as well as any statistical bias across model features and protected groups. ",no,,Yes,"Yes – agency has access to source code, but it is not public.",,Yes,Science Support System (SSS),Less than 6 months,Yes,,Yes,,Yes,,Use of existing data platforms: This use case is being developed on existing enterprise data and analytics platforms within the agency rather than procuring additional platforms or SaaS to operate.,Documentation has been published: Complete documentation has been published to a repository or data catalog within the agency and is made accessible to other data science teams for review and feedback.,No – Agency did not request an extension for this use case.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WO0000000109093,InSAR and other geodetic studies at Volcanoes,Department of the Interior ,USGS,Mission-Enabling,,None of the Above,The USGS uses InSAR (Inferometric Synthetic Aperture Radar) to map ground deformation and track volcanic activity globally. Artificial Intelligence approaches are being used to recognize transient signals in combined InSAR and GPS data that may be indications of impending hazardous volcanic activity.,Outputs were not documented and DOI will update the use cases once additional data is collected from submitter,No,,,Implementation and Assessment,Neither,,,,,Developed in-house.,,No,,,Yes,USGS Fundamental Science Practicies Policies,No,No,Yes,,,"Documentation is complete: Documentation exists regarding the maintenance, composition, quality, and intended use of the training and evaluation data, as well as any statistical bias across model features and protected groups. ",no,,Yes,"Yes – agency has access to source code, but it is not public.",,Yes,Science Support System (SSS),Less than 6 months,Yes,,Yes,,Yes,,Use of existing data platforms: This use case is being developed on existing enterprise data and analytics platforms within the agency rather than procuring additional platforms or SaaS to operate.,Documentation has been published: Complete documentation has been published to a repository or data catalog within the agency and is made accessible to other data science teams for review and feedback.,No – Agency did not request an extension for this use case.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WO0000000109092,Climate Futures for Lizards and Snakes in Western North America,Department of the Interior ,USGS,Mission-Enabling,,None of the Above,Identifying new management challenges to reptiles based on shifting environmental conditions,Outputs were not documented and DOI will update the use cases once additional data is collected from submitter,No,,,Operation and Maintenance,Neither,,,,,Developed in-house.,,No,,,Yes,USGS Fundamental Science Practicies Policies,No,No,Yes,,,"Documentation is complete: Documentation exists regarding the maintenance, composition, quality, and intended use of the training and evaluation data, as well as any statistical bias across model features and protected groups. ",no,,Yes,"Yes – agency has access to source code, but it is not public.",,Yes,Science Support System (SSS),Less than 6 months,Yes,,Yes,,Yes,,Use of existing data platforms: This use case is being developed on existing enterprise data and analytics platforms within the agency rather than procuring additional platforms or SaaS to operate.,Documentation has been published: Complete documentation has been published to a repository or data catalog within the agency and is made accessible to other data science teams for review and feedback.,No – Agency did not request an extension for this use case.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WO0000000109089,Predicting inundation dynamics of small forested wetlands,Department of the Interior ,USGS,Mission-Enabling,,None of the Above,This project aims to help land managers in the Upper Midwest understand the wetting/drying dynamics of small wetlands relevant to amphibians. The approach will leverage field observations of wetland water levels as training data in a random forest model.,Outputs were not documented and DOI will update the use cases once additional data is collected from submitter,No,,,Acquisition and/or Development,Neither,,,,,Developed in-house.,,No,,,Yes,USGS Fundamental Science Practicies Policies,No,No,Yes,,,"Documentation is complete: Documentation exists regarding the maintenance, composition, quality, and intended use of the training and evaluation data, as well as any statistical bias across model features and protected groups. ",no,,Yes,"Yes – agency has access to source code, but it is not public.",,Yes,Science Support System (SSS),Less than 6 months,Yes,,Yes,,Yes,,Use of existing data platforms: This use case is being developed on existing enterprise data and analytics platforms within the agency rather than procuring additional platforms or SaaS to operate.,Documentation has been published: Complete documentation has been published to a repository or data catalog within the agency and is made accessible to other data science teams for review and feedback.,No – Agency did not request an extension for this use case.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WO0000000109080,Intelligent National Map project,Department of the Interior ,USGS,Mission-Enabling,,None of the Above,"The Intelligent National Map is a vision by the U.S. Geological Survey (USGS) to make mapping smarter by using advanced technology like artificial intelligence (AI). This project aims to create maps that can update themselves automatically, detect changes in the environment, and provide better, faster information for decisions about land, water, and natural resources.",see description,No,,,Initiated,Neither,,,,,Developed in-house.,,No,,,Yes,USGS Fundamental Science Practicies Policies,No,No,Yes,,,"Documentation is complete: Documentation exists regarding the maintenance, composition, quality, and intended use of the training and evaluation data, as well as any statistical bias across model features and protected groups. ",no,,Yes,"Yes – agency has access to source code, but it is not public.",,Yes,Science Support System (SSS),Less than 6 months,Yes,,Yes,,Yes,,Use of existing data platforms: This use case is being developed on existing enterprise data and analytics platforms within the agency rather than procuring additional platforms or SaaS to operate.,Documentation has been published: Complete documentation has been published to a repository or data catalog within the agency and is made accessible to other data science teams for review and feedback.,No – Agency did not request an extension for this use case.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WO0000000109078,Machine-learning model to delineate sub-surface agricultural drainage from satellite imagery,Department of the Interior ,USGS,Mission-Enabling,,None of the Above,"We trained a UNet machine-learning model, a convolutional neural network designed to highlight objects of interest within an image, to delineate tile-drain networks in panchromatic satellite imagery without additional data on soils, topography, or historical tile-drain extent. This was done by training the model to match the accuracy of human experts manually tracing the surface representation of tile drains in satellite imagery. Our approach began with a library of images that were used to train and quantify the accuracy of the model, with model performance tested on imagery from two areas that were not used to train the model. Satellite imagery included acquisition dates from 2008 to 2020. Training imagery was from agricultural areas within the US Great Lakes basin. Validation imagery was from the upper Maumee River, tributary to western Lake Erie, and an Indiana, Ohio-River headwater tributary. Our analysis of the satellite imagery paired with meteorological and soil data found that during spring, a combination of relatively high solar radiation, intermediate soil-water content and bare fields enabled the best model performance. Each area of interest was heavily tile-drained, where better understanding the movement of water, nutrients, and sediment from fields to downstream water bodies is key to managing harmful algal blooms and hypoxia. The trained UNet model successfully identified tile drains visible in the validation imagery. https://doi.org/10.1002/jeq2.20493",Outputs were not documented and DOI will update the use cases once additional data is collected from submitter,No,,,Implementation and Assessment,Neither,,,,,Developed in-house.,,No,,,Yes,USGS Fundamental Science Practicies Policies,No,No,Yes,,,"Documentation is complete: Documentation exists regarding the maintenance, composition, quality, and intended use of the training and evaluation data, as well as any statistical bias across model features and protected groups. ",no,,Yes,"Yes – agency has access to source code, but it is not public.",,Yes,Science Support System (SSS),Less than 6 months,Yes,,Yes,,Yes,,Use of existing data platforms: This use case is being developed on existing enterprise data and analytics platforms within the agency rather than procuring additional platforms or SaaS to operate.,Documentation has been published: Complete documentation has been published to a repository or data catalog within the agency and is made accessible to other data science teams for review and feedback.,No – Agency did not request an extension for this use case.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WO0000000109075,Environmental streamflows in the United States: historical patterns and predictions,Department of the Interior ,USGS,Mission-Enabling,,None of the Above,"  It is important that environmental streamflow assessments by water managers consider changes in climate, land use, and water management; this cannot be done effectively without understanding historical variability and changes in environmental streamflows. Estimates of environmental streamflows also are needed for ungaged streams and machine-learning methods are likely useful for this. We are analyzing historical change and variability at hundreds of streamflow gages across the United States for a suite of environmental streamflows and using machine-learning methods to estimate environmental streamflows for thousands of ungaged stream reaches.",Outputs were not documented and DOI will update the use cases once additional data is collected from submitter,No,,,Acquisition and/or Development,Neither,,,,,Developed in-house.,,No,,,Yes,USGS Fundamental Science Practicies Policies,No,No,Yes,,,"Documentation is complete: Documentation exists regarding the maintenance, composition, quality, and intended use of the training and evaluation data, as well as any statistical bias across model features and protected groups. ",no,,Yes,"Yes – agency has access to source code, but it is not public.",,Yes,Science Support System (SSS),Less than 6 months,Yes,,Yes,,Yes,,Use of existing data platforms: This use case is being developed on existing enterprise data and analytics platforms within the agency rather than procuring additional platforms or SaaS to operate.,Documentation has been published: Complete documentation has been published to a repository or data catalog within the agency and is made accessible to other data science teams for review and feedback.,No – Agency did not request an extension for this use case.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WO0000000109074,PROSPER,Department of the Interior ,USGS,Mission-Enabling,,None of the Above,  Machine learning approach to estimating the annual probability of streamflow permanence at a sub-reach (10m) scale.,Outputs were not documented and DOI will update the use cases once additional data is collected from submitter,No,,,Operation and Maintenance,Neither,,,,,Developed in-house.,,No,,,Yes,USGS Fundamental Science Practicies Policies,No,No,Yes,,,"Documentation is complete: Documentation exists regarding the maintenance, composition, quality, and intended use of the training and evaluation data, as well as any statistical bias across model features and protected groups. ",no,,Yes,"Yes – agency has access to source code, but it is not public.",,Yes,Science Support System (SSS),Less than 6 months,Yes,,Yes,,Yes,,Use of existing data platforms: This use case is being developed on existing enterprise data and analytics platforms within the agency rather than procuring additional platforms or SaaS to operate.,Documentation has been published: Complete documentation has been published to a repository or data catalog within the agency and is made accessible to other data science teams for review and feedback.,No – Agency did not request an extension for this use case.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WO0000000109055,[Un]supervised clustering of [non-]earthquake signals commonly recorded on regional seismic networks,Department of the Interior ,USGS,Mission-Enabling,,None of the Above,"Surficial mass movements (SMMs), such as landslides and rockfalls, have seismic signatures distinct from other routinely recorded seismic sources like earthquakes and explosions. However, overlaps between the characteristics of these signals can still make it difficult to discriminate between source types during operational seismic monitoring. This ambiguity motivates the development of automated techniques for seismic signal classification. Furthermore, seismic differentiation within the broad class of SMMs has additional scientific and rapid response value. Examination of SMM seismic waveforms highlights a particularly strong contrast between the signals produced by primarily vertical processes versus processes that have a non-negligible horizontal component such as landslides and avalanches. A machine learning (ML) classification scheme is being investigated for differentiating between seismic signals generated by falls versus slides. Additionally included are shallow earthquakes and blasts because these are most similar to SMM signals and are commonly recorded on regional seismic networks. These classes, therefore, are the most useful for automated classification. Test datasets derive from waveform picks in the Exotic Seismic Events Catalog, a diverse collection of non-earthquake seismogenic surface events, and the Advanced National Seismic System (ANSS) Comprehensive Earthquake Catalog. In development is a shallow, feature-based approach to classification using statistical metrics extracted from waveforms. Feature importance metrics provide insight into the ML method, which leverage both unsupervised techniques and supervised techniques.",see description,No,,,Initiated,Neither,,,,,Developed in-house.,,No,,,Yes,USGS Fundamental Science Practicies Policies,No,No,Yes,,,"Documentation is complete: Documentation exists regarding the maintenance, composition, quality, and intended use of the training and evaluation data, as well as any statistical bias across model features and protected groups. ",no,,Yes,"Yes – agency has access to source code, but it is not public.",,Yes,Science Support System (SSS),Less than 6 months,Yes,,Yes,,Yes,,Use of existing data platforms: This use case is being developed on existing enterprise data and analytics platforms within the agency rather than procuring additional platforms or SaaS to operate.,Documentation has been published: Complete documentation has been published to a repository or data catalog within the agency and is made accessible to other data science teams for review and feedback.,No – Agency did not request an extension for this use case.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WO0000000109022,"Extracting robust, searchable data from narrative geologic descriptions",Department of the Interior ,USGS,Mission-Enabling,,None of the Above,"Geosciences and Environmental Change (GEC) Science Center (FEDMAP-funded): Geologic map units are often described in narrative text descriptions. These descriptions sometime contain useful data (e.g., about lithology, unit thickness), but it is hard for users to operationalize that information since is not codified in any standard way. We are using natural language processing and large language models to parse readily queryable information out of thousands of descriptions in a national database of geology.",Outputs were not documented and DOI will update the use cases once additional data is collected from submitter,No,,,Implementation and Assessment,Neither,,,,,Developed in-house.,,No,,,Yes,USGS Fundamental Science Practicies Policies,No,No,Yes,,"Descriptions of geologic units taken from published reports.

","Documentation is complete: Documentation exists regarding the maintenance, composition, quality, and intended use of the training and evaluation data, as well as any statistical bias across model features and protected groups. ",no,,Yes,"Yes – agency has access to source code, but it is not public.",,Yes,Science Support System (SSS),Less than 6 months,Yes,,Yes,,Yes,,Use of existing data platforms: This use case is being developed on existing enterprise data and analytics platforms within the agency rather than procuring additional platforms or SaaS to operate.,Documentation has been published: Complete documentation has been published to a repository or data catalog within the agency and is made accessible to other data science teams for review and feedback.,No – Agency did not request an extension for this use case.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
