agency,use_case_name,bureau,current_ai_sophistication,omb_ai_classification,stage_of_development,system_name,vendor_name,problem_statement,expected_benefits,system_outputs
HHS,BioData  Catalyst Harmonized Data Model,HHS/NIH,agentic,Agentic AI,a) Pre-deployment  The use case is in a development or acquisition status.,,,Harmonizing complex scientific concepts in retrospectively collected data.,The AI will help lower the barrier to use and improve the quality of biomedical data for research to improve public health outcomes.,"Harmonized, AI-ready data."
HHS,NHLBI Chat Workflow - Data Management and Sharing Plan,HHS/NIH,agentic,Generative AI,b)  Pilot  The use case has been deployed in a limited test or pilot capacity.,NHLBI Chat,,Assists program officers in reviewing grant applications for a specific query in the checklist (DMSP).,Improved efficiency in workflow for Program officers,Recommendations
HHS,NHLBI Chat Workflow - Foreign Component,HHS/NIH,agentic,Generative AI,b)  Pilot  The use case has been deployed in a limited test or pilot capacity.,NHLBI Chat,,Assists program officers in reviewing grant applications for a specific query in the checklist (Foreign Component).,Improved efficiency in workflow for Program officers,Recommendation
HHS,Virtual Assistant for the NIAMS Grant Management Applications,HHS/NIH,agentic,Generative AI,a) Pre-deployment  The use case is in a development or acquisition status.,,,"New investigators and staff often struggle to locate policies, workflows, and troubleshooting steps buried across SharePoint guides, SOP documents, and in?app help screens for the two NIAMS Grants Management applications. In addition, support tickets and emails consume significant SME staff's time.","Streamlined Application Support Operations: The AI-powered virtual assistant can handle user questions and inquiries, reducing the burden and support time spent by grant SMEs and the IT application development team. It provides self-service options for users to resolve issues independently.","Input : NIAMS Grant Management Training material and Job aids  such as SOPs, user guides, and job aids. Output : Responses to end user questions with citation from user guides, training materials, job aids, and SOPs."
HHS,Transformer-Based Metadata Alignment Workflow,HHS/NIH,agentic,Generative AI,a) Pre-deployment  The use case is in a development or acquisition status.,,,Inconsistent data elements and differing definitions in glossaries of metadata structures across research data ecosystems hinder interoperability and FAIR-aligned reuse.,"Speed improvements in metadata harmonization across ecosystems, enabling more discoverable, reusable, and interoperable datasets to support secondary research, cross-program analysis, and interdisciplinary biomedical discovery. Enhances readiness for large-scale AI/ML applications by providing scalable semantic alignment capabilities and strengthening metadata infrastructure.","Two parallel outputs: (1) Ranked variable pairs using semantic similarity scores generated by transformer-based embeddings (MiniLM, MPNet); (2) GPT-based similarity scores with accompanying natural language justifications derived from semantic evaluation of metadata descriptions."
HHS,ABE (AI-driven. Beneficial. Efficient.),HHS/OASH/OIDP,agentic,Generative AI,b)  Pilot  The use case has been deployed in a limited test or pilot capacity.,,"ICF, DataSurge","By centralizing federal HIV program information in a custom Knowledge Base, ABE addresses the challenges of fragmented data and inefficient workflows, supporting operational efficiencies through a reduction in labor force and contracts, and providing the ability to quickly access, summarize, analyze, and create resources.","ABE is expected to deliver key benefits by streamlining operations, reducing costs, and improving data-driven decision-making related to HIV/AIDS programs. ABE will serve as a mechanism to expose other federal partners to the usage of AI within a protected knowledge base, increasing work output efficiencies and fostering federal partnerships through expanded Knowledge Base assets and usage.","generative AI content, images, summarizations, and analysis based on federally approved assets. Knowledge Base is in compliance with Gender Ideology and Preventing Woke AI Executive Orders"
HHS,Federal Assistant AI Agent,HHS/OCIO,agentic,Agentic AI,a) Pre-deployment  The use case is in a development or acquisition status.,,,"HHS and its Family of Agencies have a diverse, spread out basis of content that can be confusing to navigate and requires a user to have knowledge of HHS org structure to be able to obtain answers to their questions; leveraging Agentic AI using Turnkey app can reduce burden on citizens to find answers to their questions about HHS' services, and can reduce the volume of calls to HHS agency contact center representatives to answer common questions","Allows end-users to leverage a single point of entry and plain language to find information across all HHS and its family of agency websites, allowing only authoritative government sources, to provide answers to questions in a conversational manner without requiring the user to be able to navigate and understand a complex web of content and bureaucracy.  Reduction in costs for contact centers via lower call volume and decreased time spent per calls.","Plain language, conversational responses to customer inquiries via chatbot, providing sources for information as needed to increase accuracy of information and direct end-users to relevant resources."
HHS,GrantSolutions Non?Competing Continuation Approval Tool,HHS/ASFR/OG,agentic,Classical/Predictive Machine Learning,c)  Deployed  The use case is being actively authorized or utilized to support the functions or mission of an agency.,GrantSolutions,Internal Federal Shared Service (GrantSolutions),Grant managers need an efficient workflow to identify and analyze differences in non-competing continuation budgets and narratives from year to year.,"Automates repetitive workflows, reduces manual effort, delivers actionable insights, and accelerates accurate, transparent decisions across the grant lifecycle.",Produces Non?Competing Continuation eligibility recommendations for grants staff to act on.
HHS,GrantSolutions Helpdesk Agent,HHS/ASFR/OG,agentic,Generative AI,c)  Deployed  The use case is being actively authorized or utilized to support the functions or mission of an agency.,GrantSolutions,Internal Federal Shared Service (GrantSolutions),GrantSolutions users need an efficient method to get answers to their login and access-related questions.,"Automates repetitive workflows, reduces manual effort, delivers actionable insights, and accelerates accurate, transparent decisions across the grant lifecycle.",Provides information and helpful guidance to resolve common account related questions.
HHS,GrantSolutions Non?Competing Continuation Review Tool,HHS/ASFR/OG,agentic,Generative AI,b)  Pilot  The use case has been deployed in a limited test or pilot capacity.,GrantSolutions,Internal Federal Shared Service (GrantSolutions),Grant managers need an efficient workflow to identify and analyze differences in non-competing continuation budgets and narratives from year to year and ensure narratives promote federal priorities and mission.,"Automates repetitive workflows, reduces manual effort, delivers actionable insights, and accelerates accurate, transparent decisions across the grant lifecycle.",Flags potential compliance risks and delivers a structured summary that feeds reporting dashboards and enables secure sharing with other authorized systems.
NASA,Autoresolver/Tailored Arrival Manager,ARC: Ames Research Center,agentic,Agentic AI,a) Pre-deployment – The use case is in a development or acquisition status.,,,"The Autoresolver system is a tool for autonomous air traffic management. It is designed to perform many of the tasks that air-traffic controllers have historically performed including maintaining separation between aircraft, sequencing and scheduling aircraft across locations in space, and avoiding airspace volumes like weather systems and restricted airspace.","The Autoresolver system is a tool for autonomous air traffic management. It is designed to perform many of the tasks that air-traffic controllers have historically performed including maintaining separation between aircraft, sequencing and scheduling aircraft across locations in space, and avoiding airspace volumes like weather systems and restricted airspace.",autonomous air traffic management
NASA,Distributed Spacecraft Autonomy,ARC: Ames Research Center,agentic,Agentic AI,a) Pre-deployment – The use case is in a development or acquisition status.,,,"Distributed Spacecraft Autonomy (DSA) is a project developed by the National Aeronautics and Space Administration that enables distributed spacecraft systems through the development of three capabilities: scalable communication, distributed coordination and planning, and human-swarm interaction. DSA will demonstrate these capabilities in two contexts. The first context is a flight demonstration consisting of a software payload hosted on the Starling-1 small-spacecraft mission. This software payload will use the on-board GPS receiver to perform in-situ, swarm-level reconfiguration in response to observed features in the Topside Ionosphere. The second context is a scalability study, which shows how the technologies developed in the flight demonstration can scale to a large number of spacecraft (≈ 100). The scalability demonstration applies the tools developed for the flight mission to a ha","Distributed Spacecraft Autonomy (DSA) is a project developed by the National Aeronautics and Space Administration that enables distributed spacecraft systems through the development of three capabilities: scalable communication, distributed coordination and planning, and human-swarm interaction. DSA will demonstrate these capabilities in two contexts. The first context is a flight demonstration consisting of a software payload hosted on the Starling-1 small-spacecraft mission. This software payload will use the on-board GPS receiver to perform in-situ, swarm-level reconfiguration in response t","DSA will demonstrate these capabilities in two contexts. The first context is a flight demonstration consisting of a software payload hosted on the Starling-1 small-spacecraft mission. This software payload will use the on-board GPS receiver to perform in-situ, swarm-level reconfiguration in response to observed features in the Topside Ionosphere. The second context is a scalability study, which shows how the technologies developed in the flight demonstration can scale to a large number of spacecraft (≈ 100). The scalability demonstration applies the tools developed for the flight mission to a"
NASA,Deep Learning for Communication-Limited Spacecraft,GSFC: Goddard Space Flight Center,agentic,Classical/Predictive Machine Learning,a) Pre-deployment – The use case is in a development or acquisition status.,,,"The objective of this project is to investigate the feasibility of applying deep-learning algorithms to communication-limited spacecraft, an operational domain where a slow, restricted, or intermittent downlink bottleneck inhibits the generation of large training datasets on the ground. With novel complex sensors generating ever-increasing amounts of data, it is imperative to be able to autonomously and robustly classify scientifically useful data to maximize scientific utility per bit transmitted to the ground. This project studies two classification approaches, including supervised transfer learning and unsupervised feature extraction followed by clustering, to optimize selection of data products for download.",Deep Learning for Communication-Limited Spacecraft,Predictions
NASA,Enabling Autonomous Differential Drag Control and Attitude Maneuvering Using Onboard Artificial Intelligence (AI) for SmallSat Distributed Space Missions (DSMs),GSFC: Goddard Space Flight Center,agentic,Classical/Predictive Machine Learning,a) Pre-deployment – The use case is in a development or acquisition status.,,,"This work is in enabling Autonomous Differential Drag Control and Attitude Maneuvering Using onboard Artificial Intelligence (AI) for SmallSat Distributed Space Missions (DSMs). AI systems include autonomous navigation & control, with inputs including location, state, and systems data.",Enabling Autonomous Differential Drag Control and Attitude Maneuvering Using Onboard Artificial Intelligence (AI) for SmallSat Distributed Space Missions (DSMs),Predictions
NASA,AEGIS: Autonomous Exploration for Gathering Increased Science,JPL: Jet Propulsion Laboratory,agentic,Classical/Predictive Machine Learning,c)  Deployed – The use case is being actively authorized or utilized to support the functions or mission of an agency.,Mars2020 Rover,,"AEGIS enables intelligent targeting and data acquisition by planetary rovers. It uses computer vision techniques to identify targets (e.g., rocks) in wide angles images of the rover's surrounding terrain. If targets are found that match scientists specificiations, they are then measured autonomously using remote sensing instruments. AEGIS was first used on the MER Mission. It is currently in use on the MSL Mission to acquire data for the ChemCam instrument. It is planned for use in Spring of 2022 on the M2020 Mission to acquire data for the SuperCam instrument.","AEGIS enables intelligent targeting and data acquisition by planetary rovers. It uses computer vision techniques to identify targets (e.g., rocks) in wide angles images of the rover's surrounding terrain. If targets are found that match scientists specificiations, they are then measured autonomously using remote sensing instruments. AEGIS was first used on the MER Mission. It is currently in use on the MSL Mission to acquire data for the ChemCam instrument. It is planned for use in Spring of 2022 on the M2020 Mission to acquire data for the SuperCam instrument.","Recommendations of relevant objects, e.g., Mars rocks, for scientific examination."
NASA,Agile Science,JPL: Jet Propulsion Laboratory,agentic,Classical/Predictive Machine Learning,a) Pre-deployment – The use case is in a development or acquisition status.,,,"This project seeks to enable agile science to be conducted by remote, autonomous spacecraft beyond range of low-latency human control.","Spacecraft systems will have to be able to conduct onboard analysis of sensor data & images to choose scientific targets of opportunity, conduct on-board prioritization, conduct geometric reasoning, and implement planning, scheduling, and execution. Future missions to primitive bodies and deep space exploration may have limited time to explore unknown targets and to react/adapt to new science opportunities.","choose scientific targets of opportunity, conduct on-board prioritization, conduct geometric reasoning, and implement planning, scheduling, and execution"
NASA,ASPEN Mission Planner,JPL: Jet Propulsion Laboratory,agentic,Agentic AI,c)  Deployed – The use case is being actively authorized or utilized to support the functions or mission of an agency.,Multiple approved space-based systems,,"Based on AI techniques, ASPEN is a modular, reconfigurable application framework which is capable of supporting a wide variety of planning and scheduling applications. ASPEN provides a set of reusable software components that implement the elements commonly found in complex planning/scheduling systems, including: an expressive modeling language, a resource management system, a temporal reasoning system, and a graphical interface.","ASPEN has been used for many space missions including: Modified Antarctic Mapping Mission, Orbital Express, Earth Observing One, and ESA's Rosetta Orbiter.",Plan and schedule recommendations to optimize Science from Scientific Sensors.
NASA,Dynamic Targeting,JPL: Jet Propulsion Laboratory,agentic,Agentic AI,a) Pre-deployment – The use case is in a development or acquisition status.,,,"In this approach, called Dynamic Targeting (DT), traditional broad swath instruments are supplemented by more focused instruments with narrow swath and/or limited duty cycle. These instruments use tracking information from other instruments to rapidly and continuously adjust their targeting and configuration to optimize their science.","We aim to develop the onboard technology necessary to allow the instruments to autonomously identify critical areas of interest (e.g. plumes, thermal anomalies) or avoidance (e.g. clouds) and retarget/reconfigure to increase science productivity while accounting for instrument operations constraints such as pointing/slewing, energy, thermal, and setup. With DT, missions could control viewing geometry to extract stereo and smart instruments could autonomously track an event during an overflight to gain a more complete picture of geophysical and other events as they evolve through time and space","identify critical areas of interest (e.g. plumes, thermal anomalies) or avoidance (e.g. clouds)"
NASA,Enhanced AutoNav for Perseverance Rover on Mars,JPL: Jet Propulsion Laboratory,agentic,Classical/Predictive Machine Learning,c)  Deployed – The use case is being actively authorized or utilized to support the functions or mission of an agency.,Mars2020 Rover,,"AutoNav on the Perseverance Rover autonomously plans a safe path based on stereo navigation camera images, based on multiple technologies including a tree search for decision making, Dijkstra algorithm for global path planning, stereo processing for 3D terrain reconstruction, and Approximate Clearance Evaluation (ACE) for safety checks.","AutoNav on the Perseverance Rover autonomously plans a safe path based on stereo navigation camera images, based on multiple technologies including a tree search for decision making, Dijkstra algorithm for global path planning, stereo processing for 3D terrain reconstruction, and Approximate Clearance Evaluation (ACE) for safety checks.",Recommended navigation path for Mars Rover.
NASA,Groundwater data interpolation in California’s Central Valley using multimodal data fusion and multivariate sequence-to-sequence transformation models,JPL: Jet Propulsion Laboratory,agentic,Classical/Predictive Machine Learning,a) Pre-deployment – The use case is in a development or acquisition status.,,,We describe novel distributed Artificial Intelligence/Multi Agent algorithms to allocate observations in a constellation and compare their performance to centralized and highly distributed algorithms using realistic problem and orbit distributions.,We describe novel distributed Artificial Intelligence/Multi Agent algorithms to allocate observations in a constellation and compare their performance to centralized and highly distributed algorithms using realistic problem and orbit distributions.,compare their performance to centralized and highly distributed algorithms using realistic problem and orbit distributions.
NASA,Hybrid On-Board and Ground-Based Processing of Massive Sensor Data (HyspIRI IPM),JPL: Jet Propulsion Laboratory,agentic,Agentic AI,a) Pre-deployment – The use case is in a development or acquisition status.,,,"Future space missions will enable unprecedented monitoring of the Earth's environment and will generate immense volumes of science data. Getting this data to ground communications stations, through science processing, and delivered to end users is a tremendous challenge. On the ground, the spacecraft's orbit is projected, and automated mission-planning tools determine which onboard-processing mode the spacecraft should use. The orbit determines the type of terrain that the spacecraft would be overflying—land, ice, coast, or ocean, for instance. Each terrain mask implies a set of requested modes and priorities.","Future space missions will enable unprecedented monitoring of the Earth's environment and will generate immense volumes of science data. Getting this data to ground communications stations, through science processing, and delivered to end users is a tremendous challenge. On the ground, the spacecraft's orbit is projected, and automated mission-planning tools determine which onboard-processing mode the spacecraft should use. The orbit determines the type of terrain that the spacecraft would be overflying—land, ice, coast, or ocean, for instance. Each terrain mask implies a set of requested mode",onboard-processing mode the spacecraft should use
NASA,Mars2020 Rover (Perseverance),JPL: Jet Propulsion Laboratory,agentic,Agentic AI,c)  Deployed – The use case is being actively authorized or utilized to support the functions or mission of an agency.,Mars2020 Rover,,"Research, experiments, and engineering to empower future rovers with onboard autonomy; planning, scheduling & execution; path planning; onboard science; image processing; terrain classification; fault diagnosis; and location estimation.","Meta Search: Because the onboard scheduler will be invoked many times in a given sol (Martian Day) with a range of possible contexts (due to execution variations), its non backtracking nature leaves its vulnerable to brittleness. In order to mitigate this potential brittleness, the Copilot systems perform a monte carlo based stochastic analysis to set meta parameters of the scheduler - primarily activity priority but also potentially preferred time and temporal constraints.",Mission-priority-based recommendations for scheduling Mars2020 Rover activities.
NASA,Machine Learning for RFID (Radio Frequency Identification) tag localization to support logistics,JSC: Johnson Space Center,agentic,Classical/Predictive Machine Learning,a) Pre-deployment – The use case is in a development or acquisition status.,,,"Currently have two production machine learning approaches to tackle RFID (Radio Frequency Identification) tag localization in the highly reflective environment imposed by the International Space Station. First use case, REALMRFC, is a random forest classifier model with feature engineering performed by an RFID localization expert. The second use case is P-RFIDNet, a neural network with a ResNet50 backbone. In continued work, we have leveraged transfer learning to show how P-RFIDNet can be generalized to new RFID environments with limited training data. We benchmark P-RFIDNet and REALMRFC using data from the RFID Enabled Autonomous Logistics Management (REALM) and using truth derived from the Inventory Management System (IMS).","Currently have two production machine learning approaches to tackle RFID (Radio Frequency Identification) tag localization in the highly reflective environment imposed by the International Space Station. First use case, REALMRFC, is a random forest classifier model with feature engineering performed by an RFID localization expert. The second use case is P-RFIDNet, a neural network with a ResNet50 backbone. In continued work, we have leveraged transfer learning to show how P-RFIDNet can be generalized to new RFID environments with limited training data. We benchmark P-RFIDNet and REALMRFC using",RFID (Radio Frequency Identification) tag localization
NASA,Intelligent Contingency Management,LaRC: Langley Research Center,agentic,Agentic AI,a) Pre-deployment – The use case is in a development or acquisition status.,,,"Adapt and train AI algorithms to contribute to an autonomous vehicle mission manager for Advanced Air Mobility (Cargo, Air Taxis). At a high level, the AI must recognize contingency flight conditions and react appropriately to return the aircraft to safe flight status. The project has three main objectives: 1. Explore machine learning for intelligent contingency management, with a focus on assessing/projecting vehicle capability and maintaining nominal performance via reinforcement learning. 2. Develop vehicle intelligent contingency management system architecture at a functional level and validate against a specific Unmanned Air Mobility (UAM)-class vehicle. 3. Incorporate (1) and (2) into an evolving toolset for an autonomous vehicle.","Adapt and train AI algorithms to contribute to an autonomous vehicle mission manager for Advanced Air Mobility (Cargo, Air Taxis). At a high level, the AI must recognize contingency flight conditions and react appropriately to return the aircraft to safe flight status. The project has three main objectives: 1. Explore machine learning for intelligent contingency management, with a focus on assessing/projecting vehicle capability and maintaining nominal performance via reinforcement learning. 2. Develop vehicle intelligent contingency management system architecture at a functional level and val",Outputs include recognition of off-nominal conditions (contingencies) and mission executon strategy adjustments.
NASA,Using Natural Language Processing to Help Automate the Standardization of PI Variable Names from ICARTT Files,LaRC: Langley Research Center,agentic,Natural Language Processing (NLP),a) Pre-deployment – The use case is in a development or acquisition status.,,,"Variables names of data collected from suborbital missions need mapping to the corresponding standard variable names for consistency in labelling the available science data, enhancing data discovery for further research; ASDC (Atmospheric Science Data Center) is developing an AI/ML based workflow for the assignment of these standard variable names based on Natural Language Processing (NLP).","Variables names of data collected from suborbital missions need mapping to the corresponding standard variable names for consistency in labelling the available science data, enhancing data discovery for further research; ASDC (Atmospheric Science Data Center) is developing an AI/ML based workflow for the assignment of these standard variable names based on Natural Language Processing (NLP).",mapping to the corresponding standard variable names
NASA,INtelligent StennIs Gas House Technology (INSIGHT),SSC: Stennis Space Center,agentic,Agentic AI,a) Pre-deployment – The use case is in a development or acquisition status.,,,INSIGHT is an operational system that performs autonomous Integrated System Health Management (ISHM) and autonomous operations of the Nitrogen System of the High Pressure Gas Facility at NASA Stennis Space Center.,It is an application implemented using the NASA Platform for Autonomous Systems (NPAS) described in this document as AI Use Case Name: NASA Platform for Autonomous Systems (NPAS).,autonomous operations
NASA,NASA Platform for Autonomous Systems (NPAS),SSC: Stennis Space Center,agentic,Agentic AI,a) Pre-deployment – The use case is in a development or acquisition status.,,,"The NASA Platform for Autonomous Systems (NPAS) enables implementation of ""thinking"" systems, and in particular of ""thinking"" autonomous systems. A broad range of systems can be made to display ""thinking"" autonomous behavior; including fluid, mechanical, electrical, networks, and computer. Additional types of systems can be easily included.","NPAS systems/applications incorporate autonomy strategies to deal with off-nominal cases, and strategies for fault management. NPAS includes infrastructure for autonomous operations (task definition, planning, scheduling, and execution) embodying specific concepts of operations. NPAS supports implementation of hierarchical distributed autonomous systems and operations.","AI behavior, ""thinking,"" is grounded in a comprehensive representation of the system (comparable to SysML model descriptions that include health management and autonomy behaviors as well as schematic level descriptions), behavior/function models (physics-based, heuristic, rule-based - probabilistic and neural-network models can also be incorporated), Failure Modes and Effects Analysis (FMEA) with generic/re-usable libraries."
NASA,Autonomous WAiting Room Evaluation (AWARE),LaRC: Langley Research Center,agentic,Computer Vision,c)  Deployed – The use case is being actively authorized or utilized to support the functions or mission of an agency.,LaRC BPO Private Server,,"Using an existing security camera and YOLO Machine Learning model to detect and count number of people waiting for service at Langley's Badge & Pass Office. When a predetermined threshold of people is exceeded, automated texts and emails are sent to request additional help at the service counters.",Spreads load on LaRC Badge & Pass Office (via website telling employees how busy) and adds BPO support by texting staff when waiting room conut threshold exceeded.,"Detection, classification and enumaration of people in BPO waiting area"
NASA,Troupe Rover Demonstration,ARC: Ames Research Center,agentic,Agentic AI,a) Pre-deployment – The use case is in a development or acquisition status.,,,"The Troupe Rover demonstration project is implementing an algorithm called ""SafeMAP"" or Safe Multi-Agent Planner. SafeMAP is used in distributed multi-rover or multi-uav system to plan the actions of a group of collaborating agents working on a shared goal.","The Troupe Rover demonstration project is implementing an algorithm called ""SafeMAP"" or Safe Multi-Agent Planner. SafeMAP is used in distributed multi-rover or multi-uav system to plan the actions of a group of collaborating agents working on a shared goal.",action plans
NASA,Onboard Planner for Mars2020 Rover (Perseverance),JPL: Jet Propulsion Laboratory,agentic,Agentic AI,c)  Deployed – The use case is being actively authorized or utilized to support the functions or mission of an agency.,Multiple approved space-based systems,,The M2020 onboard scheduler incrementally constructs a feasible schedule by iterating through activities in priority-first order.,"Research, experiments, and engineering to empower future rovers with onboard autonomy; planning, scheduling & execution; path planning; onboard science; image processing; terrain classification; fault diagnosis; and location estimation. This is a multi-faceted effort and includes experimentation and demonstrations on-site at JPL's simulated mars navigation yard.","When considering each activity it computes the valid time intervals for placement, taking into account preheating, maintenance heating, and wake/sleep of the rover as required. After an activity is placed (other than a preheat/maintenance or wake/sleep), the activity is never reconsidered by the scheduler for deletion or moving. Therefore the scheduler can be considered non backtracking, and only searches in the sense that it computes valid timeline intervals for legal activity placement."
NASA,"SensorWeb: Volcano, Flood, Wildfire, and others.",JPL: Jet Propulsion Laboratory,agentic,Classical/Predictive Machine Learning,c)  Deployed – The use case is being actively authorized or utilized to support the functions or mission of an agency.,Multiple approved space-based systems,,The Sensor Web Project uses a network of sensors linked by software and the internet to an autonomous satellite observation response capability.,"This system of systems is designed with a flexible, modular, architecture to facilitate expansion in sensors, customization of trigger conditions, and customization of responses. This system has been used to implement a global surveillance program to study volcanos. We have also run sensorweb tests to study flooding, cryosphere events, and atmospheric phenomena. Specifically, in our application, we use low resolution, high coverage sensors to trigger observations by high resolution instruments. Note that there are many other rationales to network sensors into a sensorweb. For example automated","Identification and labelling of terrain, climate and weather features"
NASA,Friction Stir Weld Control,MSFC: Marshall Space Flight Center,agentic,Agentic AI,a) Pre-deployment – The use case is in a development or acquisition status.,,,The AI agent monitors the telemetry and supplements the human controlling the Self-Reacting Friction Stir Weld by sending updated trim commands to fine tune the weld parameters to keep the calculated power within the researched and specified band as conditions change.,"The SR-FSW has a lower defect rate reducing rework, cost, and number of test welds, providing more resilient structures.",The AI agent outputs updated trim commands sent to the welding machine.  A log of all input data and internal data is created.
NASA,"AI Digital Assistants (HRP) [was ""Doc in a Box"" for Earth Independent Medical Operations (EIMO)]",JSC: Johnson Space Center,agentic,Agentic AI,b)  Pilot – The use case has been deployed in a limited test or pilot capacity.,MCP GCP,,"A software agent that can perform tasks or services for an individual based on commands or questions. These commands can be given through text, voice, or other interfaces. DAs leverage artificial intelligence (AI), natural language processing (NLP) and machine learning (ML) to understand user requests, learn from interactions and provide increasingly personalized and accurate responses.","Improved cost savings, time savings, and process improvement in flight-related procedures related to medical conditions during flight.","Outputs recommendations for a human on possible activities to remediate medical conditions, for example while in space."
NASA,AIML for Code Review and Workforce Augmentation (converted to collective),WS: White Sands Test Facility,agentic,Natural Language Processing (NLP),"d) Retired – The use case was reported in the agency’s prior year’s inventory, but its development and/or use has since been discontinued.",,,"AI Studio API to GIT type Repositories for Code Review, Debating Agent implementation, and automation.","AI Studio API to GIT type Repositories for Code Review, Debating Agent implementation, and automation.",code reviews
NASA,DSM Autonomy: Capability Integration/Demonstration and Mission Resilience,GSFC: Goddard Space Flight Center,agentic,Agentic AI,a) Pre-deployment – The use case is in a development or acquisition status.,,,DSM Autonomy: Capability Integration/Demonstration and Mission Resilience,DSM Autonomy: Capability Integration/Demonstration and Mission Resilience,Predictions
NASA,AI Prediction Algorithms for Autonomous Science and Operations,GSFC: Goddard Space Flight Center,agentic,Classical/Predictive Machine Learning,a) Pre-deployment – The use case is in a development or acquisition status.,,,AI Prediction Algorithms for Autonomous Science and Operations,AI Prediction Algorithms for Autonomous Science and Operations,Predictions
NASA,Autonomous Network Security,GSFC: Goddard Space Flight Center,agentic,Classical/Predictive Machine Learning,a) Pre-deployment – The use case is in a development or acquisition status.,,,Autonomous Network Security,Autonomous Network Security,Predictions
NASA,Autonomous Obstacle Avoidance of Mobile Robots using Reinforcement Learning,GSFC: Goddard Space Flight Center,agentic,Classical/Predictive Machine Learning,a) Pre-deployment – The use case is in a development or acquisition status.,,,Autonomous Obstacle Avoidance of Mobile Robots using Reinforcement Learning,Autonomous Obstacle Avoidance of Mobile Robots using Reinforcement Learning,Predictions
NASA,Safe Autonomous Taxiing with Vision-Based Navigation,ARC: Ames Research Center,agentic,Computer Vision,a) Pre-deployment – The use case is in a development or acquisition status.,,,"TaxiNet is a vision-based deep learning model developed to enable autonomous vehicles to follow a designated line safely during aircraft taxiing, a crucial application for assured autonomy research. This project’s goal is to demonstrate safe, closed-loop control using neural network perception from camera images, focusing on meeting rigorous safety standards for learning-enabled components (LECs) in safety-critical contexts.","TaxiNet is a vision-based deep learning model developed to enable autonomous vehicles to follow a designated line safely during aircraft taxiing, a crucial application for assured autonomy research. This project’s goal is to demonstrate safe, closed-loop control using neural network perception from camera images, focusing on meeting rigorous safety standards for learning-enabled components (LECs) in safety-critical contexts.","We developed both a physical rover for real-world testing and a simulator in Unreal Engine with a realistic NASA Ames campus model for extensive, simulation-based validation."
NASA,GenAI Agent for Interacting with Robots (https://github.com/nasa-jpl/rosa),JPL: Jet Propulsion Laboratory,agentic,Generative AI,b)  Pilot – The use case has been deployed in a limited test or pilot capacity.,,,ROSA is an AI agent that integrates with the ROS ecosystem to help develop and operate robots using natural language. It is able to read live telemetry data from robotics systems and formulate answers to user queries.,ROSA is an AI agent that integrates with the ROS ecosystem to help develop and operate robots using natural language. It is able to read live telemetry data from robotics systems and formulate answers to user queries.,answers to user queries
NASA,Module for Event Driven Operations on Spacecraft (MEDOS),GSFC: Goddard Space Flight Center,agentic,Agentic AI,a) Pre-deployment – The use case is in a development or acquisition status.,,,"MEDOS, a flight-tested onboard decision engine","Event Driven operations (MEDOS) is agentic-focused, requiring little to no training data (compared with ML and RL methods), instead focusing on using existing subject matter expertise in complement with state-of-the-art intelligent systems.","Event Driven operations (MEDOS) is agentic-focused, requiring little to no training data (compared with ML and RL methods), instead focusing on using existing subject matter expertise in complement with state-of-the-art intelligent systems."
NASA,"Remote Coordination, Actuation, and Planning (ReCAP) Cooperative MultiAgent Architecture",GSFC: Goddard Space Flight Center,agentic,Agentic AI,a) Pre-deployment – The use case is in a development or acquisition status.,,,"ReCAP provides an architecture for lightweight, efficient coordination of highly-capable agents in a comms-limited environment. By providing agents with high-level, lightweight information about the capabilities of other agents in the fleet, ReCAP can facilitate allocation of tasks that are dynamically discovered and assigned via an auction. Auctions are conducted for particular tasks, and agents formulate bids based on encoded subject matter expertise predicting how a given action will affect their operations. For example, one agent may request that two others bid on a sampling task. The two agents bidding may possess different instruments for sampling, one of them able to sample remotely, but at low fidelity, the other able to sample at high fidelity but requiring a physical sample be collected. The auctioneer agent will consider its own mission goals and award the task to what it deem","Compared to existing multi-agent control systems, ReCAP requires no training data, before or during operations, and does not require centralized control. It was conceived alongside a NASA push for extensible mission architectures, intended to provide technology that would allow missions to interoperate as new assets are added or encountered, and to enable on-demand coordination between otherwise separate missions. ReCAP enables this capability by basing coordination on high-level, lightweight communications, and its auctioning system prevents the need for interchange of complex state informati","Through communications interfaces, ReCAP outputs (as well as receiving) state and auction information from other agents. The behavior tree additionally outputs control commands at a level tunable to the given use case; ReCAP has been implemented with direct vehicle control, commanding velocity and position changes, as well as at a much higher level, giving commands to an existing onboard controller."
NASA,Science Autonomy for NEAScout,JPL: Jet Propulsion Laboratory,agentic,Agentic AI,a) Pre-deployment – The use case is in a development or acquisition status.,,,Autonomy software to support on board AI science capabilities for the Near Earth Asteroid Scout Mission.,Autonomy software to support on board AI science capabilities for the Near Earth Asteroid Scout Mission.,Autonomy software to support on board AI science capabilities for the Near Earth Asteroid Scout Mission.
