slug,agency,ai_use_case,unit_counted,population,org_scope,stratum,confidence,reasoning,audit_verdict,audit_reasoning
state-transcribing-summarizing-or-other-efforts-that-improve-the-accessibility-of-a-vi,State,"Transcribing, summarizing, or other efforts that improve the accessibility of a virtual meeting or interview using AI.",employees,all_staff,enterprise,general,high,"Band 50,000+ is roughly two-thirds of the 77,000 headcount, consistent with an enterprise-wide Teams/Zoom meeting-transcription feature.",agree,"Fable audit 2026-07-05: label consistent with narrative, band-vs-headcount plausibility, and cross-agency precedents."
state-unlocking-smartphones-or-other-devices-without-the-need-for-passwords-or-pins-us,State,Unlocking smartphones or other devices without the need for passwords or PINs using AI-based facial recognition technology.,devices_endpoints,unknown,enterprise,excluded_not_seats,high,"Face ID device unlock, not a person AI seat; consistent with every other Face ID row.",agree,"Fable audit 2026-07-05: label consistent with narrative, band-vs-headcount plausibility, and cross-agency precedents."
stb-planning-travel-routes-using-ai-driven-map-applications,STB,Planning travel routes using AI-driven map applications.,employees,unknown,enterprise,excluded_not_seats,low,"Commercial product listed is ""Apple iPhone"" (linked to Apple Face ID) for a task about map-based route planning -- the linked product looks mismatched to the narrative; either a device- or ambient-map read lands in excluded_not_seats.",agree,"Fable audit 2026-07-05: label consistent with narrative, band-vs-headcount plausibility, and cross-agency precedents."
stb-searching-for-agency-information-using-a-knowledge-retrieval-system,STB,Searching for agency information using a knowledge retrieval system.,employees,all_staff,enterprise,general,medium,Same enterprise Copilot rollout pattern.,agree,"Fable audit 2026-07-05: label consistent with narrative, band-vs-headcount plausibility, and cross-agency precedents."
treasury-creating-visual-representations-of-data-sets-for-reports-or-presentations-using-,Treasury,Creating visual representations of data sets for reports or presentations using AI.,employees,office_staff,unknown,general,low,"No product named (""N/A""); generic office reporting/visualization task read as ordinary productivity use, not a data-analytics specialty, band 101-1000 is a thin slice of Treasury's 100k staff.",agree,"Fable audit 2026-07-05: label consistent with narrative, band-vs-headcount plausibility, and cross-agency precedents."
treasury-curating-news-articles-and-updates-based-on-user-preferences-using-ai,Treasury,Curating news articles and updates based on user preferences using AI.,employees,office_staff,unknown,general,low,"""based on user preferences"" reads as a personalized-newsfeed productivity feature for individual staff; no product named so a comms-specific reading can't be confirmed.",agree,"Fable audit 2026-07-05: label consistent with narrative, band-vs-headcount plausibility, and cross-agency precedents."
treasury-improving-the-quality-of-written-communications-using-ai-tools,Treasury,Improving the quality of written communications using AI tools.,employees,office_staff,enterprise,general,medium,"Same enterprise writing-assistance pattern as the drafting row; band 5,001-10,000 matches a comparable slice of the 100k headcount.",agree,"Fable audit 2026-07-05: label consistent with narrative, band-vs-headcount plausibility, and cross-agency precedents."
treasury-planning-travel-routes-using-ai-driven-map-applications,Treasury,Planning travel routes using AI-driven map applications.,employees,all_staff,enterprise,excluded_not_seats,medium,"Matches worked example 3 (consumer map apps); band's lower bound (50,000) is half the 100k headcount, plausibly staff phones, but consumer navigation AI is not a person AI seat either way.",agree,"Fable audit 2026-07-05: label consistent with narrative, band-vs-headcount plausibility, and cross-agency precedents."
treasury-prioritizing-and-categorizing-incoming-emails-using-ai,Treasury,Prioritizing and categorizing incoming emails using AI.,employees,office_staff,unknown,general,low,Email-triage AI is a generic productivity feature; small band (101-1000) and no named product limit confidence.,agree,"Fable audit 2026-07-05: label consistent with narrative, band-vs-headcount plausibility, and cross-agency precedents."
treasury-scheduling-internal-to-government-meetings-or-appointments-or-setting-reminders-,Treasury,Scheduling internal-to-government meetings or appointments or setting reminders using AI.,employees,office_staff,unknown,general,low,"Generic calendar/scheduling-assistant feature (""setting reminders""); no product named, band 101-1000 modest.",agree,"Fable audit 2026-07-05: label consistent with narrative, band-vs-headcount plausibility, and cross-agency precedents."
treasury-transcribing-summarizing-or-other-efforts-that-improve-the-accessibility-of-a-vi,Treasury,"Transcribing, summarizing, or other efforts that improve the accessibility of a virtual meeting or interview using AI.",employees,all_staff,enterprise,general,medium,"Meeting transcription/captioning (Teams/Zoom-style) is typically an enterprise collaboration feature; band 10,000-50,000 (up to half the 100k headcount) fits a broad rollout.",agree,"Fable audit 2026-07-05: label consistent with narrative, band-vs-headcount plausibility, and cross-agency precedents."
treasury-unlocking-smartphones-or-other-devices-without-the-need-for-passwords-or-pins-us,Treasury,Unlocking smartphones or other devices without the need for passwords or PINs using AI-based facial recognition technology.,devices_endpoints,unknown,enterprise,excluded_not_seats,high,"Facial-recognition phone unlock is a device feature, not a person AI seat; SEC's identical row links the canonical product as ""Apple Face ID"" (consumer_feature), confirming the pattern.",agree,"Fable audit 2026-07-05: label consistent with narrative, band-vs-headcount plausibility, and cross-agency precedents."
treasury-using-ai-assisted-tools-in-word-processors,Treasury,Using AI-assisted tools in word processors.,employees,office_staff,unknown,general,low,"Generic word-processing AI-assist feature; no product named, band 101-1000 modest.",agree,"Fable audit 2026-07-05: label consistent with narrative, band-vs-headcount plausibility, and cross-agency precedents."
tva-prioritizing-and-categorizing-incoming-emails-using-ai,TVA,Prioritizing and categorizing incoming emails using AI.,employees,office_staff,enterprise,general,high,"Same reused Copilot band (101-1,000) against TVA's 10,000 headcount, fitting office staff.",agree,"Fable audit 2026-07-05: label consistent with narrative, band-vs-headcount plausibility, and cross-agency precedents."
usda-generating-code-using-ai,USDA,Generating code using AI.,employees,occupation:developers,component,technical,high,"GitHub Copilot for code generation maps to developer occupation; band 101-1,000 of 100,000 fits a dev team, not the whole agency.",agree,"Fable audit 2026-07-05: label consistent with narrative, band-vs-headcount plausibility, and cross-agency precedents."
usda-planning-travel-routes-using-ai-driven-map-applications,USDA,Planning travel routes using AI-driven map applications.,public_users,unknown,enterprise,excluded_not_seats,medium,"Consumer map navigation (Apple Maps), same excluded_not_seats treatment as the worked example regardless of staff-vs-public reading.",agree,"Fable audit 2026-07-05: label consistent with narrative, band-vs-headcount plausibility, and cross-agency precedents."
usda-searching-for-agency-information-using-a-knowledge-retrieval-system,USDA,Searching for agency information using a knowledge retrieval system.,employees,all_staff,enterprise,general,high,"Band of 50,000+ is half the 100,000 headcount, consistent with an enterprise Microsoft 365 Copilot Chat rollout for knowledge search.",agree,"Fable audit 2026-07-05: label consistent with narrative, band-vs-headcount plausibility, and cross-agency precedents."
usda-unlocking-smartphones-or-other-devices-without-the-need-for-passwords-or-pins-us,USDA,Unlocking smartphones or other devices without the need for passwords or PINs using AI-based facial recognition technology.,devices_endpoints,unknown,enterprise,excluded_not_seats,high,"Face ID device unlock, consistent with the pattern across all agencies.",agree,"Fable audit 2026-07-05: label consistent with narrative, band-vs-headcount plausibility, and cross-agency precedents."
usitc-curating-news-articles-and-updates-based-on-user-preferences-using-ai,USITC,Curating news articles and updates based on user preferences using AI.,employees,occupation:comms,component,comms,high,"Meltwater is a media-monitoring/social-listening platform used by comms shops, matching the stratum definition directly regardless of the small headcount-relative band.",agree,"Fable audit 2026-07-05: label consistent with narrative, band-vs-headcount plausibility, and cross-agency precedents."
usitc-finding-and-booking-travel-accommodations-using-ai-powered-platforms,USITC,Finding and booking travel accommodations using AI-powered platforms.,employees,office_staff,enterprise,excluded_not_seats,medium,Consistency: SAP Concur booking features are excluded per the EPA precedent.,override,Fable audit 2026-07-05: Consistency: SAP Concur booking features are excluded per the EPA precedent.
usitc-summarizing-the-key-points-of-a-lengthy-report-using-ai,USITC,Summarizing the key points of a lengthy report using AI.,employees,office_staff,enterprise,general,medium,Generic Copilot summarization task; band 1-100 of 400 headcount fits an office_staff subset.,agree,"Fable audit 2026-07-05: label consistent with narrative, band-vs-headcount plausibility, and cross-agency precedents."
va-generating-first-drafts-of-documents-briefing-or-communication-materials-using-a,VA,"Generating first drafts of documents, briefing, or communication materials using AI.",employees,office_staff,enterprise,general,medium,"Microsoft Copilot Chat drafting task; band (50,000+) is roughly 10-20% of VA's 482,000 headcount, more consistent with an office/administrative-staff rollout than VA's entire clinical-heavy workforce (all_staff).",agree,"Fable audit 2026-07-05: label consistent with narrative, band-vs-headcount plausibility, and cross-agency precedents."
va-improving-the-quality-of-written-communications-using-ai-tools,VA,Improving the quality of written communications using AI tools.,employees,single_component,component,general,medium,"Grammarly; band (1-100) is tiny relative to VA's 482,000 headcount, indicating a specific pilot office rather than an enterprise rollout.",agree,"Fable audit 2026-07-05: label consistent with narrative, band-vs-headcount plausibility, and cross-agency precedents."
va-managing-or-implementing-security-controls-for-information-systems-e-g-cybersecu,VA,"Managing or implementing security controls for information systems (e.g., cybersecurity) using AI",devices_endpoints,unknown,enterprise,excluded_not_seats,high,"Splunk (""IT Service Intelligence"") is a security/monitoring platform; band (10,000-50,000) reads as endpoints/systems monitored, matching the DOE Splunk/CrowdStrike worked example, not people.",agree,"Fable audit 2026-07-05: label consistent with narrative, band-vs-headcount plausibility, and cross-agency precedents."
va-summarizing-the-key-points-of-a-lengthy-report-using-ai,VA,Summarizing the key points of a lengthy report using AI.,applicants_cases,unknown,enterprise,excluded_not_seats,high,"Medallia powers VA's VSignals program, which has aggregated over 8 million veteran survey responses (healthcareitnews.com/news/improving-veteran-customer-experience-and-building-trust; medallia.com/blog/va-customer-experience-success); the 50,000+ band reads as processed survey/feedback records, not VA employee seats.",agree,"Fable audit 2026-07-05: label consistent with narrative, band-vs-headcount plausibility, and cross-agency precedents."
va-unlocking-smartphones-or-other-devices-without-the-need-for-passwords-or-pins-us,VA,Unlocking smartphones or other devices without the need for passwords or PINs using AI-based facial recognition technology.,devices_endpoints,unknown,enterprise,excluded_not_seats,high,"Face ID biometric device unlock, an explicit non-seat feature; band (50,000+) plausible as VA's large government-issued-phone fleet.",agree,"Fable audit 2026-07-05: label consistent with narrative, band-vs-headcount plausibility, and cross-agency precedents."
dhs-creating-visual-representations-of-data-sets-for-reports-or-presentations-using-,DHS,Creating visual representations of data sets for reports or presentations using AI.,employees,occupation:data_scientists,component,technical,medium,"Azure Synapse Analytics for reporting/dashboards; band 5,001-10,000 is roughly 2-4% of DHS's 260,000 headcount, consistent with an analytics team rather than enterprise-wide.",agree,Fable audit 2026-07-05 (batch2 full re-audit): consistent. Note: DOE Tableau kept technical (scoped 101-1000 analyst band) vs FDIC Power BI excluded (5-10k band = bundled to whole agency) — band scope distinguishes analyst tools from bundled features.
dhs-editing-images-videos-or-other-public-affairs-materials-using-ai,DHS,"Editing images, videos, or other public affairs materials using AI.",employees,occupation:comms,component,comms,high,"Narrative explicitly says 'public affairs materials'; Adobe Firefly/Veo for a comms shop, band 101-1000 of 260,000 is one office.",agree,Fable audit 2026-07-05 (batch2 full re-audit): consistent. Note: DOE Tableau kept technical (scoped 101-1000 analyst band) vs FDIC Power BI excluded (5-10k band = bundled to whole agency) — band scope distinguishes analyst tools from bundled features.
dhs-generating-code-using-ai,DHS,Generating code using AI.,employees,occupation:developers,component,technical,medium,"GitHub Copilot/Poolside plus several component-specific coding assistants (Ask Hamilton, CamoGPT, NIPRGPT) read as a rollup of separate component developer tools rather than one enterprise deployment; band 1001-5000 of 260,000 fits a developer subpopulation.",agree,Fable audit 2026-07-05 (batch2 full re-audit): consistent. Note: DOE Tableau kept technical (scoped 101-1000 analyst band) vs FDIC Power BI excluded (5-10k band = bundled to whole agency) — band scope distinguishes analyst tools from bundled features.
doe-creating-visual-representations-of-data-sets-for-reports-or-presentations-using-,DOE,Creating visual representations of data sets for reports or presentations using AI.,employees,occupation:data_scientists,component,technical,medium,"Tableau data-viz for reports is analyst tooling; band 101-1000 is a small slice of DOE's 16,000 staff, so component-level, not enterprise-wide.",agree,Fable audit 2026-07-05 (batch2 full re-audit): consistent. Note: DOE Tableau kept technical (scoped 101-1000 analyst band) vs FDIC Power BI excluded (5-10k band = bundled to whole agency) — band scope distinguishes analyst tools from bundled features.
doe-curating-news-articles-and-updates-based-on-user-preferences-using-ai,DOE,Curating news articles and updates based on user preferences using AI.,employees,occupation:comms,component,comms,high,Meltwater is a media-monitoring/clipping tool used by public-affairs teams; small 1-100 band fits a single comms shop.,agree,Fable audit 2026-07-05 (batch2 full re-audit): consistent. Note: DOE Tableau kept technical (scoped 101-1000 analyst band) vs FDIC Power BI excluded (5-10k band = bundled to whole agency) — band scope distinguishes analyst tools from bundled features.
doe-editing-images-videos-or-other-public-affairs-materials-using-ai,DOE,"Editing images, videos, or other public affairs materials using AI.",employees,occupation:comms,component,comms,high,"Narrative explicitly says 'public affairs materials'; Adobe Creative Cloud + TVEyes is comms-shop tooling, band 1-100 is one office.",agree,Fable audit 2026-07-05 (batch2 full re-audit): consistent. Note: DOE Tableau kept technical (scoped 101-1000 analyst band) vs FDIC Power BI excluded (5-10k band = bundled to whole agency) — band scope distinguishes analyst tools from bundled features.
doe-managing-and-prioritizing-internal-service-or-help-desk-tickets-using-ai,DOE,Managing and prioritizing internal service or help desk tickets using AI.,employees,single_component,component,excluded_not_seats,medium,"ServiceNow helpdesk virtual-agent features are embedded ITSM, not an AI seat; consistent with EPA/FHFA ServiceNow exclusions.",override,Fable audit 2026-07-05 (batch2 full re-audit): consistency with ServiceNow exclusions.
doe-scheduling-and-managing-social-media-posts-using-ai,DOE,Scheduling and managing social media posts using AI.,employees,occupation:comms,component,comms,high,Sprout Social is a social-media management platform used by comms/PR staff; band 1-100 is one comms shop.,agree,Fable audit 2026-07-05 (batch2 full re-audit): consistent. Note: DOE Tableau kept technical (scoped 101-1000 analyst band) vs FDIC Power BI excluded (5-10k band = bundled to whole agency) — band scope distinguishes analyst tools from bundled features.
ferc-generating-code-using-ai,FERC,Generating code using AI.,employees,occupation:developers,component,technical,high,"GitHub Copilot band 1-100 at a 1,500-employee agency is a small developer team.",agree,Fable audit 2026-07-05 (batch2 full re-audit): consistent. Note: DOE Tableau kept technical (scoped 101-1000 analyst band) vs FDIC Power BI excluded (5-10k band = bundled to whole agency) — band scope distinguishes analyst tools from bundled features.
ferc-generating-first-drafts-of-documents-briefing-or-communication-materials-using-a,FERC,"Generating first drafts of documents, briefing, or communication materials using AI.",employees,all_staff,enterprise,general,medium,"Microsoft 365 Copilot/Azure OpenAI band 101-1000 is roughly two-thirds of FERC's 1,500 headcount, consistent with a near-agency-wide drafting rollout.",agree,Fable audit 2026-07-05 (batch2 full re-audit): consistent. Note: DOE Tableau kept technical (scoped 101-1000 analyst band) vs FDIC Power BI excluded (5-10k band = bundled to whole agency) — band scope distinguishes analyst tools from bundled features.
ferc-searching-for-agency-information-using-a-knowledge-retrieval-system,FERC,Searching for agency information using a knowledge retrieval system.,employees,all_staff,enterprise,general,medium,"Same Microsoft 365 Copilot band (101-1000 of 1,500 headcount) as the drafting row, consistent with a near-agency-wide rollout.",agree,Fable audit 2026-07-05 (batch2 full re-audit): consistent. Note: DOE Tableau kept technical (scoped 101-1000 analyst band) vs FDIC Power BI excluded (5-10k band = bundled to whole agency) — band scope distinguishes analyst tools from bundled features.
ferc-summarizing-the-key-points-of-a-lengthy-report-using-ai,FERC,Summarizing the key points of a lengthy report using AI.,employees,all_staff,enterprise,general,medium,Same Microsoft 365 Copilot/Azure OpenAI 101-1000 band as the other FERC Copilot rows.,agree,Fable audit 2026-07-05 (batch2 full re-audit): consistent. Note: DOE Tableau kept technical (scoped 101-1000 analyst band) vs FDIC Power BI excluded (5-10k band = bundled to whole agency) — band scope distinguishes analyst tools from bundled features.
ferc-unlocking-smartphones-or-other-devices-without-the-need-for-passwords-or-pins-us,FERC,Unlocking smartphones or other devices without the need for passwords or PINs using AI-based facial recognition technology.,devices_endpoints,unknown,unknown,excluded_not_seats,high,"Apple Face ID device unlock; excluded_not_seats regardless of the 101-1000 band size, per worked example 2's device-feature logic.",agree,Fable audit 2026-07-05 (batch2 full re-audit): consistent. Note: DOE Tableau kept technical (scoped 101-1000 analyst band) vs FDIC Power BI excluded (5-10k band = bundled to whole agency) — band scope distinguishes analyst tools from bundled features.
ferc-using-ai-assisted-tools-in-word-processors,FERC,Using AI-assisted tools in word processors.,employees,all_staff,enterprise,general,medium,Same Microsoft 365 Copilot 101-1000 band as the other FERC Copilot rows.,agree,Fable audit 2026-07-05 (batch2 full re-audit): consistent. Note: DOE Tableau kept technical (scoped 101-1000 analyst band) vs FDIC Power BI excluded (5-10k band = bundled to whole agency) — band scope distinguishes analyst tools from bundled features.
ftc-generating-code-using-ai,FTC,Generating code using AI.,employees,occupation:developers,component,technical,high,"Azure Databricks for a small 1-100-person band at a 1,200-employee agency is a developer/data-engineering team tool.",agree,Fable audit 2026-07-05 (batch2 full re-audit): consistent. Note: DOE Tableau kept technical (scoped 101-1000 analyst band) vs FDIC Power BI excluded (5-10k band = bundled to whole agency) — band scope distinguishes analyst tools from bundled features.
ftc-generating-first-drafts-of-documents-briefing-or-communication-materials-using-a,FTC,"Generating first drafts of documents, briefing, or communication materials using AI.",employees,all_staff,enterprise,general,medium,"Copilot band 1001-5000 is filed identically against every FTC task row despite FTC's headcount being only 1,200; the lower bound (1,001) is still below headcount, consistent with reporting the full agency-wide M365 Copilot seat count once per task rather than distinct per-task usage -- treated as an all-staff enterprise rollout.",agree,Fable audit 2026-07-05 (batch2 full re-audit): consistent. Note: DOE Tableau kept technical (scoped 101-1000 analyst band) vs FDIC Power BI excluded (5-10k band = bundled to whole agency) — band scope distinguishes analyst tools from bundled features.
ftc-managing-or-implementing-security-controls-for-information-systems-e-g-cybersecu,FTC,"Managing or implementing security controls for information systems (e.g., cybersecurity) using AI",devices_endpoints,unknown,enterprise,excluded_not_seats,high,"CrowdStrike/Dtex/KnowBe4 endpoint/security-agent tools; band upper bound (5,000) is over 4x FTC's 1,200 headcount, confirming a device count.",agree,Fable audit 2026-07-05 (batch2 full re-audit): consistent. Note: DOE Tableau kept technical (scoped 101-1000 analyst band) vs FDIC Power BI excluded (5-10k band = bundled to whole agency) — band scope distinguishes analyst tools from bundled features.
ftc-planning-travel-routes-using-ai-driven-map-applications,FTC,Planning travel routes using AI-driven map applications.,public_users,unknown,unknown,excluded_not_seats,medium,"Google/Apple Maps band 1001-5000 exceeds FTC's 1,200 headcount, so this is a device/app-install count, not an employee seat -- same consumer-ambient-AI exclusion as worked example 3.",agree,Fable audit 2026-07-05 (batch2 full re-audit): consistent. Note: DOE Tableau kept technical (scoped 101-1000 analyst band) vs FDIC Power BI excluded (5-10k band = bundled to whole agency) — band scope distinguishes analyst tools from bundled features.
ftc-prioritizing-and-categorizing-incoming-emails-using-ai,FTC,Prioritizing and categorizing incoming emails using AI.,employees,all_staff,enterprise,general,medium,Same repeated 1001-5000 Copilot band pattern as the other undifferentiated FTC Copilot rows; treated as the agency-wide M365 Copilot deployment.,agree,Fable audit 2026-07-05 (batch2 full re-audit): consistent. Note: DOE Tableau kept technical (scoped 101-1000 analyst band) vs FDIC Power BI excluded (5-10k band = bundled to whole agency) — band scope distinguishes analyst tools from bundled features.
ftc-transcribing-summarizing-or-other-efforts-that-improve-the-accessibility-of-a-vi,FTC,"Transcribing, summarizing, or other efforts that improve the accessibility of a virtual meeting or interview using AI.",employees,all_staff,enterprise,general,medium,Same repeated Copilot 1001-5000 band pattern as the other generic FTC Copilot rows.,agree,Fable audit 2026-07-05 (batch2 full re-audit): consistent. Note: DOE Tableau kept technical (scoped 101-1000 analyst band) vs FDIC Power BI excluded (5-10k band = bundled to whole agency) — band scope distinguishes analyst tools from bundled features.
ftc-unlocking-smartphones-or-other-devices-without-the-need-for-passwords-or-pins-us,FTC,Unlocking smartphones or other devices without the need for passwords or PINs using AI-based facial recognition technology.,devices_endpoints,unknown,enterprise,excluded_not_seats,high,"iPhone Face ID; band upper bound (5,000) is over 4x FTC's 1,200 headcount, confirming a device count, not employees.",agree,Fable audit 2026-07-05 (batch2 full re-audit): consistent. Note: DOE Tableau kept technical (scoped 101-1000 analyst band) vs FDIC Power BI excluded (5-10k band = bundled to whole agency) — band scope distinguishes analyst tools from bundled features.
ftc-using-ai-assisted-tools-in-word-processors,FTC,Using AI-assisted tools in word processors.,employees,all_staff,enterprise,general,medium,Same repeated Copilot 1001-5000 band pattern as the other generic FTC Copilot rows.,agree,Fable audit 2026-07-05 (batch2 full re-audit): consistent. Note: DOE Tableau kept technical (scoped 101-1000 analyst band) vs FDIC Power BI excluded (5-10k band = bundled to whole agency) — band scope distinguishes analyst tools from bundled features.
osc-generating-first-drafts-of-documents-briefing-or-communication-materials-using-a,OSC,"Generating first drafts of documents, briefing, or communication materials using AI.",employees,all_staff,enterprise,general,medium,"Headcount is blank in the source data, but OSC's actual FTE count is only ~120-140 (osc.gov FY2025 lapse plan / budget justification); a 101-1000 band comfortably covers the whole agency, so this reads as an all-staff Microsoft Copilot rollout like worked example 1.",agree,Fable audit 2026-07-05 (batch2 full re-audit): consistent. Note: DOE Tableau kept technical (scoped 101-1000 analyst band) vs FDIC Power BI excluded (5-10k band = bundled to whole agency) — band scope distinguishes analyst tools from bundled features.
osc-improving-the-quality-of-written-communications-using-ai-tools,OSC,Improving the quality of written communications using AI tools.,employees,all_staff,enterprise,general,medium,"Same Microsoft Copilot 101-1000 band; OSC's real headcount (~120-140) fits comfortably inside that band, consistent with an agency-wide rollout.",agree,Fable audit 2026-07-05 (batch2 full re-audit): consistent. Note: DOE Tableau kept technical (scoped 101-1000 analyst band) vs FDIC Power BI excluded (5-10k band = bundled to whole agency) — band scope distinguishes analyst tools from bundled features.
osc-summarizing-the-key-points-of-a-lengthy-report-using-ai,OSC,Summarizing the key points of a lengthy report using AI.,employees,all_staff,enterprise,general,medium,Same Microsoft Copilot 101-1000 band/agency-wide rollout reasoning as the other OSC Copilot rows.,agree,Fable audit 2026-07-05 (batch2 full re-audit): consistent. Note: DOE Tableau kept technical (scoped 101-1000 analyst band) vs FDIC Power BI excluded (5-10k band = bundled to whole agency) — band scope distinguishes analyst tools from bundled features.
osc-transcribing-summarizing-or-other-efforts-that-improve-the-accessibility-of-a-vi,OSC,"Transcribing, summarizing, or other efforts that improve the accessibility of a virtual meeting or interview using AI.",employees,all_staff,enterprise,general,medium,Same Microsoft Copilot 101-1000 band/agency-wide rollout reasoning as the other OSC Copilot rows.,agree,Fable audit 2026-07-05 (batch2 full re-audit): consistent. Note: DOE Tableau kept technical (scoped 101-1000 analyst band) vs FDIC Power BI excluded (5-10k band = bundled to whole agency) — band scope distinguishes analyst tools from bundled features.
osc-unlocking-smartphones-or-other-devices-without-the-need-for-passwords-or-pins-us,OSC,Unlocking smartphones or other devices without the need for passwords or PINs using AI-based facial recognition technology.,devices_endpoints,unknown,unknown,excluded_not_seats,high,"Apple Face ID device unlock, band 1-100; device feature excluded from the seat model regardless of scale.",agree,Fable audit 2026-07-05 (batch2 full re-audit): consistent. Note: DOE Tableau kept technical (scoped 101-1000 analyst band) vs FDIC Power BI excluded (5-10k band = bundled to whole agency) — band scope distinguishes analyst tools from bundled features.
osc-using-ai-assisted-tools-in-word-processors,OSC,Using AI-assisted tools in word processors.,employees,all_staff,enterprise,general,medium,Same Microsoft Copilot 101-1000 band/agency-wide rollout reasoning as the other OSC Copilot rows.,agree,Fable audit 2026-07-05 (batch2 full re-audit): consistent. Note: DOE Tableau kept technical (scoped 101-1000 analyst band) vs FDIC Power BI excluded (5-10k band = bundled to whole agency) — band scope distinguishes analyst tools from bundled features.
