slug,agency,agency_name,bureau,ai_use_case,commercial_product,commercial_examples,band,band_upper,linked_products,linked_product_types,agency_total_headcount
hud-searching-for-agency-information-using-a-knowledge-retrieval-system,HUD,Department of Housing and Urban Development,,Searching for agency information using a knowledge retrieval system.,Microsoft Copilot,,1-100,100,Microsoft 365 Copilot,general_llm,8400
hud-summarizing-the-key-points-of-a-lengthy-report-using-ai,HUD,Department of Housing and Urban Development,,Summarizing the key points of a lengthy report using AI.,Microsoft Copilot,,1-100,100,Microsoft 365 Copilot,general_llm,8400
hud-transcribing-summarizing-or-other-efforts-that-improve-the-accessibility-of-a-vi,HUD,Department of Housing and Urban Development,,"Transcribing, summarizing, or other efforts that improve the accessibility of a virtual meeting or interview using AI.",Microsoft Copilot,,1-100,100,Microsoft 365 Copilot,general_llm,8400
hud-unlocking-smartphones-or-other-devices-without-the-need-for-passwords-or-pins-us,HUD,Department of Housing and Urban Development,,Unlocking smartphones or other devices without the need for passwords or PINs using AI-based facial recognition technology.,Apple iPhone,,1001-5000,5000,Apple Face ID,consumer_feature,8400
hud-using-ai-assisted-tools-in-word-processors,HUD,Department of Housing and Urban Development,,Using AI-assisted tools in word processors.,Microsoft Copilot,,1-100,100,Microsoft 365 Copilot,general_llm,8400
nasa-creating-visual-representations-of-data-sets-for-reports-or-presentations-using-,NASA,National Aeronautics and Space Administration,,Creating visual representations of data sets for reports or presentations using AI.,"Azure, Amazon Web Services, Mural",,1001-5000,5000,Mural; Amazon Web Services,"productivity,cloud_platform",18000
nasa-curating-news-articles-and-updates-based-on-user-preferences-using-ai,NASA,National Aeronautics and Space Administration,,Curating news articles and updates based on user preferences using AI.,"Azure, OpenAI",,1-100,100,OpenAI API,general_llm,18000
nasa-editing-images-videos-or-other-public-affairs-materials-using-ai,NASA,National Aeronautics and Space Administration,,"Editing images, videos, or other public affairs materials using AI.",Adobe Connect,,101-1000,1000,Adobe,productivity,18000
nasa-finding-and-booking-travel-accommodations-using-ai-powered-platforms,NASA,National Aeronautics and Space Administration,,Finding and booking travel accommodations using AI-powered platforms.,AWS Bedrock,,1-100,100,AWS Bedrock,general_llm,18000
nasa-generating-code-using-ai,NASA,National Aeronautics and Space Administration,,Generating code using AI.,"Azure, Alteryx, Microsoft Power Suite, Windsurf",,1001-5000,5000,Alteryx; Microsoft Azure Platform; Windsurf,"ml_platform,cloud_platform,coding_assistant",18000
nasa-generating-first-drafts-of-documents-briefing-or-communication-materials-using-a,NASA,National Aeronautics and Space Administration,,"Generating first drafts of documents, briefing, or communication materials using AI.","Microsoft Copilot, Gemini, Azure",,1001-5000,5000,Microsoft 365 Copilot; Gemini,general_llm,18000
nasa-improving-the-quality-of-written-communications-using-ai-tools,NASA,National Aeronautics and Space Administration,,Improving the quality of written communications using AI tools.,Microsoft Copilot,,1-100,100,Microsoft 365 Copilot,general_llm,18000
nasa-managing-and-prioritizing-internal-service-or-help-desk-tickets-using-ai,NASA,National Aeronautics and Space Administration,,Managing and prioritizing internal service or help desk tickets using AI.,"Alteryx, Microsoft Power BI",,"5001-10,000",10000,Alteryx; Microsoft Power BI,"ml_platform,data_analytics",18000
nasa-searching-for-agency-information-using-a-knowledge-retrieval-system,NASA,National Aeronautics and Space Administration,,Searching for agency information using a knowledge retrieval system.,Gemini,,1-100,100,Gemini,general_llm,18000
nasa-summarizing-the-key-points-of-a-lengthy-report-using-ai,NASA,National Aeronautics and Space Administration,,Summarizing the key points of a lengthy report using AI.,"Microsoft Copilot, Gemini, Azure, OpenAI, Box",,1001-5000,5000,Microsoft 365 Copilot; OpenAI API; Gemini,general_llm,18000
nasa-transcribing-summarizing-or-other-efforts-that-improve-the-accessibility-of-a-vi,NASA,National Aeronautics and Space Administration,,"Transcribing, summarizing, or other efforts that improve the accessibility of a virtual meeting or interview using AI.",Teams,,1001-5000,5000,Microsoft Teams,productivity,18000
nasa-unlocking-smartphones-or-other-devices-without-the-need-for-passwords-or-pins-us,NASA,National Aeronautics and Space Administration,,Unlocking smartphones or other devices without the need for passwords or PINs using AI-based facial recognition technology.,Apple iPhone,,"5001-10,000",10000,Apple Face ID,consumer_feature,18000
nasa-using-ai-assisted-tools-in-word-processors,NASA,National Aeronautics and Space Administration,,Using AI-assisted tools in word processors.,Microsoft Copilot,,1001-5000,5000,Microsoft 365 Copilot,general_llm,18000
ncua-creating-visual-representations-of-data-sets-for-reports-or-presentations-using-,NCUA,National Credit Union Administration,,Creating visual representations of data sets for reports or presentations using AI.,Various,,1-100,100,,,
ncua-editing-images-videos-or-other-public-affairs-materials-using-ai,NCUA,National Credit Union Administration,,"Editing images, videos, or other public affairs materials using AI.",Various,,1-100,100,,,
ncua-generating-code-using-ai,NCUA,National Credit Union Administration,,Generating code using AI.,Various,,1-100,100,,,
ncua-generating-first-drafts-of-documents-briefing-or-communication-materials-using-a,NCUA,National Credit Union Administration,,"Generating first drafts of documents, briefing, or communication materials using AI.",Various,,1-100,100,,,
ncua-improving-the-quality-of-written-communications-using-ai-tools,NCUA,National Credit Union Administration,,Improving the quality of written communications using AI tools.,Various,,1-100,100,,,
ncua-logging-and-analyzing-time-spent-on-tasks-using-ai-powered-time-management-tools,NCUA,National Credit Union Administration,,Logging and analyzing time spent on tasks using AI-powered time management tools.,Various,,1-100,100,,,
ncua-managing-and-prioritizing-internal-service-or-help-desk-tickets-using-ai,NCUA,National Credit Union Administration,,Managing and prioritizing internal service or help desk tickets using AI.,Various,,1-100,100,,,
ncua-managing-or-implementing-security-controls-for-information-systems-e-g-cybersecu,NCUA,National Credit Union Administration,,"Managing or implementing security controls for information systems (e.g., cybersecurity) using AI",Various,,1-100,100,,,
ncua-scheduling-internal-to-government-meetings-or-appointments-or-setting-reminders-,NCUA,National Credit Union Administration,,Scheduling internal-to-government meetings or appointments or setting reminders using AI.,Various,,1-100,100,,,
ncua-searching-for-agency-information-using-a-knowledge-retrieval-system,NCUA,National Credit Union Administration,,Searching for agency information using a knowledge retrieval system.,Various,,1-100,100,,,
ncua-summarizing-the-key-points-of-a-lengthy-report-using-ai,NCUA,National Credit Union Administration,,Summarizing the key points of a lengthy report using AI.,Various,,1-100,100,,,
ncua-transcribing-summarizing-or-other-efforts-that-improve-the-accessibility-of-a-vi,NCUA,National Credit Union Administration,,"Transcribing, summarizing, or other efforts that improve the accessibility of a virtual meeting or interview using AI.",Various,,1-100,100,,,
ncua-unlocking-smartphones-or-other-devices-without-the-need-for-passwords-or-pins-us,NCUA,National Credit Union Administration,,Unlocking smartphones or other devices without the need for passwords or PINs using AI-based facial recognition technology.,Various,,101-1000,1000,,,
ncua-using-ai-assisted-tools-in-word-processors,NCUA,National Credit Union Administration,,Using AI-assisted tools in word processors.,Various,,1-100,100,,,
nea-creating-visual-representations-of-data-sets-for-reports-or-presentations-using-,NEA,National Endowment for the Arts,,Creating visual representations of data sets for reports or presentations using AI.,"Microsoft CoPilot, ChatGPT",,101-1000,1000,Microsoft 365 Copilot; ChatGPT,general_llm,
nea-curating-news-articles-and-updates-based-on-user-preferences-using-ai,NEA,National Endowment for the Arts,,Curating news articles and updates based on user preferences using AI.,Google News Brief,,1-100,100,Google News Brief,consumer_feature,
nea-editing-images-videos-or-other-public-affairs-materials-using-ai,NEA,National Endowment for the Arts,,"Editing images, videos, or other public affairs materials using AI.",Adobe Firefly,,1-100,100,Adobe Firefly,computer_vision,
nea-generating-code-using-ai,NEA,National Endowment for the Arts,,Generating code using AI.,Github Copilot,,1-100,100,GitHub Copilot,coding_assistant,
nea-generating-first-drafts-of-documents-briefing-or-communication-materials-using-a,NEA,National Endowment for the Arts,,"Generating first drafts of documents, briefing, or communication materials using AI.","Microsoft CoPilot, ChatGPT",,101-1000,1000,Microsoft 365 Copilot; ChatGPT,general_llm,
nea-identifying-and-cataloging-items-in-a-storage-room-using-ai-driven-image-recogni,NEA,National Endowment for the Arts,,Identifying and cataloging items in a storage room using AI-driven image recognition.,Google Lens,,1-100,100,Google Lens,computer_vision,
nea-improving-the-quality-of-written-communications-using-ai-tools,NEA,National Endowment for the Arts,,Improving the quality of written communications using AI tools.,Grammarly,,1-100,100,Grammarly,productivity,
nea-managing-or-implementing-security-controls-for-information-systems-e-g-cybersecu,NEA,National Endowment for the Arts,,"Managing or implementing security controls for information systems (e.g., cybersecurity) using AI",Microsoft defender,,101-1000,1000,Microsoft Defender,security_tool,
nea-planning-travel-routes-using-ai-driven-map-applications,NEA,National Endowment for the Arts,,Planning travel routes using AI-driven map applications.,Googel Maps,,1-100,100,,,
nea-prioritizing-and-categorizing-incoming-emails-using-ai,NEA,National Endowment for the Arts,,Prioritizing and categorizing incoming emails using AI.,Microsoft CoPilot,,101-1000,1000,Microsoft 365 Copilot,general_llm,
nea-scheduling-internal-to-government-meetings-or-appointments-or-setting-reminders-,NEA,National Endowment for the Arts,,Scheduling internal-to-government meetings or appointments or setting reminders using AI.,Microsoft CoPilot,,101-1000,1000,Microsoft 365 Copilot,general_llm,
nea-searching-for-agency-information-using-a-knowledge-retrieval-system,NEA,National Endowment for the Arts,,Searching for agency information using a knowledge retrieval system.,Microsoft Copilot,,101-1000,1000,Microsoft 365 Copilot,general_llm,
nea-summarizing-the-key-points-of-a-lengthy-report-using-ai,NEA,National Endowment for the Arts,,Summarizing the key points of a lengthy report using AI.,"Microsoft CoPilot, ChatGPT",,101-1000,1000,Microsoft 365 Copilot; ChatGPT,general_llm,
nea-transcribing-summarizing-or-other-efforts-that-improve-the-accessibility-of-a-vi,NEA,National Endowment for the Arts,,"Transcribing, summarizing, or other efforts that improve the accessibility of a virtual meeting or interview using AI.",Microsoft CoPilot,,101-1000,1000,Microsoft 365 Copilot,general_llm,
nea-using-ai-assisted-tools-in-word-processors,NEA,National Endowment for the Arts,,Using AI-assisted tools in word processors.,Microsoft Copilot,,101-1000,1000,Microsoft 365 Copilot,general_llm,
neh-generating-first-drafts-of-documents-briefing-or-communication-materials-using-a,NEH,National Endowment for the Humanities,,"Generating first drafts of documents, briefing, or communication materials using AI.",Microsoft Copilot,,1-100,100,Microsoft 365 Copilot,general_llm,
neh-improving-the-quality-of-written-communications-using-ai-tools,NEH,National Endowment for the Humanities,,Improving the quality of written communications using AI tools.,Microsoft Copilot,,1-100,100,Microsoft 365 Copilot,general_llm,
neh-prioritizing-and-categorizing-incoming-emails-using-ai,NEH,National Endowment for the Humanities,,Prioritizing and categorizing incoming emails using AI.,Microsoft Copilot,,1-100,100,Microsoft 365 Copilot,general_llm,
neh-scheduling-internal-to-government-meetings-or-appointments-or-setting-reminders-,NEH,National Endowment for the Humanities,,Scheduling internal-to-government meetings or appointments or setting reminders using AI.,Microsoft Copilot,,1-100,100,Microsoft 365 Copilot,general_llm,
neh-searching-for-agency-information-using-a-knowledge-retrieval-system,NEH,National Endowment for the Humanities,,Searching for agency information using a knowledge retrieval system.,Microsoft Copilot,,1-100,100,Microsoft 365 Copilot,general_llm,
neh-summarizing-the-key-points-of-a-lengthy-report-using-ai,NEH,National Endowment for the Humanities,,Summarizing the key points of a lengthy report using AI.,"Microsoft Copilot, Azure OpenAI",,1-100,100,Microsoft 365 Copilot; Azure OpenAI,general_llm,
neh-transcribing-summarizing-or-other-efforts-that-improve-the-accessibility-of-a-vi,NEH,National Endowment for the Humanities,,"Transcribing, summarizing, or other efforts that improve the accessibility of a virtual meeting or interview using AI.",Microsoft Copilot,,1-100,100,Microsoft 365 Copilot,general_llm,
neh-using-ai-assisted-tools-in-word-processors,NEH,National Endowment for the Humanities,,Using AI-assisted tools in word processors.,Microsoft Copilot,,1-100,100,Microsoft 365 Copilot,general_llm,
nigc-curating-news-articles-and-updates-based-on-user-preferences-using-ai,NIGC,National Indian Gaming Commission,,Curating news articles and updates based on user preferences using AI.,Law360 (Lexis Nexis),,1-100,100,,,130
nigc-editing-images-videos-or-other-public-affairs-materials-using-ai,NIGC,National Indian Gaming Commission,,"Editing images, videos, or other public affairs materials using AI.",Adobe Photoshop AI (AI Plugin) Artic,,1-100,100,Adobe Photoshop,computer_vision,130
nigc-using-ai-assisted-tools-in-word-processors,NIGC,National Indian Gaming Commission,,Using AI-assisted tools in word processors.,Microsoft Copilot,,1-100,100,Microsoft 365 Copilot,general_llm,130
nlrb-generating-code-using-ai,NLRB,National Labor Relations Board,,Generating code using AI.,GitHub CoPilot,,1-100,100,GitHub Copilot,coding_assistant,1200
nlrb-generating-first-drafts-of-documents-briefing-or-communication-materials-using-a,NLRB,National Labor Relations Board,,"Generating first drafts of documents, briefing, or communication materials using AI.","CoPilot, Westlaw",,1-100,100,Westlaw AI,legal_research,1200
nlrb-improving-the-quality-of-written-communications-using-ai-tools,NLRB,National Labor Relations Board,,Improving the quality of written communications using AI tools.,"CoPilot, Westlaw",,1-100,100,Westlaw AI,legal_research,1200
nlrb-managing-and-prioritizing-internal-service-or-help-desk-tickets-using-ai,NLRB,National Labor Relations Board,,Managing and prioritizing internal service or help desk tickets using AI.,"CoPilot, ServiceNow",,1-100,100,ServiceNow Now Assist,productivity,1200
nlrb-searching-for-agency-information-using-a-knowledge-retrieval-system,NLRB,National Labor Relations Board,,Searching for agency information using a knowledge retrieval system.,CoPilot,,1-100,100,,,1200
nlrb-summarizing-the-key-points-of-a-lengthy-report-using-ai,NLRB,National Labor Relations Board,,Summarizing the key points of a lengthy report using AI.,"CoPilot, Westlaw",,1-100,100,Westlaw AI,legal_research,1200
nlrb-using-ai-assisted-tools-in-word-processors,NLRB,National Labor Relations Board,,Using AI-assisted tools in word processors.,CoPilot,,1-100,100,,,1200
ntsb-curating-news-articles-and-updates-based-on-user-preferences-using-ai,NTSB,National Transportation Safety Board,,Curating news articles and updates based on user preferences using AI.,"Meltwater, Google News",,1-100,100,Meltwater; Google,productivity,
ntsb-editing-images-videos-or-other-public-affairs-materials-using-ai,NTSB,National Transportation Safety Board,,"Editing images, videos, or other public affairs materials using AI.",Adobe Suite,,1-100,100,Adobe Creative Cloud Suite,productivity,
ntsb-generating-code-using-ai,NTSB,National Transportation Safety Board,,Generating code using AI.,"GitHub Copilot, Power Automate",,101-1000,1000,GitHub Copilot,coding_assistant,
ntsb-generating-first-drafts-of-documents-briefing-or-communication-materials-using-a,NTSB,National Transportation Safety Board,,"Generating first drafts of documents, briefing, or communication materials using AI.",Microsoft Copilot,,101-1000,1000,Microsoft 365 Copilot,general_llm,
ntsb-improving-the-quality-of-written-communications-using-ai-tools,NTSB,National Transportation Safety Board,,Improving the quality of written communications using AI tools.,Microsoft Copilot,,101-1000,1000,Microsoft 365 Copilot,general_llm,
ntsb-logging-and-analyzing-time-spent-on-tasks-using-ai-powered-time-management-tools,NTSB,National Transportation Safety Board,,Logging and analyzing time spent on tasks using AI-powered time management tools.,Viva Insights,,1-100,100,,,
ntsb-planning-travel-routes-using-ai-driven-map-applications,NTSB,National Transportation Safety Board,,Planning travel routes using AI-driven map applications.,"Google Maps, Apple Maps, Waze",,101-1000,1000,Apple Maps; Google Maps,consumer_feature,
ntsb-prioritizing-and-categorizing-incoming-emails-using-ai,NTSB,National Transportation Safety Board,,Prioritizing and categorizing incoming emails using AI.,,,101-1000,1000,,,
ntsb-scheduling-and-managing-social-media-posts-using-ai,NTSB,National Transportation Safety Board,,Scheduling and managing social media posts using AI.,Sprout Social,,1-100,100,Sprout Social,productivity,
ntsb-searching-for-agency-information-using-a-knowledge-retrieval-system,NTSB,National Transportation Safety Board,,Searching for agency information using a knowledge retrieval system.,Microsoft Copilot,,101-1000,1000,Microsoft 365 Copilot,general_llm,
ntsb-summarizing-the-key-points-of-a-lengthy-report-using-ai,NTSB,National Transportation Safety Board,,Summarizing the key points of a lengthy report using AI.,Microsoft Copilot,,101-1000,1000,Microsoft 365 Copilot,general_llm,
ntsb-transcribing-summarizing-or-other-efforts-that-improve-the-accessibility-of-a-vi,NTSB,National Transportation Safety Board,,"Transcribing, summarizing, or other efforts that improve the accessibility of a virtual meeting or interview using AI.","Microsoft Teams, Microsoft Copilot, Zoom",,101-1000,1000,Microsoft 365 Copilot; Microsoft Teams; Zoom,"general_llm,productivity",
ntsb-unlocking-smartphones-or-other-devices-without-the-need-for-passwords-or-pins-us,NTSB,National Transportation Safety Board,,Unlocking smartphones or other devices without the need for passwords or PINs using AI-based facial recognition technology.,Apple iPhone,,101-1000,1000,Apple Face ID,consumer_feature,
ntsb-using-ai-assisted-tools-in-word-processors,NTSB,National Transportation Safety Board,,Using AI-assisted tools in word processors.,Microsoft Copilot,,101-1000,1000,Microsoft 365 Copilot,general_llm,
osc-generating-first-drafts-of-documents-briefing-or-communication-materials-using-a,OSC,U.S. Office of Special Counsel,,"Generating first drafts of documents, briefing, or communication materials using AI.",Microsoft Copilot,,101-1000,1000,Microsoft 365 Copilot,general_llm,
osc-improving-the-quality-of-written-communications-using-ai-tools,OSC,U.S. Office of Special Counsel,,Improving the quality of written communications using AI tools.,Microsoft Copilot,,101-1000,1000,Microsoft 365 Copilot,general_llm,
osc-summarizing-the-key-points-of-a-lengthy-report-using-ai,OSC,U.S. Office of Special Counsel,,Summarizing the key points of a lengthy report using AI.,Microsoft Copilot,,101-1000,1000,Microsoft 365 Copilot,general_llm,
osc-transcribing-summarizing-or-other-efforts-that-improve-the-accessibility-of-a-vi,OSC,U.S. Office of Special Counsel,,"Transcribing, summarizing, or other efforts that improve the accessibility of a virtual meeting or interview using AI.",Microsoft Copilot,,101-1000,1000,Microsoft 365 Copilot,general_llm,
osc-unlocking-smartphones-or-other-devices-without-the-need-for-passwords-or-pins-us,OSC,U.S. Office of Special Counsel,,Unlocking smartphones or other devices without the need for passwords or PINs using AI-based facial recognition technology.,Apple iPhone,,1-100,100,Apple Face ID,consumer_feature,
osc-using-ai-assisted-tools-in-word-processors,OSC,U.S. Office of Special Counsel,,Using AI-assisted tools in word processors.,Microsoft Copilot,,101-1000,1000,Microsoft 365 Copilot,general_llm,
oshrc-editing-images-videos-or-other-public-affairs-materials-using-ai,OSHRC,Occupational Safety and Health Review Commission,,"Editing images, videos, or other public affairs materials using AI.",Microsoft 365 apps,,1-100,100,Microsoft 365 Copilot,general_llm,
oshrc-finding-and-booking-travel-accommodations-using-ai-powered-platforms,OSHRC,Occupational Safety and Health Review Commission,,Finding and booking travel accommodations using AI-powered platforms.,SAP Concur,,1-100,100,SAP Concur,productivity,
oshrc-improving-the-quality-of-written-communications-using-ai-tools,OSHRC,Occupational Safety and Health Review Commission,,Improving the quality of written communications using AI tools.,Microsoft 365 apps,,1-100,100,Microsoft 365 Copilot,general_llm,
oshrc-managing-or-implementing-security-controls-for-information-systems-e-g-cybersecu,OSHRC,Occupational Safety and Health Review Commission,,"Managing or implementing security controls for information systems (e.g., cybersecurity) using AI","Microsoft Defender
Crowdstrike Falcon",,1-100,100,Microsoft Defender; Crowdstrike Falcon,security_tool,
oshrc-using-ai-assisted-tools-in-word-processors,OSHRC,Occupational Safety and Health Review Commission,,Using AI-assisted tools in word processors.,Microsoft 365 apps,,1-100,100,Microsoft 365 Copilot,general_llm,
pbgc-generating-first-drafts-of-documents-briefing-or-communication-materials-using-a,PBGC,Pension Benefit Guaranty Corporation,,"Generating first drafts of documents, briefing, or communication materials using AI.",Microsoft Copilot,,1001-5000,5000,Microsoft 365 Copilot,general_llm,1000
pbgc-managing-and-prioritizing-internal-service-or-help-desk-tickets-using-ai,PBGC,Pension Benefit Guaranty Corporation,,Managing and prioritizing internal service or help desk tickets using AI.,ServiceNow (Now Assist),,101-1000,1000,ServiceNow Now Assist,productivity,1000
pbgc-managing-or-implementing-security-controls-for-information-systems-e-g-cybersecu,PBGC,Pension Benefit Guaranty Corporation,,"Managing or implementing security controls for information systems (e.g., cybersecurity) using AI",Zscaler,,1-100,100,Zscaler,security_tool,1000
pbgc-planning-travel-routes-using-ai-driven-map-applications,PBGC,Pension Benefit Guaranty Corporation,,Planning travel routes using AI-driven map applications.,Native map applications on mobile devices,,101-1000,1000,,,1000
pbgc-summarizing-the-key-points-of-a-lengthy-report-using-ai,PBGC,Pension Benefit Guaranty Corporation,,Summarizing the key points of a lengthy report using AI.,Microsoft Copilot,,1-100,100,Microsoft 365 Copilot,general_llm,1000
pbgc-transcribing-summarizing-or-other-efforts-that-improve-the-accessibility-of-a-vi,PBGC,Pension Benefit Guaranty Corporation,,"Transcribing, summarizing, or other efforts that improve the accessibility of a virtual meeting or interview using AI.",Microsoft Teams Premium (with intelligent meeting recap),,101-1000,1000,Microsoft Teams,productivity,1000
sba-creating-visual-representations-of-data-sets-for-reports-or-presentations-using-,SBA,Small Business Administration,,Creating visual representations of data sets for reports or presentations using AI.,"Perplexity, Tableau AI",,1-100,100,Perplexity; Tableau,"general_llm,ml_platform",6000
sba-curating-news-articles-and-updates-based-on-user-preferences-using-ai,SBA,Small Business Administration,,Curating news articles and updates based on user preferences using AI.,Meltwater,,1-100,100,Meltwater,productivity,6000
sba-generating-code-using-ai,SBA,Small Business Administration,,Generating code using AI.,"Github CoPilot, Amazon Q Developer, Perplexity",,1-100,100,GitHub Copilot; Amazon Q; Perplexity,"coding_assistant,general_llm",6000
sba-generating-first-drafts-of-documents-briefing-or-communication-materials-using-a,SBA,Small Business Administration,,"Generating first drafts of documents, briefing, or communication materials using AI.","Microsoft CoPilot, Perplexity, Gemini",,"5001-10,000",10000,Microsoft 365 Copilot; Gemini; Perplexity,general_llm,6000
sba-improving-the-quality-of-written-communications-using-ai-tools,SBA,Small Business Administration,,Improving the quality of written communications using AI tools.,"Grammarly, Microsoft CoPilot, Perplexity, Gemini",,"5001-10,000",10000,Microsoft 365 Copilot; Gemini; Grammarly; Perplexity,"general_llm,productivity",6000
sba-logging-and-analyzing-time-spent-on-tasks-using-ai-powered-time-management-tools,SBA,Small Business Administration,,Logging and analyzing time spent on tasks using AI-powered time management tools.,Perplexity,,1-100,100,Perplexity,general_llm,6000
sba-managing-and-prioritizing-internal-service-or-help-desk-tickets-using-ai,SBA,Small Business Administration,,Managing and prioritizing internal service or help desk tickets using AI.,ServiceNow AIOps,,"5001-10,000",10000,ServiceNow Now Assist,productivity,6000
sba-managing-or-implementing-security-controls-for-information-systems-e-g-cybersecu,SBA,Small Business Administration,,"Managing or implementing security controls for information systems (e.g., cybersecurity) using AI","Microsoft Defender, SentinelOne, Wiz, Traceable",,"5001-10,000",10000,Microsoft Defender; SentinelOne; Wiz,security_tool,6000
sba-planning-travel-routes-using-ai-driven-map-applications,SBA,Small Business Administration,,Planning travel routes using AI-driven map applications.,Apple Maps,,1001-5000,5000,Apple Maps,consumer_feature,6000
sba-prioritizing-and-categorizing-incoming-emails-using-ai,SBA,Small Business Administration,,Prioritizing and categorizing incoming emails using AI.,Perplexity,,1-100,100,Perplexity,general_llm,6000
sba-scheduling-and-managing-social-media-posts-using-ai,SBA,Small Business Administration,,Scheduling and managing social media posts using AI.,Sprout Social,,1-100,100,Sprout Social,productivity,6000
sba-scheduling-internal-to-government-meetings-or-appointments-or-setting-reminders-,SBA,Small Business Administration,,Scheduling internal-to-government meetings or appointments or setting reminders using AI.,Microsoft CoPilot,,"5001-10,000",10000,Microsoft 365 Copilot,general_llm,6000
sba-searching-for-agency-information-using-a-knowledge-retrieval-system,SBA,Small Business Administration,,Searching for agency information using a knowledge retrieval system.,"Microsoft CoPilot, Perplexity, Gemini, Salesforce Einstein",,"5001-10,000",10000,Microsoft 365 Copilot; Gemini; Perplexity; Salesforce Einstein,"general_llm,ml_platform",6000
sba-summarizing-the-key-points-of-a-lengthy-report-using-ai,SBA,Small Business Administration,,Summarizing the key points of a lengthy report using AI.,"Perplexity, Gemini",,1-100,100,Gemini; Perplexity,general_llm,6000
sba-transcribing-summarizing-or-other-efforts-that-improve-the-accessibility-of-a-vi,SBA,Small Business Administration,,"Transcribing, summarizing, or other efforts that improve the accessibility of a virtual meeting or interview using AI.",Microsoft Copilot,,"5001-10,000",10000,Microsoft 365 Copilot,general_llm,6000
sba-unlocking-smartphones-or-other-devices-without-the-need-for-passwords-or-pins-us,SBA,Small Business Administration,,Unlocking smartphones or other devices without the need for passwords or PINs using AI-based facial recognition technology.,Apple iPhone,,1001-5000,5000,Apple Face ID,consumer_feature,6000
sba-using-ai-assisted-tools-in-word-processors,SBA,Small Business Administration,,Using AI-assisted tools in word processors.,"Microsoft CoPilot, Perplexity, Gemini",,"5001-10,000",10000,Microsoft 365 Copilot; Gemini; Perplexity,general_llm,6000
sec-creating-visual-representations-of-data-sets-for-reports-or-presentations-using-,SEC,Securities and Exchange Commission,,Creating visual representations of data sets for reports or presentations using AI.,Alteryx,,1-100,100,Alteryx,ml_platform,4600
sec-curating-news-articles-and-updates-based-on-user-preferences-using-ai,SEC,Securities and Exchange Commission,,Curating news articles and updates based on user preferences using AI.,,,101-1000,1000,,,4600
sec-editing-images-videos-or-other-public-affairs-materials-using-ai,SEC,Securities and Exchange Commission,,"Editing images, videos, or other public affairs materials using AI.","Vyond for Government, Adobe 
Firefly, Audiate, Snagit, Davinci Resolve",,101-1000,1000,Adobe Firefly; Techsmith Audiate; Vyond,"computer_vision,media_analysis",4600
sec-generating-code-using-ai,SEC,Securities and Exchange Commission,,Generating code using AI.,"GitHub Copilot, TOAD AIExplain",,101-1000,1000,GitHub Copilot,coding_assistant,4600
sec-generating-first-drafts-of-documents-briefing-or-communication-materials-using-a,SEC,Securities and Exchange Commission,,"Generating first drafts of documents, briefing, or communication materials using AI.","Microsoft Copilot 365, Vyond
for Government",,"5001-10,000",10000,Microsoft 365 Copilot; Vyond,"general_llm,media_analysis",4600
sec-improving-the-quality-of-written-communications-using-ai-tools,SEC,Securities and Exchange Commission,,Improving the quality of written communications using AI tools.,"Microsoft Copilot Studio,
Microsoft Copilot 365, Systran Translate Server, Bravozone",,"5001-10,000",10000,Microsoft 365 Copilot; Microsoft Copilot Studio; Systran Translate,"general_llm,agent_platform,translation",4600
sec-managing-or-implementing-security-controls-for-information-systems-e-g-cybersecu,SEC,Securities and Exchange Commission,,"Managing or implementing security controls for information systems (e.g., cybersecurity) using AI","HackerOne in-platform AI,
NetApp ARP/AI",,1-100,100,NetApp ARP/AI,security_tool,4600
sec-planning-travel-routes-using-ai-driven-map-applications,SEC,Securities and Exchange Commission,,Planning travel routes using AI-driven map applications.,Apple Maps,,"5001-10,000",10000,Apple Maps,consumer_feature,4600
sec-searching-for-agency-information-using-a-knowledge-retrieval-system,SEC,Securities and Exchange Commission,,Searching for agency information using a knowledge retrieval system.,"ServiceNow HR Service Delivery,
Microsoft Copilot 365, Magnet Copilot",,"5001-10,000",10000,Microsoft 365 Copilot; ServiceNow Now Assist; Magnet Forensics,"general_llm,productivity,security_tool",4600
sec-summarizing-the-key-points-of-a-lengthy-report-using-ai,SEC,Securities and Exchange Commission,,Summarizing the key points of a lengthy report using AI.,"VAO Ally, Intelligize+ AI, 
Microsoft Copilot 365, Bloomberg Government, 
Bloomberg Law, Google AI
Mode, Flashpoint Ignite AI, Flashpoint Echosec AI, Magnet Copilot",,"5001-10,000",10000,Microsoft 365 Copilot; Magnet Forensics; Bloomberg Government; VAO Ally; Flashpoint; Google,"general_llm,security_tool,investigative_data,agent_platform,social_listening,productivity",4600
sec-transcribing-summarizing-or-other-efforts-that-improve-the-accessibility-of-a-vi,SEC,Securities and Exchange Commission,,"Transcribing, summarizing, or other efforts that improve the accessibility of a virtual meeting or interview using AI.","YouTube Live, Microsoft Teams
auto caption, WebEx auto caption",,1-100,100,Microsoft Teams,productivity,4600
sec-unlocking-smartphones-or-other-devices-without-the-need-for-passwords-or-pins-us,SEC,Securities and Exchange Commission,,Unlocking smartphones or other devices without the need for passwords or PINs using AI-based facial recognition technology.,Apple iPhone,,"5001-10,000",10000,Apple Face ID,consumer_feature,4600
