service,category,confidence,reasoning,signals,model,input_hash,classified_at,source
Falcon Complete,not_ai,medium,"CrowdStrike's fully managed detection-and-response offering is a human SOC service built on top of the Falcon platform, not itself an AI product.","[""Falcon Complete"", ""managed detection and response"", ""CrowdStrike""]",claude-sonnet-5,b49787d7fb4afc24,2026-07-04T21:37:29Z,llm
Falcon Data Protection,not_ai,low,"Endpoint data-loss-prevention module, typically driven by policy/pattern-matching rules rather than a distinct ML capability.","[""Data Protection"", ""DLP"", ""CrowdStrike""]",claude-sonnet-5,8849ad7e5ffed564,2026-07-05T01:56:37Z,qc_confirmed
Falcon Device Control,not_ai,high,"USB/peripheral device policy enforcement, a rules-based control, not AI/ML.","[""Device Control"", ""CrowdStrike""]",claude-sonnet-5,18782d9faac92331,2026-07-04T21:37:29Z,llm
Falcon Discover,not_ai,high,"IT hygiene / asset and application inventory visibility tool, not AI/ML.","[""Falcon Discover"", ""asset visibility"", ""CrowdStrike""]",claude-sonnet-5,1ec1e1632e9bfc07,2026-07-04T21:37:29Z,llm
Falcon External Attack Surface Management,not_ai,low,External asset discovery and exposure scanning; primarily an inventory/scanning capability rather than a distinct ML-driven service.,"[""External Attack Surface Management"", ""CrowdStrike""]",claude-sonnet-5,869a03fc12cb4250,2026-07-05T01:56:37Z,qc_confirmed
Falcon FileVantage,not_ai,high,"File integrity monitoring capability, rules/baseline-based, not AI/ML.","[""FileVantage"", ""file integrity"", ""CrowdStrike""]",claude-sonnet-5,454db06c0bf52768,2026-07-04T21:37:29Z,llm
Falcon Firewall Management,not_ai,high,"Host firewall policy configuration and management, not AI/ML.","[""Firewall Management"", ""CrowdStrike""]",claude-sonnet-5,9394e7307d38d882,2026-07-04T21:37:29Z,llm
Falcon For IT,not_ai,high,"IT operations/asset management tooling within the Falcon platform, not AI/ML.","[""Falcon For IT"", ""CrowdStrike""]",claude-sonnet-5,5df25011ac87863b,2026-07-04T21:37:29Z,llm
Falcon Forensics,not_ai,high,"Forensic data collection and investigation tooling, not itself an ML-driven capability.","[""Forensics"", ""CrowdStrike""]",claude-sonnet-5,d3b4682a988beb0e,2026-07-04T21:37:29Z,llm
Falcon Foundry,not_ai,medium,A low-code app-development platform for building custom applications on Falcon data; no specific AI-builder module is described.,"[""Falcon Foundry"", ""low-code"", ""CrowdStrike""]",claude-sonnet-5,a401da0175a7c683,2026-07-04T21:37:29Z,llm
Falcon Fusion,not_ai,medium,"SOAR-style workflow automation and orchestration for security response playbooks, not itself an ML capability.","[""Falcon Fusion"", ""orchestration"", ""CrowdStrike""]",claude-sonnet-5,6c63067b4f0b7368,2026-07-04T21:37:29Z,llm
Falcon Identity Protection,ai_featured,medium,Identity threat detection and response relies on behavioral/ML analytics to spot credential misuse and lateral movement — security analytics with an ML core.,"[""Identity Protection"", ""behavioral"", ""CrowdStrike""]",claude-sonnet-5,5510fac568870342,2026-07-05T02:04:54Z,qc_confirmed
Falcon Insight XDR,ai_featured,high,"CrowdStrike's core EDR/XDR product correlates endpoint telemetry using machine learning and behavioral AI for detection, a security-analytics product with an ML core.","[""Insight XDR"", ""machine learning"", ""behavioral AI"", ""CrowdStrike""]",claude-sonnet-5,8882fb15f9db798f,2026-07-05T02:04:54Z,qc_confirmed
Falcon Next-Gen SIEM,ai_featured,medium,"A SIEM product that applies AI/ML-based correlation across ingested log data for threat detection, embedded within the broader Falcon platform.","[""Next-Gen SIEM"", ""CrowdStrike"", ""correlation""]",claude-sonnet-5,2d3aa58fe72e5516,2026-07-05T02:04:54Z,qc_confirmed
Falcon Prevent,ai_featured,high,"CrowdStrike's next-gen antivirus uses machine-learning-based malware prevention as its core detection mechanism, embedded in the broader endpoint security platform.","[""Falcon Prevent"", ""machine learning"", ""malware prevention"", ""CrowdStrike""]",claude-sonnet-5,0f8420c5358974d9,2026-07-05T02:04:54Z,qc_confirmed
Falcon SIEM Connector,not_ai,high,"A log-forwarding connector/integration tool for exporting Falcon events to third-party SIEMs, not AI/ML.","[""SIEM Connector"", ""CrowdStrike""]",claude-sonnet-5,9875168959b04c1d,2026-07-04T21:37:29Z,llm
Falcon Sandbox,ai_featured,medium,"Automated malware-detonation sandbox that uses behavioral/ML-assisted classification to generate analysis reports, embedded within the Falcon platform.","[""Falcon Sandbox"", ""malware analysis"", ""CrowdStrike""]",claude-sonnet-5,5d66982fcc4fba5e,2026-07-05T01:56:37Z,qc_confirmed
Falcon Spotlight,ai_featured,medium,"CrowdStrike's vulnerability management module, which prioritizes vulnerabilities using CrowdStrike's ExPRT.AI machine-learning exploit-prediction rating embedded within the broader Falcon endpoint security platform.","[""Falcon Spotlight"", ""vulnerability management"", ""cloud-based intelligence engine"", ""endpoint security""]",claude-sonnet-5,da89960b4bbc7d73,2026-07-05T02:04:54Z,qc_confirmed
Falcon for Mobile,ai_featured,medium,"CrowdStrike's mobile threat defense module, part of the Falcon platform which relies on cloud/on-device ML-based detection to identify malicious apps and mobile threats.","[""Falcon for Mobile"", ""endpoint security"", ""cloud-based intelligence engine"", ""threat intelligence""]",claude-sonnet-5,10de9dd70264fd10,2026-07-05T01:56:37Z,qc_confirmed
FastConnect,not_ai,high,Oracle's dedicated private network connectivity service to OCI; pure networking infrastructure.,"[""FastConnect"", ""dedicated network""]",claude-sonnet-5,c46d6507389a36e9,2026-07-04T21:37:29Z,llm
Feature Store,core_ai,high,"Databricks Feature Store is ML tooling for storing, sharing, and serving features used to train and serve machine learning models, explicitly a core ML-tooling capability.","[""Feature Store"", ""AI-powered platform"", ""Machine Learning"", ""Data Intelligence Engine""]",claude-sonnet-5,46bf073567b4e273,2026-07-05T01:56:37Z,qc_confirmed
"Feature Store, Jobs & Workflows",ai_featured,medium,A bundled entitlement pairing Databricks' ML Feature Store with generic Jobs & Workflows orchestration; the ML feature-store component is material but the row also covers plain job scheduling.,"[""Feature Store"", ""Jobs & Workflows"", ""AI-powered platform"", ""Machine Learning""]",claude-sonnet-5,c079d0e165d05077,2026-07-05T01:56:37Z,qc_confirmed
Federal Aid Reimbursement,not_ai,high,An Aurigo Masterworks module for tracking federal aid reimbursement in capital construction projects; a financial/administrative workflow tool despite the host platform's general 'AI-powered' marketing.,"[""Federal Aid Reimbursement"", ""capital planning"", ""construction project management""]",claude-sonnet-5,2c0b867198235e62,2026-07-04T21:37:29Z,llm
Federated Search,not_ai,high,"Splunk's capability to search across multiple indexes/datasets from one query; a search/query feature, not ML-driven.","[""Federated Search"", ""Splunk Cloud"", ""search""]",claude-sonnet-5,45d95668746375fb,2026-07-04T21:37:29Z,llm
Feedback Management,not_ai,high,"Salesforce module for building and managing surveys/feedback forms; a CRM feature, not AI/ML.","[""Feedback Management"", ""Salesforce"", ""surveys""]",claude-sonnet-5,524295cb082db191,2026-07-04T21:37:29Z,llm
FigJam,not_ai,high,"Figma's online whiteboard/collaboration tool; a design collaboration product, not AI/ML.","[""FigJam"", ""design and development platform""]",claude-sonnet-5,9c11e94a6a517d9f,2026-07-04T21:37:29Z,llm
Figma,not_ai,high,"Core Figma design tool for collaborative interface design; a design platform, not an AI/ML capability.","[""Figma"", ""design and development platform""]",claude-sonnet-5,a17ccfdc9974e6f2,2026-07-04T21:37:29Z,llm
File Integrity Monitoring,not_ai,high,"Checksum/change-detection monitoring of files for unauthorized modification; rules-based security control, not ML.","[""File Integrity Monitoring""]",claude-sonnet-5,a1c18ed66d08aaab,2026-07-04T21:37:29Z,llm
File Storage,not_ai,high,"Oracle Cloud Infrastructure's managed file storage service; storage infrastructure, not AI.","[""File Storage"", ""Oracle Cloud Infrastructure""]",claude-sonnet-5,4ff3cbb09782daf8,2026-07-04T21:37:29Z,llm
FileCloud,not_ai,high,"Enterprise file sync-and-share platform; file storage/collaboration, not AI/ML.","[""FileCloud"", ""file sharing""]",claude-sonnet-5,0ec655c914bd9715,2026-07-04T21:37:29Z,llm
Filestore (Basic HDD and Basic SSD tiers),not_ai,high,"GCP managed file storage service; storage infrastructure, not AI.","[""Filestore"", ""HDD"", ""SSD"", ""Google Cloud Platform""]",claude-sonnet-5,c0a4b8526c34884e,2026-07-04T21:37:29Z,llm
Firebase Authentication*,not_ai,high,"Firebase's user authentication service; identity/auth infrastructure, not AI.","[""Firebase Authentication""]",claude-sonnet-5,618271739b51c614,2026-07-04T21:37:29Z,llm
Firestore (replaced Datastore; excluding Firestore with MongoDB compatibility),not_ai,high,"GCP's NoSQL document database; a database service, not AI/ML.","[""Firestore"", ""Datastore"", ""database""]",claude-sonnet-5,04d2f3d940436e6f,2026-07-04T21:37:29Z,llm
Firewall Insights,not_ai,medium,GCP tool that analyzes firewall rule usage and provides configuration recommendations; a rules-analysis/network-security tool rather than an AI/ML product.,"[""Firewall Insights"", ""Google Cloud Platform""]",claude-sonnet-5,1dd1999f1a718df2,2026-07-04T21:37:29Z,llm
First Due Fire and EMS RMS Software,not_ai,high,"Records management system for fire and EMS departments; operational records software, not AI.","[""Fire and EMS RMS Software"", ""records management""]",claude-sonnet-5,f29a08d3d913fefc,2026-07-04T21:37:29Z,llm
Flow Orchestration,not_ai,medium,"Salesforce's declarative business-process automation/workflow tool; rules-based automation, not ML-driven.","[""Flow Orchestration"", ""Salesforce"", ""automation tools""]",claude-sonnet-5,bbd11529bd55e298,2026-07-04T21:37:29Z,llm
Fluid Relay Service,not_ai,high,"Microsoft Azure's real-time data synchronization relay for collaborative applications (Fluid Framework); a sync/messaging infrastructure service, not AI.","[""Fluid Relay Service"", ""Azure Government"", ""real-time collaboration""]",claude-sonnet-5,3ac520a18985a516,2026-07-04T21:37:29Z,llm
Form Assembly Government Cloud,not_ai,high,"Online form-building and data-collection tool; a forms product, not AI/ML.","[""Form Assembly"", ""FedHIVE""]",claude-sonnet-5,61665140ba731fce,2026-07-04T21:37:29Z,llm
Forms,not_ai,high,"Google Forms, a survey/form-creation tool within Google Workspace; not AI/ML.","[""Forms"", ""Google Workspace""]",claude-sonnet-5,4a59ff809280f955,2026-07-04T21:37:29Z,llm
Foundry,ai_featured,low,"Palantir Foundry is primarily a data integration and operational analytics platform; it increasingly embeds ML model integration and ontology-driven analytics as features, but the named AI product (AIP) is a separate offering from Foundry itself.","[""Foundry"", ""Palantir"", ""data integration"", ""operational workflows""]",claude-sonnet-5,2190d3f7d9b7dd61,2026-07-05T01:56:37Z,qc_confirmed
Full Stack Disaster Recovery,not_ai,high,"Oracle OCI's disaster recovery orchestration service for failover/replication; infrastructure resiliency tooling, not AI.","[""Full Stack Disaster Recovery"", ""Oracle Cloud Infrastructure""]",claude-sonnet-5,58a1e8f3a2f9bc10,2026-07-04T21:37:29Z,llm
Full Stack Observability: AI Monitoring,not_ai,medium,"[QC overturn: New Relic AI Monitoring provides observability OF AI/LLM applications (tracing, token/latency telemetry); it does not itself ship an AI/ML capability, so the 'AI' in the name is the monitored subject, not the service's function.] Original: A New Relic observability module specifically for monitoring AI/LLM application behavior and performance, an AI-focused feature embedded within the broader observability platform.","[""AI Monitoring"", ""intelligent observability platform""]",claude-sonnet-5,abce05bf22a46034,2026-07-05T01:56:37Z,qc_corrected
Full Stack Observability: Application Performance Monitoring (APM),not_ai,high,"Standard application performance monitoring (traces, metrics); general observability, not AI-specific.","[""APM"", ""Application Performance Monitoring""]",claude-sonnet-5,8d4a8482f6082249,2026-07-04T21:37:29Z,llm
Full Stack Observability: Browser Monitoring,not_ai,high,"Client-side browser performance monitoring; general observability, not AI.","[""Browser Monitoring""]",claude-sonnet-5,583d3a763877f18a,2026-07-04T21:37:29Z,llm
Full Stack Observability: Cloud Monitoring,not_ai,high,"Cloud infrastructure monitoring; general observability, not AI.","[""Cloud Monitoring""]",claude-sonnet-5,1bd92434f86a8cdc,2026-07-04T21:37:29Z,llm
Full Stack Observability: Infrastructure Monitoring,not_ai,high,"Server/infrastructure metrics monitoring; general observability, not AI.","[""Infrastructure Monitoring""]",claude-sonnet-5,e5e794be7fd84cce,2026-07-04T21:37:29Z,llm
Full Stack Observability: Kubernetes Monitoring,not_ai,high,"Kubernetes cluster monitoring; general observability, not AI.","[""Kubernetes Monitoring""]",claude-sonnet-5,5de382430293356c,2026-07-04T21:37:29Z,llm
Full Stack Observability: Log Management,not_ai,high,"Log ingestion, storage, and search; general observability, not AI.","[""Log Management""]",claude-sonnet-5,2cf14477f621cff7,2026-07-04T21:37:29Z,llm
Full Stack Observability: Mobile Monitoring,not_ai,high,"Mobile app performance monitoring; general observability, not AI.","[""Mobile Monitoring""]",claude-sonnet-5,9a16b59a16aadad2,2026-07-04T21:37:29Z,llm
Full Stack Observability: Model Performance Monitoring (MLOps),not_ai,medium,"[QC overturn: This is New Relic observability OF deployed ML models — monitoring AI, not shipping it; rubric-v2 rule 1 (the New Relic 'AI Monitoring' anchor) makes this not_ai.] Original: A New Relic module specifically for monitoring deployed ML model performance (MLOps), an AI/ML-focused observability feature embedded in the broader platform.","[""Model Performance Monitoring"", ""MLOps"", ""intelligent observability platform""]",claude-sonnet-5,8bd625f502ebc1d1,2026-07-05T02:04:54Z,qc_corrected
Full Stack Observability: Network Monitoring,not_ai,high,"Network performance and connectivity monitoring; general observability, not AI.","[""Network Monitoring""]",claude-sonnet-5,2ad28ff48e8d7991,2026-07-04T21:37:29Z,llm
Full Stack Observability: OpenTelemetry,not_ai,high,"Support for ingesting OpenTelemetry-formatted telemetry data; a data-ingestion standard integration, not AI.","[""OpenTelemetry""]",claude-sonnet-5,25308e476418ff36,2026-07-05T01:56:37Z,qc_confirmed
Full Stack Observability: SAP Solutions,not_ai,high,"Monitoring integration tailored to SAP environments; general observability, not AI.","[""SAP Solutions""]",claude-sonnet-5,37a311be5e3c4357,2026-07-04T21:37:29Z,llm
Full Stack Observability: Serverless Function Monitoring,not_ai,high,"Monitoring for serverless function execution; general observability, not AI.","[""Serverless Function Monitoring""]",claude-sonnet-5,837092e3fc619e89,2026-07-04T21:37:29Z,llm
Full Stack Observability: Streaming Video & Ads,not_ai,high,"Monitoring for streaming media and ad delivery performance; general observability, not AI.","[""Streaming Video & Ads""]",claude-sonnet-5,eed2b0ff01079d1a,2026-07-04T21:37:29Z,llm
Full Stack Observability: Synthetic Monitoring,not_ai,high,"Scripted/synthetic transaction monitoring to simulate user activity; general observability, not AI.","[""Synthetic Monitoring""]",claude-sonnet-5,acab584154165a37,2026-07-04T21:37:29Z,llm
Full Stack Observability: Website Performance Monitoring,not_ai,high,"Website performance/uptime monitoring; general observability, not AI.","[""Website Performance Monitoring""]",claude-sonnet-5,1b8bee79cce1d1e2,2026-07-04T21:37:29Z,llm
Full-Featured Mobile App for iOS and Android,not_ai,high,"PagerDuty's mobile client application for incident response; a mobile app, not itself an AI capability despite the host platform's mention of 'intelligent aggregation.'","[""Mobile App"", ""iOS and Android"", ""PagerDuty Operations Cloud""]",claude-sonnet-5,59f4580296b6970e,2026-07-04T21:37:29Z,llm
Functions,not_ai,high,"Serverless function execution (Azure Functions / Oracle Functions); general-purpose compute, not AI.","[""Functions"", ""Azure Government"", ""Oracle Cloud Infrastructure""]",claude-sonnet-5,ebd56d281bfd427f,2026-07-04T21:37:29Z,llm
Fusion Application as a Service,not_ai,medium,"Oracle Fusion Applications is a broad ERP/HCM/CRM SaaS suite; primarily business applications rather than an AI/ML product, notwithstanding some embedded AI features in the wider suite.","[""Fusion Application as a Service"", ""Oracle Cloud Infrastructure""]",claude-sonnet-5,75ceea260d0c9ecf,2026-07-04T21:37:29Z,llm
GAV – Global Asset View,not_ai,high,"Qualys's IT asset inventory/CMDB capability; asset discovery and cataloging, not ML-driven.","[""Global Asset View"", ""Qualys Cloud Platform""]",claude-sonnet-5,25cd28e4e908e020,2026-07-05T01:56:37Z,qc_confirmed
GCP Assured Workloads,not_ai,high,"Google Cloud's compliance-boundary control service for enforcing data residency/security policies; a governance/compliance tool, not AI.","[""Assured Workloads"", ""compliance""]",claude-sonnet-5,57dd6dca60f4bb22,2026-07-04T21:37:29Z,llm
GKE Config Sync (formerly Config Sync),not_ai,high,"GitOps-based configuration sync tool for Kubernetes clusters; configuration management, not AI.","[""Config Sync"", ""GKE"", ""Kubernetes""]",claude-sonnet-5,cd55c87acae4e4f7,2026-07-04T21:37:29Z,llm
GKE Hub,not_ai,high,"Centralized fleet management for Kubernetes clusters; cluster management infrastructure, not AI.","[""GKE Hub"", ""fleet management""]",claude-sonnet-5,cad8d3e7422bddf3,2026-07-04T21:37:29Z,llm
GKE Identity Service (formerly Anthos Identity Service (AIS) - [Hybrid Identity]),not_ai,high,"Hybrid identity/authentication service for GKE/Anthos clusters; identity infrastructure, not AI.","[""Identity Service"", ""Hybrid Identity"", ""GKE""]",claude-sonnet-5,12169157109e43f9,2026-07-04T21:37:29Z,llm
GRID20/20 -  Advanced Transformer Infrastructure (ATI) - Sensor Devices,not_ai,medium,"Physical/IoT sensor devices for monitoring electrical transformer infrastructure; sensor hardware and data collection, with no indicated ML/AI analysis capability.","[""Sensor Devices"", ""Advanced Transformer Infrastructure"", ""GRID20/20""]",claude-sonnet-5,e398af5256fad6ed,2026-07-04T21:37:29Z,llm
GSS One Admin Center,not_ai,high,"Administrative console for the GSS One PaaS/SaaS hosting environment; platform administration, not AI.","[""Admin Center"", ""GSS One"", ""multi-tenant PaaS/SaaS""]",claude-sonnet-5,315bcbe8dfcdf820,2026-07-04T21:37:29Z,llm
GSS One Azure SMTP Service,not_ai,high,Email relay/SMTP service within the GSS One hosting environment; not AI.,"[""SMTP Service"", ""GSS One""]",claude-sonnet-5,9afc0521e546d83e,2026-07-04T21:37:29Z,llm
GSS One Certificate Authority,not_ai,high,PKI/certificate-issuance infrastructure; not AI.,"[""Certificate Authority""]",claude-sonnet-5,5802e5786078af0a,2026-07-04T21:37:29Z,llm
GSS One Ticketing System (powered by JIRA),not_ai,high,JIRA-based IT service ticketing; not AI.,"[""Ticketing System"", ""JIRA""]",claude-sonnet-5,ccd7e9c412623d56,2026-07-05T01:56:37Z,qc_confirmed
GSS One User Portal,not_ai,high,Customer-facing administrative portal; not AI.,"[""User Portal"", ""GSS One""]",claude-sonnet-5,b330d8438dd5944a,2026-07-04T21:37:29Z,llm
GSS One-AWS SMTP Service,not_ai,high,Email relay/SMTP service; not AI.,"[""SMTP Service""]",claude-sonnet-5,d12addc5aa7fb5f8,2026-07-04T21:37:29Z,llm
GSS One-Console,not_ai,high,Administrative management console for the GSS One environment; not AI.,"[""Console"", ""GSS One""]",claude-sonnet-5,8237ef53c0c8f8fb,2026-07-04T21:37:29Z,llm
Gemini App,core_ai,high,Google's Gemini conversational AI assistant app; a core LLM/chat product.,"[""Gemini App""]",claude-sonnet-5,72d5518986090913,2026-07-05T01:56:37Z,qc_confirmed
Gemini Enterprise,core_ai,high,Google's enterprise generative-AI/agent platform; a core AI product.,"[""Gemini Enterprise""]",claude-sonnet-5,a9ea2b4b405cbbec,2026-07-05T01:56:37Z,qc_confirmed
Gemini Enterprise for Customer Experience (GECX) (formerly Conversational AI and Contact Center AI),core_ai,high,Explicitly a conversational-AI / Contact Center AI product for customer experience; core NLP/chat capability.,"[""Conversational AI"", ""Contact Center AI"", ""Gemini Enterprise""]",claude-sonnet-5,7c2d5fcd1fa512f9,2026-07-05T01:56:37Z,qc_confirmed
Gemini for Workspace,core_ai,high,"Google's generative-AI assistant embedded across Workspace apps (Docs, Gmail, etc.); a core AI capability.","[""Gemini"", ""Workspace""]",claude-sonnet-5,120384de0f00df9d,2026-07-05T01:56:37Z,qc_confirmed
GenAI Blueprint,core_ai,medium,Pega's generative-AI feature that uses AI to auto-generate application/workflow designs from business requirements; the product name and function are explicitly generative-AI-driven.,"[""GenAI Blueprint"", ""Pega""]",claude-sonnet-5,e40a7474c9346aa1,2026-07-05T01:56:37Z,qc_confirmed
Generative AI Service,core_ai,high,"Oracle Cloud Infrastructure's Generative AI Service is an LLM hosting/inference offering, analogous to Bedrock or Azure OpenAI.","[""Generative AI Service"", ""OCI""]",claude-sonnet-5,c911054fa9ff4d52,2026-07-05T01:56:37Z,qc_confirmed
Genie,core_ai,high,Databricks Genie is a natural-language / conversational AI interface for querying data within the Data Intelligence Platform.,"[""Genie"", ""Data Intelligence Platform"", ""AI-powered""]",claude-sonnet-5,619abc0d0b57fb29,2026-07-05T01:56:37Z,qc_confirmed
Global Event Orchestration*,not_ai,high,PagerDuty event-routing/orchestration configuration; not AI.,"[""Event Orchestration"", ""PagerDuty""]",claude-sonnet-5,e818fab78f001f33,2026-07-04T21:37:29Z,llm
Global Integration Key,not_ai,high,API/integration credential management feature; not AI.,"[""Integration Key"", ""PagerDuty""]",claude-sonnet-5,367ef34a21898e13,2026-07-04T21:37:29Z,llm
Global Search,not_ai,high,Standard keyword search across PagerDuty resources; not AI.,"[""Global Search"", ""PagerDuty""]",claude-sonnet-5,9ebb40b4d75ae1aa,2026-07-04T21:37:29Z,llm
Global Secure Access,not_ai,high,Microsoft Entra network/security access service (SSE); not AI.,"[""Global Secure Access"", ""Azure""]",claude-sonnet-5,5512c0ea24cc96b5,2026-07-05T01:56:37Z,qc_confirmed
Gmail,not_ai,high,Email client/service; not itself an AI product.,"[""Gmail""]",claude-sonnet-5,22060f83e92dfbb9,2026-07-04T21:37:29Z,llm
Golden Gate,not_ai,high,Oracle GoldenGate is a data replication/integration tool; not AI.,"[""Golden Gate"", ""Oracle""]",claude-sonnet-5,4e638876f1e9ab07,2026-07-04T21:37:29Z,llm
Google Chat,not_ai,high,Team messaging application; not AI.,"[""Google Chat""]",claude-sonnet-5,035921ad4881e2dc,2026-07-04T21:37:29Z,llm
Google Cloud Armor,not_ai,high,DDoS protection and WAF service; not AI.,"[""Cloud Armor"", ""WAF""]",claude-sonnet-5,70041275a5b127ac,2026-07-04T21:37:29Z,llm
Google Cloud Marketplace,not_ai,high,Catalog for deploying third-party software on GCP; not AI.,"[""Cloud Marketplace""]",claude-sonnet-5,bd285db80ddf4060,2026-07-05T01:56:37Z,qc_confirmed
Google Cloud Migration Center,not_ai,medium,"Assessment/planning tool for migrating workloads to Google Cloud; primarily a discovery and planning product, not an AI capability.","[""Migration Center""]",claude-sonnet-5,e43453257ba86994,2026-07-04T21:37:29Z,llm
Google Drive for Work,not_ai,high,Cloud file storage/collaboration; not AI.,"[""Google Drive""]",claude-sonnet-5,dafbb81ee8bf5e86,2026-07-04T21:37:29Z,llm
Google Meet,not_ai,high,Video conferencing service; not AI.,"[""Google Meet""]",claude-sonnet-5,d408e12159bdb840,2026-07-04T21:37:29Z,llm
Google Meet - Livestream,not_ai,high,Livestreaming feature of Google Meet; not AI.,"[""Meet"", ""Livestream""]",claude-sonnet-5,fc3eff7926c07b6e,2026-07-04T21:37:29Z,llm
Google Tasks,not_ai,high,Simple to-do/task list app; not AI.,"[""Google Tasks""]",claude-sonnet-5,f0fdfd122e692b35,2026-07-04T21:37:29Z,llm
Google Vids,ai_featured,medium,"A video-creation product in Workspace that embeds generative AI (Gemini) for script writing, storyboards, and narration, but the product itself is video editing/production, not a model or chat interface.","[""Google Vids"", ""Workspace""]",claude-sonnet-5,528a0a1990d28511,2026-07-05T02:04:54Z,qc_confirmed
Google Workspace Security Center (for Google Workspace Enterprise and Google Workspace Enterprise for Education domains only),not_ai,medium,Security dashboard/analytics for Workspace admins; primarily reporting and rule-based alerts rather than a distinct ML product.,"[""Security Center"", ""Google Workspace""]",claude-sonnet-5,e24629d383f30de9,2026-07-04T21:37:29Z,llm
Gotham,not_ai,medium,"Palantir's data-integration and operational-analysis platform for defense/intel; the host snippet lists AIP as a separate product line from Gotham, indicating Gotham itself is the traditional data-integration platform rather than the AI-specific offering.","[""Gotham"", ""operational workflows"", ""Foundry, AIP, Gotham, Apollo""]",claude-sonnet-5,b4dd2d15c5b3164d,2026-07-05T01:56:37Z,qc_confirmed
Gotham Thick Client,not_ai,medium,"Desktop client application for accessing Gotham; an interface, not an AI capability itself.","[""Thick Client"", ""Gotham""]",claude-sonnet-5,b78fcc9f7558eb0e,2026-07-04T21:37:29Z,llm
GovSignals,not_ai,low,Insufficient evidence that this Palantir supporting-services product is an ML/AI capability rather than a general signals/reporting tool; defaulting to not_ai per precision-over-recall guidance.,"[""GovSignals"", ""PFCS-SS""]",claude-sonnet-5,031036d6300fec09,2026-07-05T01:56:37Z,qc_confirmed
GovernmentJobs.com (Government Job Board),not_ai,high,NEOGOV's public-sector job posting board; not AI.,"[""Job Board"", ""NEOGOV""]",claude-sonnet-5,17d663617bf442d2,2026-07-04T21:37:29Z,llm
Grafana Alloy,not_ai,high,Open-source observability data collector/agent; not AI.,"[""Grafana Alloy"", ""observability""]",claude-sonnet-5,ae6a32f334fcb316,2026-07-04T21:37:29Z,llm
Grafana Federal Cloud,not_ai,high,Managed Grafana observability/dashboarding offering; not AI.,"[""Grafana"", ""Federal Cloud""]",claude-sonnet-5,250bc4156100739e,2026-07-04T21:37:29Z,llm
Grants Management,not_ai,high,Salesforce CRM module for administering grants; not AI.,"[""Grants Management"", ""Salesforce""]",claude-sonnet-5,60f7a11b3074825b,2026-07-04T21:37:29Z,llm
Groups for Business,not_ai,high,Google Groups mailing-list/collaboration feature; not AI.,"[""Groups for Business""]",claude-sonnet-5,91e07e5084f7efee,2026-07-04T21:37:29Z,llm
Guest Configuration,not_ai,high,Azure Policy feature for auditing/configuring settings inside VMs; not AI.,"[""Guest Configuration"", ""Azure""]",claude-sonnet-5,ed1d54de17aae58a,2026-07-04T21:37:29Z,llm
H2O AI App Store,not_ai,high,"[QC overturn: An app store/marketplace is a distribution and deployment surface for AI applications, not itself an AI/ML capability — structurally the same role as Google Cloud Marketplace, which is not_ai; the 'AI' describes the hosted apps, not the store.] Original: Part of H2O.ai's unified AI platform; an app store/marketplace for deploying AI/ML applications.","[""H2O AI App Store"", ""unified AI platform""]",claude-sonnet-5,85bda5c07d33ad1e,2026-07-05T01:56:37Z,qc_corrected
H2O Driverless AI,core_ai,high,H2O.ai's automated machine learning (AutoML) product for model training; core ML tooling.,"[""Driverless AI"", ""AutoML"", ""H2O.ai""]",claude-sonnet-5,821105075255e53f,2026-07-05T01:56:37Z,qc_confirmed
H2O Eval Studio,core_ai,high,H2O.ai's tool for evaluating and benchmarking ML/LLM models; core AI tooling.,"[""Eval Studio"", ""H2O.ai""]",claude-sonnet-5,d55254ab7d190036,2026-07-05T01:56:37Z,qc_confirmed
H2O Hydrogen Torch,core_ai,high,H2O.ai's deep-learning training platform for computer vision/NLP/audio models; core ML tooling.,"[""Hydrogen Torch"", ""H2O.ai""]",claude-sonnet-5,4b30db438d60f667,2026-07-05T01:56:37Z,qc_confirmed
H2O LLM Studio,core_ai,high,H2O.ai's tool for fine-tuning large language models; core generative-AI tooling.,"[""LLM Studio"", ""H2O.ai""]",claude-sonnet-5,1fc4b419651608ac,2026-07-05T01:56:37Z,qc_confirmed
H2O Label Genie,core_ai,high,H2O.ai's AI-assisted data-labeling tool for building ML training sets; core ML tooling.,"[""Label Genie"", ""H2O.ai""]",claude-sonnet-5,3dba6b33c85384ea,2026-07-05T01:56:37Z,qc_confirmed
H2O MLOPs,core_ai,high,"H2O.ai's MLOps platform for deploying, monitoring, and managing ML models; core ML tooling.","[""MLOPs"", ""H2O.ai""]",claude-sonnet-5,17dccaa98e3b5f20,2026-07-05T01:56:37Z,qc_confirmed
H2O-3,core_ai,high,H2O.ai's open-source distributed machine-learning platform; core ML tooling.,"[""H2O-3"", ""machine learning"", ""H2O.ai""]",claude-sonnet-5,29de282d5ce0891d,2026-07-05T01:56:37Z,qc_confirmed
HDInsight,not_ai,high,"Azure's managed Hadoop/Spark big-data analytics service; a data-processing platform, not an AI/ML product itself.","[""HDInsight"", ""Azure""]",claude-sonnet-5,03309a3089474a19,2026-07-04T21:37:29Z,llm
