2025 VA AI Use Case Inventory,,,,,,,,,,,,,
Use Case ID,Use Case Name,VA Admin or Staff Office,Development Stage,High-Impact Status,Problem to be Solved,Expected Benefits,AI System Outputs,AI Tech Classification,Topic Area,Custom-Developed Code?,Development Type,Federal Data Catalog Link,Public Open Source Link
VA-25-651,AI Incident Management,OIT: Office of Information & Technology,b) Pilot – The use case has been deployed in a limited test or pilot capacity.,c) Not high-impact,"The proposed AI system, referred to as the AI Incident Management (AIM), is designed to aid in faster problem determination and remediation during High Priority (HPI) and Critical Priority (CPI)  Incidents impacting the performance or availability of critical systems. ","By leveraging historical data, real-time performance monitoring, and advanced machine learning models, the system will identify potential causes and suggest remediation actions in real time, significantly reducing downtime and improving system reliability and resiliency.","1.         Aggregate data from multiple monitoring and incident management tools.
2.         Use a Large Language Model (LLM) to analyze, correlate, and interpret this data.
3.         Provide actionable insights and recommendations to IT personnel during incident triage.
",Classical/Predictive Machine Learning: Models trained on data to make predictions or classifications based on identified patterns or relationships.,Information Technology,Yes,a) Purchased from a vendor,,
VA-25-528,VA FSC AI ChatHelper,OM: Office of Management,b) Pilot – The use case has been deployed in a limited test or pilot capacity.,c) Not high-impact,"Customer Service Representatives (CSR’s) can ask their VA Financial Services Center (FSC) AI ChatHelper questions and receive policy and standards-based answers (e.g., Top Resolution Scripts, Historical Case Notes or Resolutions, Reference Links, Text, or Visual instructions) to converse with Customers through assistance from their VA FSC AI ChatHelper until achieving a final satisfactory resolution per the Customer and being able to provide feedback on the relevance and accuracy of VA FSC ChatHelper responses. This solves the problem of a standards-based knowledge source for FSC's help desk CSRs.","Increasing help ticket capacity for additional volume, increased efficiency and cost avoidance ","Knowledge Base content, help desk resolutions, recommended solutions to customer inquiries","Natural Language Processing: AI that processes, interprets, and shares information in human language.",Procurement & Financial Management,No,c) Developed with both contracting and in-house resources,,
VA-24-2143,Call Center Knowledge Navigator,VBA: Veterans Benefits Administration,b) Pilot – The use case has been deployed in a limited test or pilot capacity.,c) Not high-impact,"1. Inaccurate transcription of phone calls by the current system.
2. Need for enhanced time-to-effectiveness for new employees of the Education Call Center.
3. Improvements to quality review of transcribed conversations.",Increased efficiency and increased accuracy of answers to beneficiary queries,"- Version 1 outputs a string in response to a user query with cited reference materials
- Version 2 will hyperlink these materials for user reference
- Future versions will include transcription output and automated answer strings based on live transcription","Generative AI: AI that generates new or synthetic content (e.g., images, videos, audio, text, code).",Government Benefits Processing,Yes,c) Developed with both contracting and in-house resources,,
VA-24-4804,Master Claims Assistance Tool (M-CAT),VBA: Veterans Benefits Administration,b) Pilot – The use case has been deployed in a limited test or pilot capacity.,c) Not high-impact,"M-CAT is designed to automatically classify, extract, and validate critical information from diverse regulatory and/or policy references. This includes the automation of complex data extraction tasks, which are traditionally time-consuming and prone to human error.  M-CAT provides quick access to regulatory and/or policy guidance and summarizes information within the prescribed Retrieval-Augmented Generation (RAG) model. These retrieval results are maintained for each user and aggregated to inform focused training support needs. The overall generated response includes contextual integration, interactive elements for source expansion, feedback mechanism, displays current trending topics as suggested queries, and provides prompted follow-up questions post query."," M-CAT provides quick access to regulatory and/or policy guidance and summarizes information within the prescribed RAG model, guiding end-users to achieve a clearer understanding and clearer implementation of VA policy. Access to this information improves processing capabilities which immediately transition to more timely and accurate delivery of benefits.  ","M-CAT provides quick access to regulatory and/or policy guidance and summarizes information within the prescribed RAG model. These retrieval results are maintained for each user and aggregated to inform focused training support needs. The overall generated response includes contextual integration, interactive elements for source expansion, feedback mechanism, displaying current trending topics as suggested queries, and providing prompted follow-up questions post query.
","Generative AI: AI that generates new or synthetic content (e.g., images, videos, audio, text, code).",Government Benefits Processing,Yes,c) Developed with both contracting and in-house resources,,https://huggingface.co/meta-llama/Llama-3.1-8B / https://huggingface.co/docs/transformers/en/model_doc/mixtral / https://www.ibm.com/docs/en/watsonx/saas?topic=ai-risk-atlas    
VA-24-2307,Audit Service Connection Designations Associated with Prescriptions,VHA: Veterans Health Administration,b) Pilot – The use case has been deployed in a limited test or pilot capacity.,c) Not high-impact,"Reduce waste or fraud. The model predicts the service connection flag associated with prescriptions. It uses drug information, and service connected disabilities.

","Cost savings, increased efficiency, and increased revenue. ","The model predicts the service connection flag associated with prescriptions. It uses drug information, and service connected disabilities. The outputs are binary – Yes/No.",Classical/Predictive Machine Learning: Models trained on data to make predictions or classifications based on identified patterns or relationships.,Administrative Functions,No,c) Developed with both contracting and in-house resources,,https://h2o.ai/platform/ai-cloud/make/h2o/
VA-24-2791,Internet of Medical Things (IoMT) Inventory,VHA: Veterans Health Administration,b) Pilot – The use case has been deployed in a limited test or pilot capacity.,c) Not high-impact,"Automated categorization of medical devices based on MAC Address, installed software, network activity, etc.: the previous method was to schedule down time with clinical staff to manually verify if patches and vulnerabilities were installed and if not, manually install them. ",Used to identify devices and report operating system (OS) updates and vulnerability patches that have been installed to meet agency's NIST requirements. This will result in savings in personnel time (work hours) and reduce the downtime of a medical device.,"AI Use Case has AI via ML collect and organize information, then a person acts on it. A person generates a report and AI then collects and organizes the information in a format the user requested. The output will allow the user to see what systems have and have not been patched, are properly configured, etc.",Classical/Predictive Machine Learning: Models trained on data to make predictions or classifications based on identified patterns or relationships.,Cybersecurity,No,a) Purchased from a vendor,,
VA-24-294,Nurse Proficiency Writer (NPW),VHA: Veterans Health Administration,b) Pilot – The use case has been deployed in a limited test or pilot capacity.,c) Not high-impact,"Many nurses lack knowledge of the standards and the requirements needed to meet their performance expectations.  The GPT assists the nurse by evaluating their input against the standards. The dialogue between the GPT and the nurse results in improvements in the quality of the submission. The GPTs help to recognize all the nurses' accomplishments and offer suggestions for improvement.  In the current performance process, the nurse is rated against the standards, but feedback is often lacking.  The quality of the performance report often relies on the supervisor’s writing ability and understanding of the standards.  The benefit to the supervisor is that quality content is submitted for evaluation and incorporation.  This saves both the nurse and supervisor time. The tool removes bias as it evaluates submissions against standards that are the same regardless of the submitter. This same process assists with promotion contributions.  With the dissolution of the Nursing Professional Standards Board, it directly supports frontline nurses (as per expert GPT in knowledge standards). Lastly, the Supervisor is ultimately responsible for knowing their employee and evaluating their performance. The GPT output can enhance communication; however, the decisions are solely the responsibility of the nurse supervisor (low risk to reward). The time ROI is from hours to minutes.  The internal development of this tool has the potential to help 120,000 Nurses.    ","Offers Standardization of the Nurse Review Process: The Lamplighter AI Chatbot eradicates subjectivity and ensures objective, consistent evaluations, revolutionizing the standard nurse review process.
Embedded Nursing Standards and Time-Efficient Guidance
The Lamplighter AI Chatbot overcomes the challenges of standard knowledge gaps and time constraints by integrating expert guidance, facilitating efficient and informed review completion.
Assistance with Professional Narrative Creation
It addresses the dependence on writing skills by providing narrative assistance, allowing nurses to accurately document their performance based on their professional skills, not their writing ability.
Maximizing Return on Investment
It enhances the return on investment for the review process, targeting the root cause of low ROI by streamlining the workflow, which translates nurses' and managers' efforts into meaningful feedback.
Efficient and Tailored Review Tool
Designed to combat process inefficiency, the LampLighter AI Chatbot refines the review process, saving time and significantly improving the quality of performance evaluations.
","GPT text that provides narrative for ePerformance integration, textual contribution for promotion (including plans), and skills recommendation to improve performance. ","Natural Language Processing: AI that processes, interprets, and shares information in human language.",Human Resources,No,b) Developed in-house,,
VA-24-5956,Ask Sage – Generative AI Platform for VA Administrative Efficiency,VHA: Veterans Health Administration,b) Pilot – The use case has been deployed in a limited test or pilot capacity.,c) Not high-impact,"VA staff often spend significant time searching for information, drafting communications, and compiling documentation. These tasks can be repetitive, time-consuming, and prone to inconsistencies when performed manually. Ask Sage addresses this by providing a secure, conversational interface that can quickly produce draft materials, summarize complex information, and retrieve relevant guidance, enabling staff to focus on higher-value work.","Increased administrative efficiency through faster document drafting and information retrieval.

Greater consistency and quality in written materials and policy summaries.

Reduced workload for staff, allowing more focus on mission-critical duties.

Cost savings from reduced staff time spent on repetitive, manual tasks.

Improved timeliness and responsiveness in internal and external communications.","Draft correspondence, reports, and summaries for staff review.

Condensed explanations of policies, regulations, and procedures.

Suggested formats, outlines, and checklists for administrative processes.

Contextual research support and topic briefings.","Generative AI: AI that generates new or synthetic content (e.g., images, videos, audio, text, code).",Administrative Functions,No,a) Purchased from a vendor,,
VA-25-2778,AI Transcription and Summary in Veteran Narrative Medicine Program,VHA: Veterans Health Administration,b) Pilot – The use case has been deployed in a limited test or pilot capacity.,c) Not high-impact,"1) The MyLife MyStory program tends to be time intensive, often requiring about four hours of the interviewers' time per patient, which limits the number of Veterans who can receive the program. 
2) The narratives that are produced in MyLife MyStory are sometimes lengthy. When provided with an AI-generated summary, busy clinicians accessing the narrative in a patient's chart may come away with a clearer understanding of the patient's story.","1) Greater efficiency in the MyLife MyStory program with preserved acceptability, allowing for more Veterans to enjoy and benefit from the program.  
2) Due to the inclusion of patient-approved, AI-generated summaries, busy clinicians accessing MyLife MyStory narratives in patients' charts will more often come away with a clear understanding of the patients' experiences through their stories","1) Transcriptions of patient interviews, generated using natural language processing.  
2) An AI-generated summary of each patient's narrative.","Natural Language Processing: AI that processes, interprets, and shares information in human language.",Health & Medical,No,a) Purchased from a vendor,,
VA-25-3029,Sharing RVU Provider Metrics,VHA: Veterans Health Administration,b) Pilot – The use case has been deployed in a limited test or pilot capacity.,c) Not high-impact,"Next Fiscal year, the VA will be focusing heavily on RVUs to measure provider productivity. However, the data currently can only be found in Pyramid Analytics, which is very difficult to use and very few people have access to it. This leaves all frontline employees, and many supervisors, in the dark as far as whether they are meeting their performance metrics. ","This AI model will read the data from the RVU report and send an individual email to each employee, with their supervisor CC'ed, so that they know where they stand on their RVU metrics. ",Individual emails to employees and supervisors.,"Computer Vision: AI that processes and interprets visual data (e.g., images and videos).",Administrative Functions,Yes,c) Developed with both contracting and in-house resources,,
VA-25-3152,Program Evaluation for Commission on Collegiate Nursing Education (CCNE),VHA: Veterans Health Administration,b) Pilot – The use case has been deployed in a limited test or pilot capacity.,c) Not high-impact,"To better understand and manage large volumes of written data, that assist in identifying student trends and curriculum gaps, and evaluating the program, utilizing CCNE standards and expected outcomes.","- Improved patient safety by enhancing learner outcomes and assisting and guiding nursing resident progress from advanced beginner to competent professional.
- Increased efficiency by reducing the labor hours spent evaluating large volumes of data. The saved time can be shifted to curriculum development, resident oversight, and program improvement.
- Assisting in attaining Registered Nurse Transition-to-Practice (RNTTP) program CCNE accreditation.",The reports identify positive program trends and areas of improvement. AI will also be used in evaluating resident trajectory utilizing Patricia Benner's novice to expert theory (NTE). VAGPT as tested has already demonstrated (specificity) for identifying nurse resident progress related to Benner's NTE.,"Natural Language Processing: AI that processes, interprets, and shares information in human language.",Other,No,b) Developed in-house,,
VA-24-1938,Automated Claims Processing,NCA: National Cemetery Administration,c) Deployed – The use case is being actively authorized or utilized to support the functions or mission of an agency.,a) High-impact ,"The purpose of the AI is to automate aspects of NCA benefits and application processing to decrease the case processing time and increase the customer service delivered to Veterans and their next of kin. Currently, it is applicable to the Pre-Need and Presidential Memorial Certificate programs. In the future, other business lines may be included, such as the Headstones, Markers, Medallions, and Urns and Plaques programs. This benefits NCA by automating aspects of the workload (data entry, case creation, document digitization, letter creation, and status updates). ","The outcomes support expedited service delivery of benefits to Veterans and their next of kin. About 30% of Veteran applicants receive their Pre-Need eligibility determinations within 24 hours, without human intervention.  ","The Hyperscience platform (optical character recognition (OCR), natural language processing (NLP), and machine learning (ML)) extracts document data, uses application programming interfaces (APIs) to query data from other VA systems, and applies robotic process automation (RPA) to enter data into existing legacy NCA systems: Eligibility Office Automation System and Web Presidential Memorial Certificates. As the case is processed, automation creates documents that combine relevant claimant information (for use by claim agents), updates statuses, and creates letters, as appropriate. No original content is created through these processes.","Natural Language Processing: AI that processes, interprets, and shares information in human language.",Government Benefits Processing,Yes,a) Purchased from a vendor,,
VA-24-2430,TERA Memorandum Automation,OIT: Office of Information & Technology,c) Deployed – The use case is being actively authorized or utilized to support the functions or mission of an agency.,a) High-impact ,The Toxic Exposure Risk Activity (TERA) Memo automation is intended to reduce the time that users spend manually researching and submitting answers for the TERA memo which is a required form. ,"The benefit of TERA memo automation is a significant reduction in the time claim processors spend filling out the TERA memo, allowing for more efficient claim processing. ","The outputs of the TERA memo automation are pre-populated answers to questions on the TERA form, using data sourced from Veteran records and documents. ","Natural Language Processing: AI that processes, interprets, and shares information in human language.",Government Benefits Processing,Yes,c) Developed with both contracting and in-house resources,,Python 
VA-24-2717,VA.gov Chatbot: Summative Content,OIT: Office of Information & Technology,c) Deployed – The use case is being actively authorized or utilized to support the functions or mission of an agency.,a) High-impact ,"AI can provide around-the-clock support without long wait times, allowing our human call center agents to help individuals with more complex concerns. The virtual agent will allow veterans to self-serve, ask questions at their own pace, complete tasks, and find answers and information more easily.","Veterans receive increased access to self-service capabilities - the virtual agent will allow veterans to self-serve, ask questions at their own pace, complete tasks, and find answers and information more easily.",Benefits information based on VA.gov content. ,Classical/Predictive Machine Learning,Information Technology,Yes,c) Developed with both contracting and in-house resources,,
VA-25-2537,Heuristic Behavior Analytics,OIT: Office of Information & Technology,c) Deployed – The use case is being actively authorized or utilized to support the functions or mission of an agency.,a) High-impact ,Identify anomalous behaviors from established baselines for VA Accounts and Hosts. The output is a Risk score that is provided to CSOC Analysts to more quickly identify accounts and hosts that have been compromised after the initial authentications associated with a computational session,"Quicker identification, response, and mitigation of cybersecurity incidents.","Risk scores for Accounts and Hosts, based on a comparison of recent and historic activities.",Classical/Predictive Machine Learning: Models trained on data to make predictions or classifications based on identified patterns or relationships.,Cybersecurity,No,a) Purchased from a vendor,,
VA-25-3275,Concept Clustering,OIT: Office of Information & Technology,c) Deployed – The use case is being actively authorized or utilized to support the functions or mission of an agency.,a) High-impact ,"Electronic discovery (e-discovery) refers to discovery in legal proceedings such as litigation, government investigations, or Freedom of Information Act (FOIA) requests, where the information sought is in electronic format. As data volumes and the number of civil cases continue to rise, so does the need tools to help government agencies manage electronically stored information used for discovery for litigation, investigations, and FOIA requests. This AI model analyzes the content of documents to identify contextually similar clusters of text. It groups similar documents automatically to reveal themes, without predefined keywords. Runs once on workspace text and metadata to group documents by similarity. No external data or ongoing training.","The expected benefits include reduced manual effort in organizing and identifying related documents, streamlined information retrieval, and improved efficiency for VA staff. Emphasis is placed on cost savings through reduction of labor-intensive processes, while also enhancing user experience by improving search and discovery.",Identified Cluster groups,Classical/Predictive Machine Learning,Administrative Functions,Yes,a) Purchased from a vendor,,
VA-24-36,Evolv WDS - OSLE,"OSP: Office of Operations, Security, and Preparedness",c) Deployed – The use case is being actively authorized or utilized to support the functions or mission of an agency.,a) High-impact ,AI driven security screening system designed to detect concealed weapons and threats in high-traffic areas. AI is used to conduct scans of objects in the shapes of weapons then develops maps of the body to display the location and shape of the object.,"Occupant screening for weapons to ensure that facilities are creating a safe and secure environment for Veterans, Visitors, and Employees.",AI is used to conduct scans of objects in the shapes of weapons then develops maps of the body to display the location and shape of the object.,Agentic AI: AI systems that perform tasks or make decisions autonomously with minimal human intervention.,Law Enforcement,No,a) Purchased from a vendor,,
VA-24-77,Avigilon Camera/Search Function - OSSO,"OSP: Office of Operations, Security, and Preparedness",c) Deployed – The use case is being actively authorized or utilized to support the functions or mission of an agency.,a) High-impact ,A search function in a security video surveillance system that searches for points of interest in the video.,"The integration of artificial intelligence (AI) into VA Police operations has significantly enhanced efficiency and response capabilities. Traditionally, personnel were required to manually review recorded video and images which was a time-consuming process. With AI, these records can now be autonomously searched, drastically reducing manpower hours.

Moreover, during emergent situations, AI has proven instrumental in locating persons of interest, such as missing individuals or patients. This capability has greatly improved the VA Police’s ability to respond swiftly and effectively, ultimately enhancing safety and operational readiness.",Video or images of requested searches from the video surveillance systems.,"Computer Vision: AI that processes and interprets visual data (e.g., images and videos).",Law Enforcement,No,a) Purchased from a vendor,,
VA-24-2184,National Training Team | Schools — FAQ Gen AI Dashboard,VBA: Veterans Benefits Administration,c) Deployed – The use case is being actively authorized or utilized to support the functions or mission of an agency.,a) High-impact ,Categorization of large volume question submissions with suggested generated answers based on past-provided information.,"increased efficiency. There are currently six permanent members of the NTT|S staff and approximately 40,000 SCOs. It is physically impossible for a staff this size to answer all of the questions they ask in a given session. The model reduces the count of overall questions to a reasonable amount answerable by a subject matter expert (SME). It also uses previous answers provided by SMEs in the case of duplicate or similar questions to speed preparation of FAQ documentation for publication following a session — if they’ve answered a question before, they don’t need to spend time answering it again.

Currently, the project has fallen below expectations in terms of usefulness to the end users. NTT|S suffered a major operational setback earlier this year when the contract with Adobe Connect was severed unexpectedly by the new administration. Implementing Office Hours using Microsoft Teams as an alternative has had several obstacles, including a substantial decrease in questions SCOs are able to submit within a session. Because of the lower volume, SMEs can often answer most questions within a session and review remaining questions without the assistance of the model.",The system outputs data to a Microsoft Power BI report — the report lists the top ten categories of questions asked within a particular office hours session with a suggested question based off submissions and suggested answers to the generated question based off previously provided answers in FAQ documentation.,"Natural Language Processing: AI that processes, interprets, and shares information in human language.",Government Benefits Processing,Yes,c) Developed with both contracting and in-house resources,,
VA-24-3291,Payment Redirect Fraud (PRF) Model,VBA: Veterans Benefits Administration,c) Deployed – The use case is being actively authorized or utilized to support the functions or mission of an agency.,a) High-impact ,The goal of the Payment Redirect Fraud (PRF) model is to identify which Direct Deposit (DD) changes are likely to be fraudulent and refer them on to investigators.,Preventing Veterans from having their benefits stolen by fraudsters builds their trust in the VA. The accurate delivery of benefits without interruption creates operational efficiencies and demonstrates fiscal stewardship and prudent use of tax-payer dollars. ,The output is a risk indicator on how likely each daily direct deposit change may be fraudulent.,Classical/Predictive Machine Learning: Models trained on data to make predictions or classifications based on identified patterns or relationships.,Procurement & Financial Management,Yes,c) Developed with both contracting and in-house resources,,https://scikit-learn.org/stable/ 
VA-24-4722,Automated Decision Support,VBA: Veterans Benefits Administration,c) Deployed – The use case is being actively authorized or utilized to support the functions or mission of an agency.,a) High-impact ,"Identify medical evidence for claims processing. Automated Decision Support (ADS) is the utilization of technology to maximize operational efficiency by reducing administrative tasks to produce desired outcomes. These tools will improve the efficiency of the existing claims process, reduce future claims backlog, and will result in faster, more accurate and consistent decisions for Veterans and beneficiaries. ADS is not intended to replace trained claims processors – it provides tools to assist with development tasks at a time when VBA is receiving more claims than ever before.",Automated Decision Support (ADS) automates some of the up-front time-consuming development activities of retrieving information and identifying potentially relevant VA Schedule of Rating Disabilities (VASRD)-related evidence of record. It accelerates the ordering of exams and assists in marking claims as Ready for Decision (RFD). This can lead to faster and more consistent decisions for Veterans and unlock VBA’s ability to uncover data trends.,"Depending on claim criteria, ADS may produce the following five documents:
- Automated Review Summary Document (ARSD) - Summarizes relevant medical and service information from Veteran documents with page numbers and hyperlinks to the original source documents. It also explains the ADS outcome.
- Health Data Repository (HDR) document - Indexes Veteran medical records data from VistA sources (VAMC and Community Care visits)
- Standard Commercial-Off-The-Shelf (COTS) Integration Platform (SCIP) document - Indexes Veteran medical images from VistA sources
- Electronic Health Record-Text (EHR-Text) document - Indexes Veteran medical records data from EHR sites
- Electronic Health Record-Image (EHR-Image) document - Indexes Veteran medical images from EHR sites
ADS also takes action in the Veterans Benefits Management System (VBMS) to update end product (EP) status, order or draft Compensation & Pension (C&P) exams, and add notes. No final benefits decisions are made by ADS and no payments are initiated by ADS.
",Classical/Predictive Machine Learning: Models trained on data to make predictions or classifications based on identified patterns or relationships.,Government Benefits Processing,Yes,c) Developed with both contracting and in-house resources,,
VA-24-4763,Mail Automation Services,VBA: Veterans Benefits Administration,c) Deployed – The use case is being actively authorized or utilized to support the functions or mission of an agency.,a) High-impact ,"Mail Automation Services (MAS) is an if-this-then that (ITTT) logic-based service which is utilized to process inbound mail across the VBA enterprise, including the receipt of claims materials from Veterans, Veteran Service Organizations, and other stakeholders. The platform ingests and reviews approximately 40k packets of information per day, primarily derived from the Centralized Mail Portal. It utilizes prescribed machine learning and Natural Language Processing (NLP), Intelligent Form Recognition (IFR), Optical Character Recognition (OCR), and Intelligent Character Recognition (ICR) to extract and process data from an average of 95 fields on over 1,500 form layouts within VA’s purview.",MAS has completed over 2 million actions in the 2024 calendar year to date. It completes initial intake processing actions to support workload and claims management and has led to cost savings and increased efficiency - cost savings and increased efficiency data is available upon request.,"The most common outcomes are VBA End-Product establishment within the Veterans Benefits Management System (VBMS) and correct business line orientation for ingested submissions. However, MAS also triggers correspondence in certain circumstances and creates or adjusts VBMS notes, tracked items, and flashes. The MAS platform runs under the Veterans Benefits Administration Automation Platform (VBAAP).","Natural Language Processing: AI that processes, interprets, and shares information in human language.",Government Benefits Processing,Yes,a) Purchased from a vendor,,
VA-24-790,Pension Optimization Initiative (POI),VBA: Veterans Benefits Administration,c) Deployed – The use case is being actively authorized or utilized to support the functions or mission of an agency.,a) High-impact ,"VBA’s POI is a transformative effort that seeks a Managed Services Provider (MSP) to convert an existing manual business process into automated processing of Pension, Dependency Indemnity Compensation (DIC), and Burial claims. This effort is focused on dramatically improving the Veteran Experience while significantly reducing costs. POI automation will process Pension, DIC, and Burial claims more quickly, consistently, and efficiently.",Reduced average days to complete claims processing. Reduced claims inventory. Reduced amount of manual claims processing hours to accomplish mission.,"1) updated Veteran/Beneficiary files, 2) completed Pension, DIC, and Burial-related claim actions to include stop and start of awards (delivery of benefits), 3) Notification Letters to Claimants.","Natural Language Processing: AI that processes, interprets, and shares information in human language.",Government Benefits Processing,Yes,a) Purchased from a vendor,,
VA-24-1069,AGFA DR 800 with MUSICA Dynamic,VHA: Veterans Health Administration,c) Deployed – The use case is being actively authorized or utilized to support the functions or mission of an agency.,a) High-impact ,It can accelerate X-ray workflows. The optional image processing allows users to conveniently select image processing settings for different patient sizes and examinations. The image processing algorithms in the new device are similar to those previously cleared and used in Agfa’s radiography portfolio today which includes the DR 600 (K152639) and DR 400 (K141192). The addition of the dynamic image processing is identical to the predicate device (K140380). ,Accelerate X-Ray workflows.,Recommendations for image processing settings.,"Computer Vision: AI that processes and interprets visual data (e.g., images and videos).",Health & Medical, No,a) Purchased from a vendor,,
VA-24-1237,Beckman Coulter DxH 800,VHA: Veterans Health Administration,c) Deployed – The use case is being actively authorized or utilized to support the functions or mission of an agency.,a) High-impact ,"Generating blood cell measurements. The DxH 800 System provides automated complete blood count, leukocyte differential, nucleated red blood cell (NRBC) enumeration and reticulocyte analysis as well as an automated method for enumeration of the Total Nucleated Cells (TNC) and Red Blood Cells (RBC) in body fluids.",Accelerate blood cell measurements.,"The DxH 800 System provides automated complete blood count, leukocyte differential, nucleated red blood cell (NRBC) enumeration and reticulocyte analysis as well as an automated method for enumeration of the Total Nucleated Cells (TNC) and Red Blood Cells (RBC) in body fluids.","Computer Vision: AI that processes and interprets visual data (e.g., images and videos).",Health & Medical, No,a) Purchased from a vendor,,
VA-24-1397,Xeleris V,VHA: Veterans Health Administration,c) Deployed – The use case is being actively authorized or utilized to support the functions or mission of an agency.,a) High-impact ,"Xeleris V AI-enabled clinical applications provide an accurate, efficient, and reproducible way to segment organs. AI-enabled clinical applications have the potential to greatly improve efficiency and precision in nuclear oncology.",Xeleris V leverages AI to accurately segment organs for quantitation and dosimetry calculations. The AI demonstrated a 58% average reduction in the time required for the user to process and calculate the dose. This AI-enabled lung segmentation demonstrated an overall success rate of 89% and reduction in the number of clicks by an average 57%.,Automated segmentation and dosimetry recommendations.,"Computer Vision: AI that processes and interprets visual data (e.g., images and videos).",Health & Medical, No,a) Purchased from a vendor,,
VA-24-163,GE Signa Artist,VHA: Veterans Health Administration,c) Deployed – The use case is being actively authorized or utilized to support the functions or mission of an agency.,a) High-impact ,The software used on the proposed SIGNA Artist system has been modified to include the AIR Recon DL feature. The User interface provides operators of the system with new options for selecting AIR Recon DL and adjusting the associated level of image noise reduction. The resulting images can have higher Signal to Noise Ratio (SNR) and improved sharpness compared to images reconstructed without AIR Recon DL.,"The nonclinical testing demonstrated that AIR Recon DL does improve SNR and image sharpness while maintaining low contrast detectability and having minimal impacts to noise spectral content, average signal intensity, or the appearance of motion artifacts. AIR Recon DL was also 
able to maintain image SNR and did not sacrifice sharpness for images acquired with a reduced scan time. The nonclinical testing passed the defined acceptance criteria, and did not identify any adverse impacts to image quality or other concerns related to safety and performance.",Denoised images. The images produced by the SIGNA Artist system reflect the spatial distribution or molecular environment of nuclei exhibiting magnetic resonance. ,"Computer Vision: AI that processes and interprets visual data (e.g., images and videos).",Health & Medical, No,a) Purchased from a vendor,,
VA-24-1684,Computer Aided Detection (CADe) of Neoplasia during Colonoscopy - “GI Genius”,VHA: Veterans Health Administration,c) Deployed – The use case is being actively authorized or utilized to support the functions or mission of an agency.,a) High-impact ,"The device improves endoscopy quality by aiding neoplastic lesion detection during procedures.

Multiple studies and meta-analyses have found these devices increase adenoma detection rates (ADR), a well-established metric for colonoscopy quality that is related to colon cancer incidence and death. Randomized implementation of the devices across VHA facilities allowed for a pragmatic evaluation of the impact of these devices on ADR. The evaluation demonstrated that the provision of colonoscopy Computer Aided Detection devices resulted in a statistically significant 21% increase in the odds of adenoma detection and an absolute increase in ADR of approximately 4% compared to colonoscopy without CADe.","These devices demonstrably improve endoscopy quality within the VHA, which in turn improves outcomes for Veterans, ultimately reducing morbidity and mortality.

Multiple studies and meta-analyses have found these devices increase adenoma detection rates (ADR), a well-established metric for colonoscopy quality that is related to colon cancer incidence and death. Randomized implementation of the devices across VHA facilities allowed for a pragmatic evaluation of the impact of these devices on ADR. The evaluation demonstrated that the provision of colonoscopy Computer Aided Detection devices resulted in a statistically significant 21% increase in the odds of adenoma detection and an absolute increase in ADR of approximately 4% compared to colonoscopy without CADe.","During endoscopy, the CADe device automatically detects, and highlights suspected neoplastic lesions / polyps in real time. A highlighted rectangle automatically surrounds suspected lesions. 
No results or data are tracked or automatically documented. 
The device physically connects to existing endoscopes, video processors, and display monitors, but does not connect to the VA network. ","Computer Vision: AI that processes and interprets visual data (e.g., images and videos).",Health & Medical,No,a) Purchased from a vendor,,https://www.medtronic.com/covidien/en-us/products/gastrointestinal-artificial-intelligence/gi-genius-intelligent-endoscopy/indications-safety-warnings.html
VA-24-1766,TrueFidelity CT Deep Learning Image Reconstruction,VHA: Veterans Health Administration,c) Deployed – The use case is being actively authorized or utilized to support the functions or mission of an agency.,a) High-impact ,Improve quality of imaging - process the information acquired during a CT for form images used in medical grade diagnostic imaging,Improve quality of imaging of CT examinations,CT images,"Computer Vision: AI that processes and interprets visual data (e.g., images and videos).",Health & Medical,No,a) Purchased from a vendor,,
VA-24-1803,AIDOC BriefCase,VHA: Veterans Health Administration,c) Deployed – The use case is being actively authorized or utilized to support the functions or mission of an agency.,a) High-impact ,"BriefCase is a radiological computer-assisted triage and notification software device. The software is based on an algorithm programmed component and is intended to run on a linux-based server in a cloud environment. The BriefCase receives filtered DICOM Images, and processes them chronologically by running the algorithms on each series to detect suspected cases. Following the AI processing, the output of the algorithm analysis is transferred to an image review software (desktop application). When a suspected case is detected, the user receives a pop-up notification and is presented with a compressed, low quality, grayscale image that is captioned “not for diagnostic use, for prioritization only” which is  displayed as a preview function. This preview is meant for informational purposes only, does not contain any marking of the findings, and is not intended for primary diagnosis beyond notification. Presenting the users with worklist prioritization facilitates efficient triage by prompting the user to assess the relevant original images in the PACS. Thus, the suspect case receives attention earlier than would have been the case in the standard of care practice alone.
https://www.accessdata.fda.gov/cdrh_docs/pdf23/K230020.pdf","Presenting the users with worklist prioritization facilitates efficient triage by prompting the user to assess the relevant original images in the PACS. Thus, the suspect case receives attention earlier than would have been the case in the standard of care practice alone.","When a suspected case is detected, the user receives a pop-up notification and is presented with a compressed, low quality, grayscale image that is captioned “not for diagnostic use, for prioritization only” which is displayed as a preview function. This preview is meant for informational purposes only, does not contain any marking of the findings, and is not intended for primary diagnosis beyond notification.","Computer Vision: AI that processes and interprets visual data (e.g., images and videos).",Health & Medical,No,a) Purchased from a vendor,,
