"SECTION 1: Use Case Identifiers
Complete this Section for the following Use Cases: Retired,  Pre-deployment, Pilot, and Deployed",,,,,,,,"SECTION 2: Use Case Summary
Complete this Section for the following Use Cases: Pre-deployment, Pilot, and Deployed",,,,,"SECTION 3: Documentation
Complete this Section for the following Use Cases: Pilot, and Deployed

",,,,,"SECTION 4: Data & Code
Complete this Section for the following Use Cases: Pilot, and Deployed",,,,,,,"
SECTION 5: Risk Management 
Complete this Section for the following Use Case: Deployed and if ""HIGH-IMPACT"" from SECTION 1

",,,,,,,,
NASA-566,An Urban Information System to Assess Neighborhood Climate Risk and Daily Exposures in Cities,GSFC: Goddard Space Flight Center,agency-caio@mail.nasa.gov,a) No,a) Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,,Science,Classical/Predictive Machine Learning,"Developing ML models (e.g., random forests approaches) to capture climate responses in urban settings within NYC","Shows how NASA tools can inform risk management in cities, with direct interest and engagement from local governments, community groups, and private sector partners. Many of these tools are in development (low TRL/ARL) but show great promise for wider improvements and applications.","AI system is being used to develop flood models and heat exposure models for NYC.  Outputs include flood depths and flood frequency analysis, as well as heat exposure for standard routes of walking/cycling/jogging through the city.",,,,,,,,,,,,,,,,,,,,,
NASA-567,Analysis of GES DISC datasets through NLP and TF-IDF techniques analyzing publications,GSFC: Goddard Space Flight Center,agency-caio@mail.nasa.gov,a) No,a) Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,,Science,Classical/Predictive Machine Learning,Analysis of GES DISC datasets through NLP and TF-IDF techniques analyzing publications,Analysis of GES DISC datasets through NLP and TF-IDF techniques analyzing publications,Predictions,,,,,,,,,,,,,,,,,,,,,
NASA-569,Applying machine learning in improving parameters in the global river routing model,GSFC: Goddard Space Flight Center,agency-caio@mail.nasa.gov,a) No,a) Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,,Science,Classical/Predictive Machine Learning,Applying machine learning in improving parameters in the global river routing model,Applying machine learning in improving parameters in the global river routing model,Predictions,,,,,,,,,,,,,,,,,,,,,
NASA-570,Applying Machine Learning to Earth Ozone Retrieval: Improving Scattering Calculations and Correcting Systematic Errors,GSFC: Goddard Space Flight Center,agency-caio@mail.nasa.gov,a) No,a) Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,,Science,Classical/Predictive Machine Learning,Applying Machine Learning to Earth Ozone Retrieval: Improving Scattering Calculations and Correcting Systematic Errors,Applying Machine Learning to Earth Ozone Retrieval: Improving Scattering Calculations and Correcting Systematic Errors,Predictions,,,,,,,,,,,,,,,,,,,,,
NASA-575,Automated Quality Control Scheme for GPM Satellite Precipitation Products,GSFC: Goddard Space Flight Center,agency-caio@mail.nasa.gov,a) No,a) Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,,Science,Classical/Predictive Machine Learning,Automated Quality Control Scheme for GPM Satellite Precipitation Products,Automated Quality Control Scheme for GPM Satellite Precipitation Products,Predictions,,,,,,,,,,,,,,,,,,,,,
NASA-577,Automated segmentation of chemical and mineralogical maps,GSFC: Goddard Space Flight Center,agency-caio@mail.nasa.gov,a) No,a) Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,,Science,Classical/Predictive Machine Learning,Automated segmentation of chemical and mineralogical maps,Automated segmentation of chemical and mineralogical maps,Predictions,,,,,,,,,,,,,,,,,,,,,
NASA-578,Autonomous Network Security,GSFC: Goddard Space Flight Center,agency-caio@mail.nasa.gov,a) No,a) Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,,Cybersecurity,Classical/Predictive Machine Learning,Autonomous Network Security,Autonomous Network Security,Predictions,,,,,,,,,,,,,,,,,,,,,
NASA-579,Autonomous Obstacle Avoidance of Mobile Robots using Reinforcement Learning,GSFC: Goddard Space Flight Center,agency-caio@mail.nasa.gov,a) No,a) Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,,Science,Classical/Predictive Machine Learning,Autonomous Obstacle Avoidance of Mobile Robots using Reinforcement Learning,Autonomous Obstacle Avoidance of Mobile Robots using Reinforcement Learning,Predictions,,,,,,,,,,,,,,,,,,,,,
NASA-580,Autonomus Path Planning of Robot Manipulators using Reinforcement Learning,GSFC: Goddard Space Flight Center,agency-caio@mail.nasa.gov,a) No,a) Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,,Science,Classical/Predictive Machine Learning,Autonomus Path Planning of Robot Manipulators using Reinforcement Learning,Autonomus Path Planning of Robot Manipulators using Reinforcement Learning,Predictions,,,,,,,,,,,,,,,,,,,,,
NASA-581,Background matrix Generation with Stable Diffusion,GSFC: Goddard Space Flight Center,agency-caio@mail.nasa.gov,a) No,a) Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,,Science,Generative AI,Background matrix Generation with Stable Diffusion,Background matrix Generation with Stable Diffusion,Predictions,,,,,,,,,,,,,,,,,,,,,
NASA-582,Bias correction of fluorescence retrievals with neural networks,GSFC: Goddard Space Flight Center,agency-caio@mail.nasa.gov,a) No,a) Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,,Science,Classical/Predictive Machine Learning,Bias correction of fluorescence retrievals with neural networks,Bias correction of fluorescence retrievals with neural networks,Predictions,,,,,,,,,,,,,,,,,,,,,
NASA-583,Bias correction of GEOS S2S forecast using machine learning,GSFC: Goddard Space Flight Center,agency-caio@mail.nasa.gov,a) No,a) Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,,Science,Classical/Predictive Machine Learning,Bias correction of GEOS S2S forecast using machine learning,Bias correction of GEOS S2S forecast using machine learning,Predictions,,,,,,,,,,,,,,,,,,,,,
NASA-584,Bias correction to GOES-R PM2.5 for US EPA AirNow system,GSFC: Goddard Space Flight Center,agency-caio@mail.nasa.gov,a) No,a) Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,,Science,Classical/Predictive Machine Learning,Bias correction to GOES-R PM2.5 for US EPA AirNow system,Bias correction to GOES-R PM2.5 for US EPA AirNow system,Predictions,,,,,,,,,,,,,,,,,,,,,
NASA-585,Bidirectional water leaving signal extraction and correction using neural networks,GSFC: Goddard Space Flight Center,agency-caio@mail.nasa.gov,a) No,a) Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,,Science,Classical/Predictive Machine Learning,Bidirectional water leaving signal extraction and correction using neural networks,Bidirectional water leaving signal extraction and correction using neural networks,Predictions,,,,,,,,,,,,,,,,,,,,,
NASA-587,Boosting Inversion Research and Data Processing at GSFC with AI,GSFC: Goddard Space Flight Center,agency-caio@mail.nasa.gov,a) No,a) Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,,Science,Classical/Predictive Machine Learning,Boosting Inversion Research and Data Processing at GSFC with AI,Boosting Inversion Research and Data Processing at GSFC with AI,Predictions,,,,,,,,,,,,,,,,,,,,,
NASA-588,Building On Fundamentals:  Reducing Power and Improving Performance With Intelligent Radiometers,GSFC: Goddard Space Flight Center,agency-caio@mail.nasa.gov,a) No,a) Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,,Science,Classical/Predictive Machine Learning,Building On Fundamentals:  Reducing Power and Improving Performance With Intelligent Radiometers,Building On Fundamentals:  Reducing Power and Improving Performance With Intelligent Radiometers,Predictions,,,,,,,,,,,,,,,,,,,,,
NASA-589,CALET Cosmic Ray Data Analysis,GSFC: Goddard Space Flight Center,agency-caio@mail.nasa.gov,a) No,a) Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,,Science,Classical/Predictive Machine Learning,CALET Cosmic Ray Data Analysis,CALET Cosmic Ray Data Analysis,Predictions,,,,,,,,,,,,,,,,,,,,,
NASA-597,Code Assistant Pilot Study,GSFC: Goddard Space Flight Center,agency-caio@mail.nasa.gov,a) No,a) Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,,Science,Classical/Predictive Machine Learning,Link prediction,Dataset Recommender,Predictions,,,,,,,,,,,,,,,,,,,,,
NASA-598,Dataset Recommender,GSFC: Goddard Space Flight Center,agency-caio@mail.nasa.gov,a) No,a) Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,,Science,Classical/Predictive Machine Learning,Link prediction,Deep learning for Environmental and Ecological Prediction-eValuation and Insight with Ensembles of Water quality (DEEP-VIEW),Predictions,,,,,,,,,,,,,,,,,,,,,
NASA-599,Deep learning for Environmental and Ecological Prediction-eValuation and Insight with Ensembles of Water quality (DEEP-VIEW),GSFC: Goddard Space Flight Center,agency-caio@mail.nasa.gov,a) No,a) Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,,Science,Classical/Predictive Machine Learning,Modular framework for multi-sensor segmentation,Demonstrate High-Level Space Mission Requirement Flowdown to Software Requirements Using Generative Artificial Intelligence (AI),Predictions,,,,,,,,,,,,,,,,,,,,,
NASA-600,Demonstrate High-Level Space Mission Requirement Flowdown to Software Requirements Using Generative Artificial Intelligence (AI),GSFC: Goddard Space Flight Center,agency-caio@mail.nasa.gov,a) No,a) Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,,Science,Classical/Predictive Machine Learning,Automated identification of cloud ice crystal types and supercooled liquid,Determining Cloud Particle Types Using Backscatter Lidar Data and a Clustering Approach ,Outputs include confidences/probabilities and most likely category,,,,,,,,,,,,,,,,,,,,,
NASA-601,Determining Cloud Particle Types Using Backscatter Lidar Data and a Clustering Approach ,GSFC: Goddard Space Flight Center,agency-caio@mail.nasa.gov,a) No,a) Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,,Science,Classical/Predictive Machine Learning,Automated identification of cloud ice crystal types and supercooled liquid,Significant time savings,Outputs include confidences/probabilities and most likely category,,,,,,,,,,,,,,,,,,,,,
NASA-602,Development of a machine learning emulator for CAM-CMAQ to improve wildfire smoke forecasts,GSFC: Goddard Space Flight Center,agency-caio@mail.nasa.gov,a) No,a) Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,,Science,Classical/Predictive Machine Learning,Development of a machine learning emulator for CAM-CMAQ to improve wildfire smoke forecasts,Development of a machine learning emulator for CAM-CMAQ to improve wildfire smoke forecasts,Predictions,,,,,,,,,,,,,,,,,,,,,
NASA-604,Development of digital twin technologies for climate prediction,GSFC: Goddard Space Flight Center,agency-caio@mail.nasa.gov,a) No,a) Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,,Science,Classical/Predictive Machine Learning,Development of digital twin technologies for climate prediction,Development of digital twin technologies for climate prediction,Predictions,,,,,,,,,,,,,,,,,,,,,
NASA-605,"Development of real-time high-resolution air quality maps through combination of model output, satellite data, and ancillary Google datasets",GSFC: Goddard Space Flight Center,agency-caio@mail.nasa.gov,a) No,a) Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,,Science,Classical/Predictive Machine Learning,"Development of real-time high-resolution air quality maps through combination of model output, satellite data, and ancillary Google datasets","Development of real-time high-resolution air quality maps through combination of model output, satellite data, and ancillary Google datasets",Predictions,,,,,,,,,,,,,,,,,,,,,
NASA-607,Dynamic Time Interpolation using Spherical Harmonic Neural Operator Models,GSFC: Goddard Space Flight Center,agency-caio@mail.nasa.gov,a) No,a) Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,,Science,Classical/Predictive Machine Learning,Dynamic Time Interpolation using Spherical Harmonic Neural Operator Models,Dynamic Time Interpolation using Spherical Harmonic Neural Operator Models,Predictions,,,,,,,,,,,,,,,,,,,,,
NASA-608,"ECCOH & ""Quick Chemistry"" for Atmospheric Composition and Climate Studies",GSFC: Goddard Space Flight Center,agency-caio@mail.nasa.gov,a) No,a) Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,,Science,Classical/Predictive Machine Learning,"ECCOH & ""Quick Chemistry"" for Atmospheric Composition and Climate Studies","ECCOH & ""Quick Chemistry"" for Atmospheric Composition and Climate Studies",Predictions,,,,,,,,,,,,,,,,,,,,,
NASA-610,ESDIS VisML,GSFC: Goddard Space Flight Center,agency-caio@mail.nasa.gov,a) No,a) Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,,Science,Classical/Predictive Machine Learning,ESDIS VisML,ESDIS VisML,Predictions,,,,,,,,,,,,,,,,,,,,,
NASA-611,Estimate global satellite AOD from visible to ultra-violet,GSFC: Goddard Space Flight Center,agency-caio@mail.nasa.gov,a) No,a) Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,,Science,Classical/Predictive Machine Learning,Estimate global satellite AOD from visible to ultra-violet,Estimate global satellite AOD from visible to ultra-violet,Predictions,,,,,,,,,,,,,,,,,,,,,
NASA-613,Fast neural network emulator for vector radiative transfer simulations,GSFC: Goddard Space Flight Center,agency-caio@mail.nasa.gov,a) No,a) Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,,Science,Classical/Predictive Machine Learning,Fast neural network emulator for vector radiative transfer simulations,Fast neural network emulator for vector radiative transfer simulations,Predictions,,,,,,,,,,,,,,,,,,,,,
NASA-614,Fast radiative transfer emulation for GHG retrievals,GSFC: Goddard Space Flight Center,agency-caio@mail.nasa.gov,a) No,a) Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,,Science,Classical/Predictive Machine Learning,Fast radiative transfer emulation for GHG retrievals,Fast radiative transfer emulation for GHG retrievals,Predictions,,,,,,,,,,,,,,,,,,,,,
NASA-615,Fast Retrieval Emulators for Instrumenting Climate Models ,GSFC: Goddard Space Flight Center,agency-caio@mail.nasa.gov,a) No,a) Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,,Science,Classical/Predictive Machine Learning,Fast Retrieval Emulators for Instrumenting Climate Models ,Fast Retrieval Emulators for Instrumenting Climate Models ,Predictions,,,,,,,,,,,,,,,,,,,,,
NASA-616,FluxSat Gross Primary Production - global upscaling of eddy covariance with machine learning,GSFC: Goddard Space Flight Center,agency-caio@mail.nasa.gov,a) No,a) Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,,Science,Classical/Predictive Machine Learning,FluxSat Gross Primary Production - global upscaling of eddy covariance with machine learning,FluxSat Gross Primary Production - global upscaling of eddy covariance with machine learning,Predictions,,,,,,,,,,,,,,,,,,,,,
NASA-617,GAIT: Generative AI Teleoperations for Robotics,GSFC: Goddard Space Flight Center,agency-caio@mail.nasa.gov,a) No,a) Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,,Science,Classical/Predictive Machine Learning,GAIT: Generative AI Teleoperations for Robotics,GAIT: Generative AI Teleoperations for Robotics,Predictions,,,,,,,,,,,,,,,,,,,,,
NASA-618,Generalized photometric neural network framework,GSFC: Goddard Space Flight Center,agency-caio@mail.nasa.gov,a) No,a) Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,,Science,Classical/Predictive Machine Learning,Generalized photometric neural network framework,Generalized photometric neural network framework,Predictions,,,,,,,,,,,,,,,,,,,,,
NASA-619,Generalized time-series anomaly detection for rapid data survey of in-situ observations,GSFC: Goddard Space Flight Center,agency-caio@mail.nasa.gov,a) No,a) Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,,Science,Classical/Predictive Machine Learning,Generalized time-series anomaly detection for rapid data survey of in-situ observations,Generalized time-series anomaly detection for rapid data survey of in-situ observations,Predictions,,,,,,,,,,,,,,,,,,,,,
NASA-620,Generating localized air quality forecasts for US embassies using ML and GEOS-FP,GSFC: Goddard Space Flight Center,agency-caio@mail.nasa.gov,a) No,a) Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,,Science,Classical/Predictive Machine Learning,Generating localized air quality forecasts for US embassies using ML and GEOS-FP,Generating localized air quality forecasts for US embassies using ML and GEOS-FP,Predictions,,,,,,,,,,,,,,,,,,,,,
NASA-621,Giovanni GPT,GSFC: Goddard Space Flight Center,agency-caio@mail.nasa.gov,a) No,a) Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,,Science,Generative AI,Giovanni GPT,Giovanni GPT,Predictions,,,,,,,,,,,,,,,,,,,,,
NASA-623,Ground Safety AI,GSFC: Goddard Space Flight Center,agency-caio@mail.nasa.gov,a) No,a) Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,,Science,Classical/Predictive Machine Learning,Ground Safety AI,Ground Safety AI,Predictions,,,,,,,,,,,,,,,,,,,,,
NASA-625,Hybrid Model to emulate GEOS physics,GSFC: Goddard Space Flight Center,agency-caio@mail.nasa.gov,a) No,a) Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,,Science,Classical/Predictive Machine Learning,Hybrid Model to emulate GEOS physics,Hybrid Model to emulate GEOS physics,Predictions,,,,,,,,,,,,,,,,,,,,,
NASA-626,Identification of dust from MODIS/VIIRS sensors using ML,GSFC: Goddard Space Flight Center,agency-caio@mail.nasa.gov,a) No,a) Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,,Science,Classical/Predictive Machine Learning,Identification of dust from MODIS/VIIRS sensors using ML,Identification of dust from MODIS/VIIRS sensors using ML,Predictions,,,,,,,,,,,,,,,,,,,,,
NASA-628,Improving greenhouse gas retrievals using a PCA-NN technique,GSFC: Goddard Space Flight Center,agency-caio@mail.nasa.gov,a) No,a) Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,,Science,Classical/Predictive Machine Learning,Improving greenhouse gas retrievals using a PCA-NN technique,Improving greenhouse gas retrievals using a PCA-NN technique,Predictions,,,,,,,,,,,,,,,,,,,,,
NASA-629,Improving quality of SO2 retrievals using a machine learning based analysis technique,GSFC: Goddard Space Flight Center,agency-caio@mail.nasa.gov,a) No,a) Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,,Science,Classical/Predictive Machine Learning,Improving quality of SO2 retrievals using a machine learning based analysis technique,Improving quality of SO2 retrievals using a machine learning based analysis technique,Predictions,,,,,,,,,,,,,,,,,,,,,
NASA-630,Improving uncertainty characterization for PACE polarimeters ,GSFC: Goddard Space Flight Center,agency-caio@mail.nasa.gov,a) No,a) Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,,Science,Classical/Predictive Machine Learning,Improving uncertainty characterization for PACE polarimeters ,Improving uncertainty characterization for PACE polarimeters ,Predictions,,,,,,,,,,,,,,,,,,,,,
NASA-631,Integrating Research in Artificial Intelligence for Spacecraft Resilience (RAISR) into a FlatSat Hardware System,GSFC: Goddard Space Flight Center,agency-caio@mail.nasa.gov,a) No,a) Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,,Science,Classical/Predictive Machine Learning,Integrating Research in Artificial Intelligence for Spacecraft Resilience (RAISR) into a FlatSat Hardware System,Integrating Research in Artificial Intelligence for Spacecraft Resilience (RAISR) into a FlatSat Hardware System,Predictions,,,,,,,,,,,,,,,,,,,,,
NASA-632,Investigating the vanishing martian induced magnetosphere boundary using a Machine Learning approach,GSFC: Goddard Space Flight Center,agency-caio@mail.nasa.gov,a) No,a) Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,,Science,Classical/Predictive Machine Learning,Investigating the vanishing martian induced magnetosphere boundary using a Machine Learning approach,Investigating the vanishing martian induced magnetosphere boundary using a Machine Learning approach,Predictions,,,,,,,,,,,,,,,,,,,,,
NASA-636,Localized air quality forecasts for cities in Africa and South America,GSFC: Goddard Space Flight Center,agency-caio@mail.nasa.gov,a) No,a) Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,,Science,Classical/Predictive Machine Learning,Localized air quality forecasts for cities in Africa and South America,Localized air quality forecasts for cities in Africa and South America,Predictions,,,,,,,,,,,,,,,,,,,,,
NASA-639,Machine Learning for Space Mission Applications,GSFC: Goddard Space Flight Center,agency-caio@mail.nasa.gov,a) No,a) Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,,Science,Classical/Predictive Machine Learning,Machine Learning for Space Mission Applications,Machine Learning for Space Mission Applications,Predictions,,,,,,,,,,,,,,,,,,,,,
NASA-640,Machine Learning volcanic SO2 height retrievals,GSFC: Goddard Space Flight Center,agency-caio@mail.nasa.gov,a) No,a) Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,,Science,Classical/Predictive Machine Learning,Machine Learning volcanic SO2 height retrievals,Machine Learning volcanic SO2 height retrievals,Predictions,,,,,,,,,,,,,,,,,,,,,
NASA-641,Machine-enabled modeling of terminus ablation for Greenland's outlet glaciers,GSFC: Goddard Space Flight Center,agency-caio@mail.nasa.gov,a) No,a) Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,,Science,Classical/Predictive Machine Learning,Machine-enabled modeling of terminus ablation for Greenland's outlet glaciers,Machine-enabled modeling of terminus ablation for Greenland's outlet glaciers,Predictions,,,,,,,,,,,,,,,,,,,,,
NASA-642,Machine-Learning based Auroral Ionospheric electrodynamics Model (ML-AIM) ,GSFC: Goddard Space Flight Center,agency-caio@mail.nasa.gov,a) No,a) Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,,Science,Classical/Predictive Machine Learning,A suite of machine learning models for high-latitude electrodynamics,Machine-Learning based Auroral Ionospheric electrodynamics Model (ML-AIM) ,Predictions,,,,,,,,,,,,,,,,,,,,,
NASA-643,Machine-learning based radiative transfer model and LWP/IWP,GSFC: Goddard Space Flight Center,agency-caio@mail.nasa.gov,a) No,a) Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,,Science,Classical/Predictive Machine Learning,Machine-learning based radiative transfer model and LWP/IWP,Machine-learning based radiative transfer model and LWP/IWP,Predictions,,,,,,,,,,,,,,,,,,,,,
NASA-644,MAGSTAR: Magnetometer Interference Mitigation with Statistical Decomposition and Artificial Intelligence,GSFC: Goddard Space Flight Center,agency-caio@mail.nasa.gov,a) No,a) Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,,Science,Classical/Predictive Machine Learning,MAGSTAR: Magnetometer Interference Mitigation with Statistical Decomposition and Artificial Intelligence,MAGSTAR: Magnetometer Interference Mitigation with Statistical Decomposition and Artificial Intelligence,Predictions,,,,,,,,,,,,,,,,,,,,,
NASA-645,Making a long-term data record of opportunistic experiments with deep learning,GSFC: Goddard Space Flight Center,agency-caio@mail.nasa.gov,a) No,a) Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,,Science,Classical/Predictive Machine Learning,Making a long-term data record of opportunistic experiments with deep learning,Making a long-term data record of opportunistic experiments with deep learning,Predictions,,,,,,,,,,,,,,,,,,,,,
NASA-646,"MATISSE: MAchine inTelligence for Small SatellitEs - application of AI to permit autonomic science triage for small, power starved satellites",GSFC: Goddard Space Flight Center,agency-caio@mail.nasa.gov,a) No,a) Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,,Science,Classical/Predictive Machine Learning,"MATISSE: MAchine inTelligence for Small SatellitEs - application of AI to permit autonomic science triage for small, power starved satellites","MATISSE: MAchine inTelligence for Small SatellitEs - application of AI to permit autonomic science triage for small, power starved satellites",Predictions,,,,,,,,,,,,,,,,,,,,,
NASA-647,MAVEN observation of Kelvin-Helmholtz Vortices using Statistical and Machine Learning Techniques,GSFC: Goddard Space Flight Center,agency-caio@mail.nasa.gov,a) No,a) Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,,Science,Classical/Predictive Machine Learning,MAVEN observation of Kelvin-Helmholtz Vortices using Statistical and Machine Learning Techniques,MAVEN observation of Kelvin-Helmholtz Vortices using Statistical and Machine Learning Techniques,Predictions,,,,,,,,,,,,,,,,,,,,,
NASA-648,Message Anomaly Detection for Command and Telemetry Systems (MADCAT),GSFC: Goddard Space Flight Center,agency-caio@mail.nasa.gov,a) No,a) Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,,Science,Classical/Predictive Machine Learning,Message Anomaly Detection for Command and Telemetry Systems (MADCAT),Message Anomaly Detection for Command and Telemetry Systems (MADCAT),Predictions,,,,,,,,,,,,,,,,,,,,,
NASA-649,Modeling NICER background,GSFC: Goddard Space Flight Center,agency-caio@mail.nasa.gov,a) No,a) Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,,Science,Classical/Predictive Machine Learning,Modeling NICER background,Modeling NICER background,Predictions,,,,,,,,,,,,,,,,,,,,,
NASA-650,NAMASTE,GSFC: Goddard Space Flight Center,agency-caio@mail.nasa.gov,a) No,a) Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,,Science,Classical/Predictive Machine Learning,NAMASTE,NAMASTE,Predictions,,,,,,,,,,,,,,,,,,,,,
NASA-651,NASA Evolutionary Programming Analytic Center (NEPAC),GSFC: Goddard Space Flight Center,agency-caio@mail.nasa.gov,a) No,a) Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,,Science,Classical/Predictive Machine Learning,NASA Evolutionary Programming Analytic Center (NEPAC),NASA Evolutionary Programming Analytic Center (NEPAC),Predictions,,,,,,,,,,,,,,,,,,,,,
NASA-652,National Forest Mapping Old Growth Forest,GSFC: Goddard Space Flight Center,agency-caio@mail.nasa.gov,a) No,a) Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,,Science,Classical/Predictive Machine Learning,National Forest Mapping Old Growth Forest,National Forest Mapping Old Growth Forest,Predictions,,,,,,,,,,,,,,,,,,,,,
NASA-653,Natural Language Processing and Topic Modeling of the 25-Year General Coordinates Network (GCN) Circulars Archive,GSFC: Goddard Space Flight Center,agency-caio@mail.nasa.gov,a) No,a) Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,,Science,Natural Language Processing (NLP),Natural Language Processing and Topic Modeling of the 25-Year General Coordinates Network (GCN) Circulars Archive,Natural Language Processing and Topic Modeling of the 25-Year General Coordinates Network (GCN) Circulars Archive,Predictions,,,,,,,,,,,,,,,,,,,,,
NASA-654,Navajo Nation Feature Mapping,GSFC: Goddard Space Flight Center,agency-caio@mail.nasa.gov,a) No,a) Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,,Science,Classical/Predictive Machine Learning,Navajo Nation Feature Mapping,Navajo Nation Feature Mapping,Predictions,,,,,,,,,,,,,,,,,,,,,
NASA-655,Neural Network based observation operator to bias correct SMAP brightness temperatures for assimilation,GSFC: Goddard Space Flight Center,agency-caio@mail.nasa.gov,a) No,a) Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,,Science,Classical/Predictive Machine Learning,Neural Network based observation operator to bias correct SMAP brightness temperatures for assimilation,Neural Network based observation operator to bias correct SMAP brightness temperatures for assimilation,Predictions,,,,,,,,,,,,,,,,,,,,,
NASA-656,Neutron star synthetic wave form generation,GSFC: Goddard Space Flight Center,agency-caio@mail.nasa.gov,a) No,a) Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,,Science,Classical/Predictive Machine Learning,Neutron star synthetic wave form generation,Neutron star synthetic wave form generation,Predictions,,,,,,,,,,,,,,,,,,,,,
NASA-657,Next generation cloud and aerosol parameterizations for atmospheric models,GSFC: Goddard Space Flight Center,agency-caio@mail.nasa.gov,a) No,a) Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,,Science,Classical/Predictive Machine Learning,Next generation cloud and aerosol parameterizations for atmospheric models,Next generation cloud and aerosol parameterizations for atmospheric models,Predictions,,,,,,,,,,,,,,,,,,,,,
NASA-658,Nitrogen dioxide retrieval using hyper-spectral imagers,GSFC: Goddard Space Flight Center,agency-caio@mail.nasa.gov,a) No,a) Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,,Science,Classical/Predictive Machine Learning,Nitrogen dioxide retrieval using hyper-spectral imagers,Nitrogen dioxide retrieval using hyper-spectral imagers,Predictions,,,,,,,,,,,,,,,,,,,,,
NASA-659,Physics of neural network power-law scaling,GSFC: Goddard Space Flight Center,agency-caio@mail.nasa.gov,a) No,a) Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,,Science,Classical/Predictive Machine Learning,Physics of neural network power-law scaling,Physics of neural network power-law scaling,Predictions,,,,,,,,,,,,,,,,,,,,,
