Use Case ID ,Use Case Name,Bureau/Component,Stage of Development,Is the AI use case high-impact?,Justification,Use Case Topic Area,AI Classification,What problem is the AI intended to solve?,What are the expected benefits and positive outcomes from the AI for an agency’s mission and/or the general public?,Describe the AI system’s outputs.,Date when AI use case became operational or the pilot’s start date,Was the system involved in this use case purchased from a vendor or developed under contract(s) or in-house?,Vendor(s) Name,Does this AI use case have an associated Authorization to Operate (ATO)?,System(s) Name,"Describe any data used to  train, fine-tune, and/or  evaluate performance of the  model(s) used in this use  case.","If the data is required to be publicly disclosed as an open government data asset, provide a link to the entry on the Federal Data Catalog.",Does this AI use case involve personally identifiable information (PII) that is maintained by the agency?,"If publicly available, provide the link to the AI use case’s associated Privacy Impact Assessment (PIA).","Which, if any, demographic variables does the AI use case explicitly use as model features?",Does this project include custom-developed code?,"If the code is open source, provide the link for the publicly available source code.",Has pre-deployment testing been conducted for this AI use case? ,Has an AI impact assessment been completed for this AI use case? ,What are the potential impacts of using the AI for this particular use case and how were they identified?,Has an independent review of the AI use case been conducted?,"Is there a process to conduct ongoing monitoring to identify any adverse impacts to the performance and security of the AI functionality, as well as to privacy, civil rights, and civil liberties?",Has the agency established sufficient and periodic training for operators of the AI to interpret and act on its output and managed associated risks?,Does this AI use case have an appropriate fail-safe that minimizes the risk of significant harm?,Is there an established appeal process in the event that an impacted individual would like to appeal or contest the AI system’s outcome? ,What steps has the agency taken to consult and incorporate feedback from end users of this AI use case and the public?
USDA-108,HR Chatbot,Food Safety,a) Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,,Information Technology,Generative AI,"The HR chatbot provides support to Human Resources personnel by addressing benefits-related inquiries, particularly during the open season period.","Reduced call volume and wait times, increased efficiency and productivity, scalable self-service model, continuous learning and feedback integration",Chat messages,,,,,,,,,,,,,,,,,,,,,
USDA-109,AR-Enabled Mobile App for Policy and Regulation Review,Food Safety,a) Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,,Information Technology,Generative AI,"Enables inspectors to perform remote dispositions and receive training in real-time, hands-free.","Reduced travel time and costs, especially in hard-to-staff or remote locations. Expanded inspection coverage through flexible deployment of remote veterinary oversight. Improved job satisfaction and retention by minimizing travel burdens and offering modern tools. Enhanced training and support via real-time remote guidance from experienced veterinarians.",A custom mobile application for inspection personnel.,,,,,,,,,,,,,,,,,,,,,
USDA-110,LLM-Powered Drafting Assistant for NRs and MOIs,Food Safety,a) Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,,Information Technology,Generative AI,Supports inspectors in drafting Noncompliance Records (NRs) and Memorandums of Interview (MOIs).,"Streamlined noncompliance and memoranda of interview (MOI) documentation. Improved data reuse, access, and interoperability. Improved consistency and reduced time requirements.",Text-based form/template,,,,,,,,,,,,,,,,,,,,,
USDA-111,Chatbot for Meat and Poultry Hotline & OPACE Efficiency,Food Safety,a) Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,,Information Technology,Generative AI,"Live agents are overburdened trying to respond to a high volume of common food safety questions. Opportunity to streamline Office of Public Affairs and Consumer Education operations, freeing staff for higher-value tasks.","Reduces workload on live agents by handling common food safety questions automatically. Improves public access to accurate, real-time food safety information 24/7. Delivers cost savings through automation while maintaining service quality. Ensures privacy and compliance by operating without collecting personal data. ",Chat messages,,,,,,,,,,,,,,,,,,,,,
USDA-112,AI-Enhanced Qlik Reporting for FSIS Data,Food Safety,a) Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,,Information Technology,Generative AI,"Need deeper insights from Food Safety Inspection Service (FSIS) datasets by identifying trends, anomalies, and predictive indicators that inform decision-making.",AI-enhanced insights for Food Safety Inspection Service data. Faster and more informed decision-making. Supports AI inventory and budget planning.  Governance and tool rationalization. ,Outputs SQL queries and executes them securely.,,,,,,,,,,,,,,,,,,,,,
USDA-113,Consumer Mobile App for Identifying Recalled Products,Food Safety,a) Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,,Information Technology,Natural Language Processing (NLP),"Consumers have a need to verify product safety quickly and efficiently, opportunity to enhance public trust and food safety awareness.",Empowers consumers with real-time recall alerts. Barcode/QR code scanning for instant product verification. AI-driven personalization and predictive alerts.  Supports regulatory compliance and public education. Data feedback loop for continuous improvement. ,A custom mobile application for general public that outputs text notifications/information.,,,,,,,,,,,,,,,,,,,,,
USDA-114,AI Camera Technology to identify Product Safety Concerns,Food Safety,a) Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,,Information Technology,Computer Vision,Business operations with camera technology to detect food safety issues in poultry slaughter lines.,Enhanced detection accuracy and consistency. Operational efficiency and line speed optimization. Increased scientific rigor and regulatory alignment. Improved data capture and traceability.,Detects and classifies unsafe food products.,,,,,,,,,,,,,,,,,,,,,
USDA-115,Automating ATO/POAM documentation ,Food Safety,a) Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,,Information Technology,Generative AI,"Need for enhanced cybersecurity visibility, response time, and documentation efficiency.",Improved cybersecurity visibility. Faster response time to threats. Greater documentation efficiency. Stronger governance and compliance.,Text-based security Documentation.,,,,,,,,,,,,,,,,,,,,,
USDA-116,Incident Detection and Response Acceleration ,Food Safety,a) Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,,Information Technology,Generative AI,Need for improved incident detection and response acceleration ,Faster threat containment and mitigation. Continuous monitoring and real-time detection. ,Text-based detection alerts.,,,,,,,,,,,,,,,,,,,,,
USDA-117,Vegetation Specifications Suite (VegSpec),Farm Production and Conservation,b)  Pilot – The use case has been deployed in a limited test or pilot capacity.,c) Not high-impact,,Service Delivery,Classical/Predictive Machine Learning,"Consistent technical expertise is lacking in the development of conservation practices for producers that need to implement emergency and disaster assistance conservation programs, as well as other voluntary conservation programs","Empowers producers to make informed decisions on plant materials used in their operations for conservation, disaster recovery, or production purposes. Consistent and tailored specifications with cost estimations.  ","Reports generating seed mixes, bare root specifications, recommendations, and estimated costs for projects. ",12/31/2024,c) Developed with both contracting and in-house resources,"Precision Sustainable Agriculture Group, North Carolina State University",Yes,Vegetation Specification Suite (VegSpec),"Datasets are developed using publicly available technical materials from, Soil Survey Geographic Database (SSURGO), National Soil Information System (NASIS), Plant List of Attributes, Names, Taxonomy, and Symbols (PLANTS), Major Land Resource Assessment (MLRAs) areas National Resources Conservation Service (NRCS) plant materials centers and NRCS state resources",https://websoilsurvey.nrcs.usda.gov/app/; https://plants.usda.gov/, No,https://vegspec.org/; https://develop.vegspec.org/,None of the above,Yes,,,,,,,,,,
USDA-118,NETS automated waterway design,Farm Production and Conservation,b)  Pilot – The use case has been deployed in a limited test or pilot capacity.,c) Not high-impact,,Transportation,Agentic AI,Surveying for and creating engineering designs for relatively simple practices is time consuming and limits getting programs implemented for producers in a timely manner,"Reduces producer wait times for practice designs, reduces time investment in simple engineering survey and designs, efficiently uses taxpayer resources.","Auto-generated design for grassed waterways, lined waterways, and outlets within the National Resources Conservation Service (NRCS) Engineering Tools Suite environment",3/15/2025,a) Purchased from a vendor,Spatial Front Incorporated,Yes,NRCS Engineering Tools Suite (NETS),"Data consists of LiDAR imagery, Soil Survey Geographic Database (SSURGO) and National Soil Information System (NASIS) soils information, National Oceanic and Atmospheric Administration (NOAA) precipitation and evapotranspiration data, engineering computational data, and data on producer's operation type",,Yes,,None of the above,Yes,,,,,,,,,,
USDA-119,DamWatch automated leadership reporting,Farm Production and Conservation,a) Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,,Emergency Management,Classical/Predictive Machine Learning,Providing leadership with information about impacts to dams (high hazard and other dams) after storm events or other natural disaster events is time consuming and can delay leaders receiving needed information for decision making,Improves speed and efficiency of government decision-making to protect life and property in disaster situations,Automated Report to National Resources Conservation Service (NRCS) Leadership on the status of dams across the U.S. after storm events or natural disasters,,,,,,,,,,,,,,,,,,,,,
USDA-120,Digital Soil Mapping,Farm Production and Conservation,b)  Pilot – The use case has been deployed in a limited test or pilot capacity.,c) Not high-impact,,Science,Classical/Predictive Machine Learning,"The purpose of this project is to implement new soil map products at local, regional, and national scales to provide more explicit soil information than traditional soil mapping products. ","The expected benefits are that AI streamlines the data development process, creates more consistent and detailed maps, and provides objective estimates of uncertainty to support conservation activities, decision makers, and environmental modelers.","Outputs include maps of soil type for selected local and regional project areas, including areas without any soil map products. Outputs also include continuous soil property maps representing individual soil properties predicted at seven depths for the continental United States. ",10/1/2012,b) Developed in-house,,Yes,The R Project for Statistical Computing; Arc Soil Inference Engine; System for Automatic Geoscientific Analyses; Google Earth Engine; Google Compute Platform ,"The AI models are trained and evaluated using a combination of soil field observations and previous aggregated soil spatial data. The training data include information such as soil particle size distribution, organic matter content, bulk density, depth to restrictive features, and water states.",https://catalog.data.gov/dataset/ncss-soil-characterization-database-d2772; https://catalog.data.gov/dataset/soil-survey-geographic-database-ssurgo-a3a65; https://catalog.data.gov/dataset/nasis, No,,None of the above,Yes,https://github.com/ncss-tech,,,,,,,,,
USDA-121,Annual Soil Refresh Data Staging Server Automation,Farm Production and Conservation,b)  Pilot – The use case has been deployed in a limited test or pilot capacity.,c) Not high-impact,,Information Technology,Computer Vision,The process for adding new data to the Staging Server is repetitive and time consuming. We utilize the commercial software UIPath Studio with computer vision to automate this process.,Automates a portion of this process so that it can be done more efficiently and reduce the number of labor hours spent.,The UIPath software follows the directions provided by staff and completes the task with minimal intervention.,6/2/2025,a) Purchased from a vendor,UIPath Studio,Yes,UIPath Studio,"No data was required for training, fine-tuning, or evaluating this use case.",, No,,None of the above, No,,,,,,,,,,
USDA-122,Image generator for presentation support,Marketing and Regulatory Programs,a) Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,,Health & Medical,Generative AI,There are often scenes of field work that are difficult to photograph for use in educational presentation. AI has been used to generate images that approximate those field operations. ,Provides a tool that improves the training of staff and educating agricultural stakeholders.,The AI generates an image that can be saved as a JPEG file for use in standard presentation software.,,,,,,,,,,,,,,,,,,,,,
USDA-123,Forest based and boosted classification and regression methods,Natural Resources and Environment ,a) Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,,Science,Classical/Predictive Machine Learning,Determining which features of a forest best indicate species presence and amount,Improves the selection of most relevant forest features for making predictions ,Predicts occurance or abundance of species,,,,,,,,,,,,,,,,,,,,,
USDA-124,MaxEnt/ENMeval models of habitat suitability,Natural Resources and Environment ,a) Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,,Science,Classical/Predictive Machine Learning,Predict species habitat under current and future conditions,"Improves focus survey efforts, improves conservation efforts, and landscape scale planning",Prediction of suitable habitat in new areas and future time points based on known habitat associations,,,,,,,,,,,,,,,,,,,,,
USDA-125,ASKTERRA,Natural Resources and Environment ,a) Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,,Service Delivery,Generative AI,"Geospatial data and models can be difficult to navigate and understand, especially for non-expert geospatial data users. Large language models give users the ability to ask questions of geospatial data using plain language, and receive useful insights.",This use case would allow anyone to quickly engage with geospatial data in curated ways while taking advantage of asking specific questions within specific areas of interest.  ,"Outputs tailored geospatial data created by large language models using Forest Service, USDA, or public geospatial data as inputs.  ",,,,,,,,,,,,,,,,,,,,,
USDA-126,Species Distribution Data analysis,Natural Resources and Environment ,b)  Pilot – The use case has been deployed in a limited test or pilot capacity.,c) Not high-impact,,Science,Classical/Predictive Machine Learning,Machine learning models built for predicting and understanding species distributions and ranges for thousands of different species.,Providing information on where species are distributed improves decision-making for ecosystem management ,Predictions of species distributions,1/6/2025,b) Developed in-house,, No,,All species distribution and range datasets are tabular and publicly available.,, No,,None of the above,Yes,,,,,,,,,,
USDA-127,A wetland-based habitat suitability model for Spotted Turtles in West Virginia,Natural Resources and Environment ,a) Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,,Science,Classical/Predictive Machine Learning,Classifying environmental suitability of wetlands for a species of turtle.,The expected benefit of this use case is to create cost savings,The output is an environmental suitability classification prediction,,,,,,,,,,,,,,,,,,,,,
USDA-128,Projected contemporary habitat distribution and quality for wood turtles in the midwestern United States,Natural Resources and Environment ,a) Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,,Science,Classical/Predictive Machine Learning,Estimating environmental suitability of stream cells for a turtle species.,The expected benefit of this use case is to create cost savings,The output is an environmental suitability prediction,,,,,,,,,,,,,,,,,,,,,
USDA-129,Amphibians reveal unexpectedly large differences in potential environmental change responses among ecologically similar habitat specialists,Natural Resources and Environment ,a) Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,,Science,Classical/Predictive Machine Learning,Estimating environmental suitability for amphibians,The expected benefit of this use case is to create cost savings,The output is an environmental suitability prediction,,,,,,,,,,,,,,,,,,,,,
USDA-130,Projected future changes in the geographic distributions of the threatened Plethodon nettingi and a potential competitor,Natural Resources and Environment ,a) Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,,Science,Classical/Predictive Machine Learning,Estimation of environmental suitability for two salamander species.,The expected benefit of this use case is to create cost savings,The output is an environmental suitability prediction,,,,,,,,,,,,,,,,,,,,,
USDA-131,Random Forest with Aquatic Effectiveness Monitoring,Natural Resources and Environment ,b)  Pilot – The use case has been deployed in a limited test or pilot capacity.,c) Not high-impact,,Science,Classical/Predictive Machine Learning,Protecting aquatic ecosystems and restoring watershed processes can be improved by understanding predictors of sediment in streams after wildfire.,Aids in protecting aquatic ecosystems and restoring watershed processes.,Outputs identified predictors for protecting aquatic ecosystems and restoring watershed processes,9/5/2025,b) Developed in-house,, No,,Physical stream habitat datasets from the Aquatic Riparian Effectiveness Monitoring Program. Data about watershed conditions from StreamCAT. Fire history data from Monitoring Trends in Burn Severity (MTBS).,, No,,None of the above,Yes,,,,,,,,,,
USDA-132,Forest fire effects remote sensing models,Natural Resources and Environment ,b)  Pilot – The use case has been deployed in a limited test or pilot capacity.,c) Not high-impact,,Science,Classical/Predictive Machine Learning,The AI use case is intended to predict the status of forests after wildfires.,The AI use case supports research into low-cost data sources for mapping forests after a fire.,"The AI system outputs predictions of aboveground biomass, dead aboveground biomass, live trees per hectare, and fire severity. ",7/21/2025,b) Developed in-house,, No,,"Data from the Forest Inventory and Analysis program was used to train the model. Data from the Sentinel-2 satellite, LiDAR data collected from aircraft, and digital aerial photogrammetric point clouds collected as part of the National Agriculture Imagery Program were used.",, No,,None of the above,Yes,,,,,,,,,,
USDA-133,GIS Help Desk Chat Bot,Natural Resources and Environment ,a) Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,,Information Technology,Generative AI,Answer easier Geographic Information System (GIS) help desk questions based on published Knowledge Based Articles (KBAs) which are used to train the model.,"Reduce customer wait times when they have a geospatial question. Help desk agents will also have more time to devote to geospatial questions, improving customer service overall.",Outputs text-based answers to user-submitted questions about geospatial applications and processes.,,,,,,,,,,,,,,,,,,,,,
USDA-134,Select Tree Mapping,Natural Resources and Environment ,b)  Pilot – The use case has been deployed in a limited test or pilot capacity.,c) Not high-impact,,Science,Computer Vision,Improving access to data about Select Trees (trees with superior growth for timber production) from Select Tree Registers (physical documents with information about the tree and its location),Cost savings by reducing the amount of work time that would otherwise be spent doing this repetitive task,Outputs a spreadsheet with data about select trees collected from their corresponding registers,7/1/2025,b) Developed in-house,, No,,The input data are scanned PDFs of select tree registers.  ,, No,,None of the above,Yes,,,,,,,,,,
USDA-135,Yearly Incident Procurement Classification Report,Natural Resources and Environment ,b)  Pilot – The use case has been deployed in a limited test or pilot capacity.,c) Not high-impact,,Procurement & Financial Management,Classical/Predictive Machine Learning,"As part of planning for the upcoming fire season, all previous year incident-related procurements are categorized manually. This is a time-consuming process and humans may not be able to identify more nuanced, purchasing patterns.","The goal is to identify patterns and cost savings opportunities for purchases in the upcoming fire season, which in turn could lead to quicker resource allocation to incident locations.",The outputs are classification numbers representing common purchase categories identified by procurement staff.,12/11/2024,b) Developed in-house,, No,,Training data inputs were item descriptions (i.e. protective work gloves) of purchases from 2023. Validation data was human-labeled item categories from the same year.,, No,,None of the above,Yes,,,,,,,,,,
USDA-136,American Recovery Act Classification Tool,Natural Resources and Environment ,b)  Pilot – The use case has been deployed in a limited test or pilot capacity.,c) Not high-impact,,Emergency Management,Natural Language Processing (NLP),"This project will use AI/ML to better understand how contracts and agreements funded through the American Relief Act support disaster response themes across the country, such as road repair, timber salvage, and recreation site rehabilitation.",This project will promote accountability and enable public reporting of expenditures.,The outputs are probabilities for each need category identified in the American Recovery Act. A highly confident prediction will categorize a document into one or more categories while a less-confident result will flag the document for human review. ,7/1/2025,b) Developed in-house,, No,,"This uses word2vec word embeddings pre-trained on Google News (this is not a LLM) and TF-IDF (term frequency/inverse document frequency), a statistical measure of word counts in contracts and statements of work (SOWs) for disaster-recovery projects.",, No,,None of the above,Yes,,,,,,,,,,
USDA-137,Automated Road Mapping,Natural Resources and Environment ,b)  Pilot – The use case has been deployed in a limited test or pilot capacity.,c) Not high-impact,,Science,Computer Vision,"Road and trail maps are essential for effective fire response, forest management, and public safety in wildland areas. Unfortunately, many existing maps are outdated or incomplete. Forest Service employees currently rely on time-consuming and labor-intensive methods like GPS mapping. ",Effective implementation may enable the Forest Service to more comprehensively manage road network data at lower cost. Improved data can increase safety on federal lands.  ,The AI system produces high resolution images of mapped roads within areas managed by the Forest Service.,5/5/2025,c) Developed with both contracting and in-house resources,RedCastle Resources, No,,Training data was collected using LiDAR digital terrain models and National Agriculture Imagery Program imagery. Approximately 2000 image patches were generated for initial model training.,, No,,None of the above,Yes,,,,,,,,,,
USDA-138,Policy Analysis,Natural Resources and Environment ,c)  Deployed – The use case is being actively authorized or utilized to support the functions or mission of an agency.,c) Not high-impact,,Other,Classical/Predictive Machine Learning,Review roughly 1500 handbooks and policies to identify any duplications and perform information extraction for analysis.,Decrease time requirement and increase effectiveness of policy and handbook reviews,"Returns extracts and various text segments from statutes, regulations, executive orders, secretary memos, and department directives.  ",8/1/2025,b) Developed in-house,,Yes,Advanced platform for Technical Learning and Analytics in the Sciences (ATLAS),Forest Service Policy and Handbooks.,, No,,None of the above,Yes,,,,,,,,,,
USDA-139,Turbo plan,Natural Resources and Environment ,c)  Deployed – The use case is being actively authorized or utilized to support the functions or mission of an agency.,c) Not high-impact,,Energy & the Environment,Generative AI,Accelerating environmental planning with tools and services to achieve the Wildfire Crisis Strategy with specific focus around National Environmental Policy Act planning and appraisal process optimization.  ,"Meet and exceed the Wildfire Crisis Strategy, accelerate the pace and scale of preparedness planning before a catastrophic wildfire, reduce the time and cost of planning, standardize the planning process, reduce planning barriers",Optimized planning document,7/1/2025,a) Purchased from a vendor,Wildfire.org ,Yes,Advanced platform for Technical Learning and Analytics in the Sciences (ATLAS),"No data was required for training, fine-tuning, or evaluating this use case. Leverages pretrained and pre-evaluated models.",, No,,None of the above,Yes,,,,,,,,,,
USDA-140,Forest Plan review and planning support,Natural Resources and Environment ,c)  Deployed – The use case is being actively authorized or utilized to support the functions or mission of an agency.,c) Not high-impact,,Information Technology,Generative AI,Opportunity to increase business productivity related to forest plan reviews by analyzing data and information at a rapid pace,"Speeding up analysis of data, improving service for public, and mission area enablement.",Outputs data analysis and extracted information ,6/2/2025,a) Purchased from a vendor,Google,Yes,Advanced platform for Technical Learning and Analytics in the Sciences (ATLAS),Datasets are primarily Geospatial datasets including internal artifacts ,, No,,None of the above, No,,,,,,,,,,
USDA-141,TreeSearch,Natural Resources and Environment ,c)  Deployed – The use case is being actively authorized or utilized to support the functions or mission of an agency.,c) Not high-impact,,Energy & the Environment,Generative AI,"There is opportunity to streamline the usability of the US Forest Service (USFS) TreeSearch website, the primary database for Forest Service-sponsored research.  ","Currently, Forest Plan Revision team members would search the USFS TreeSearch database of over 60,000 documents manually to find relevant publications to support their work. This AI solution would expedite the team's research process by providing quick, accurate, and context-aware answers from multiple sources. ",Provides conversational outputs through an AI Chatbot with a Human In The Loop (HITL) performing final data checks and quality assurance.,3/17/2025,c) Developed with both contracting and in-house resources,Google,Yes,Advanced platform for Technical Learning and Analytics in the Sciences (ATLAS),The US Forest Service TreeSearch website (https://www.fs.usda.gov/research/treesearch) is a publicly available website that contains a database of TreeSearch publications. ,, No,,None of the above,Yes,,,,,,,,,,
USDA-142,Infosec Chatbot,Natural Resources and Environment ,c)  Deployed – The use case is being actively authorized or utilized to support the functions or mission of an agency.,c) Not high-impact,,Cybersecurity,Generative AI,Information Security AI is a Chatbot that uses generative artificial intelligence (AI) to support users by responding to questions on information security.  ,Decreases the time required to retrieve information from various National Institute of Standards and Technology (NIST) security publications.,Provides text outputs through retrieval-augmented generation (RAG) solution that uses data from National Institute of Standards and Technology (NIST) guidelines.,4/9/2025,c) Developed with both contracting and in-house resources,Google,Yes,Advanced platform for Technical Learning and Analytics in the Sciences (ATLAS),National Institute of Standards and Technology (NIST) documentation for Authority to Operate (ATO)-related security assessments and security publications.,, No,,None of the above,Yes,,,,,,,,,,
USDA-143,Bugnet,Natural Resources and Environment ,b)  Pilot – The use case has been deployed in a limited test or pilot capacity.,c) Not high-impact,,Science,Classical/Predictive Machine Learning,"Detect and map locations of tree damage caused by insects and disease, separate from fire and harvest-caused damage.","The detection of forest damage using satellite imagery and AI is a safer, faster, and cost-efficient way to monitor forest conditions across entire states and in difficult to reach locations.",The outputs predict locations where forest change is likely caused by insect or disease damage as opposed to fire or harvest activity.,6/11/2023,c) Developed with both contracting and in-house resources,Oregon State University, No,,High-resolution satellite imagery; aerial detection surveys; Forest Service Activity Tracking System (FACTS) forest management activity database; Monitoring Trends in Burn Severity (MTBS) fire data.,, No,,None of the above,Yes,https://github.com/eMapR/Bugnet,,,,,,,,,
USDA-144,Recreation site chatbot,Natural Resources and Environment ,b)  Pilot – The use case has been deployed in a limited test or pilot capacity.,c) Not high-impact,,Science,Natural Language Processing (NLP),Estimating recreation use at recreation sites. ,Addressing requirements of the federal Expanding Public Lands Outdoor Recreation Experiences (EXPLORE) Act. ,A dataset of text provided by recreation visitors. ,10/1/2024,c) Developed with both contracting and in-house resources,University of Washington, No,,Comparison of output between training dataset and human coding. Ongoing quality analysis (QA) and quality control (QC) checks. ,, No,,None of the above, No,,,,,,,,,,
USDA-145,UAS FS Nursery Seedling Inventory,Natural Resources and Environment ,a) Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,,Energy & the Environment,Computer Vision,The primary purpose of this project is to reduce the amount of time each Forest Service nursery takes to manually count seedlings using images. It takes each nursery 3-5 people between 3-6 weeks at least once a year to manually count seedlings and it’s physically very demanding.,Reducing costs and increasing accuracy of counts. ,"The output is a csv file in the national nursery database. The outputs are the field name, the client name, the seedling lot ID, and the estimated seedling counts extracted.",,,,,,,,,,,,,,,,,,,,,
USDA-146,Forest Mapping using G-LiHT airborne data in interior Alaska,Natural Resources and Environment ,b)  Pilot – The use case has been deployed in a limited test or pilot capacity.,c) Not high-impact,,Science,Classical/Predictive Machine Learning,"This project supports the first comprehensive forest inventory of interior Alaska in the modern era. Machine learning techniques will be used to predict various forest attributes (volume, biomass, composition).  ","Use of multi-sensor airborne data will improve the accuracy and precision of forest inventory estimates over interior Alaska, improving the quality and reliability of products provided to the public. ",Maps and tabular estimates of inventory attributes over all forested regions of interior Alaska. ,6/1/2014,b) Developed in-house,, No,,Airborne remote sensing data and Forest Inventory and Analysis field inventory data. ,, No,,None of the above,Yes,,,,,,,,,,
USDA-147,Late seral forest complexity,Natural Resources and Environment ,a) Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,,Energy & the Environment,Classical/Predictive Machine Learning,To evaluate relationships between remotely collected data on forest conditions and more detailed information on forest conditions obtained through direct measurements in the forest ,A better understanding of how to accomplish and document desired forest conditions through management,"Predictive relationships between easily measured metrics and complex, expensive, and/or time-consuming metrics that address important aspects of forest health",,,,,,,,,,,,,,,,,,,,,
USDA-148,Forest Health Protection: Survey and mapping of forest damage from insects and diseases using machine learning,Natural Resources and Environment ,b)  Pilot – The use case has been deployed in a limited test or pilot capacity.,c) Not high-impact,,Science,Classical/Predictive Machine Learning,Forest Health Protection is responsible for surveying ~500 million acres of forest for forest damage and mapping the risk of mortality from insects and diseases. ,"Cost savings, increased work efficiency, expanded coverage over hard to reach locations",Predictions (GIS data and maps) used in decision making,12/1/2015,c) Developed with both contracting and in-house resources,"Kikaha Solutions, LLC",Yes,"Natural Resources and Environment (NRE) Forest Service (FS) Advanced platform for Technical Learning and Analytics in the Sciences (ATLAS), USFS Geospatial Platform","Predictors: Satellite and airborne imagery, other Geographical Information System (GIS) data (e.g., soils, topography, pest ranges). Training data: Field collected and other observational data from sources such as Forest Inventory and Analysis, Insect and Disease Surveys, and photointerpretation.",, No,,None of the above,Yes,,,,,,,,,,
USDA-149,FS UAS Classification - Fire & Natural Resources,Natural Resources and Environment ,a) Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,,Emergency Management,Computer Vision,"Web applications in Google Cloud Platform (GCP) for unmanned aerial system (UAS) allow the Forest Service to deliver user-friendly tools that meet niche program needs, supporting both fire management and timber production.","These core functions reduce costs, streamline data delivery, reduce risks, and improve decision-making in the field","Outputs tabular data extracted using generative AI, such as large language models. ",,,,,,,,,,,,,,,,,,,,,
USDA-150,Cone Survey123 AI Image Cone Counts,Natural Resources and Environment ,a) Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,,Energy & the Environment,Computer Vision,"High-quality seed is essential to sustain long-term reforestation goals and timber production, both identified as national priorities under Executive Order 14225 (Increasing Timber Production), Secretarial Memo 1078-006, and the Trillion Trees Act. Without reliable cone survey data, nurseries cannot collect sufficient seed, which jeopardizes seedling production, reduces reforestation capacity, and constrains timber production. ",Cone survey automation's primary return on investment is the time and cost savings from reducing manual cone counts and strengthening the reforestation pipeline.   ,The outputs from the beta version of Survey123 are tabular counts of cones that are auto-populated in an excel spreadsheet. ,,,,,,,,,,,,,,,,,,,,,
USDA-151,Predicting fire severity potential in future wildfires in California,Natural Resources and Environment ,b)  Pilot – The use case has been deployed in a limited test or pilot capacity.,c) Not high-impact,,Energy & the Environment,Classical/Predictive Machine Learning,Provide information on where high fire severity (high vegetation mortality) is likely to occur during future wildfires. Provides information for planning where to conduct management activities to lower the adverse effects of future wildfire.,Cost savings. Reducing adverse effects of wildfire on forest resources and human communities.,End product is a series of fire severity maps that estimate or predict where future wildfire will burn hotter and cause more vegetation mortality.,8/1/2025,b) Developed in-house,, No,,Used observed fire severity data collected on all wildfires with size greater than 1000 acres in California. ,, No,,None of the above,Yes,,,,,,,,,,
USDA-152,Forest Inventory and Cruising using GAIA AI,Natural Resources and Environment ,b)  Pilot – The use case has been deployed in a limited test or pilot capacity.,c) Not high-impact,,Science,Classical/Predictive Machine Learning,Intended to solve the problem of collecting forest inventory data in large areas with limited staff and time. ,The AI use case has the potential to generate accurate forest inventory data with less staff and at a higher pace. Increasing the pace and scale of forest management and restoration. ,"A tree list for forest inventory and volume determination (cruising), forest growth, and management data. ",4/15/2025,a) Purchased from a vendor,GAIA AI, No,,The data used to train the AI ouput is forest plot data collected onsite using the AI system,, No,,None of the above, No,,,,,,,,,,
USDA-153,Forest demographic modelling ,Natural Resources and Environment ,a) Pre-deployment – The use case is in a development or acquisition status.,c) Not high-impact,,Energy & the Environment,Classical/Predictive Machine Learning,The purpose of this model is to investigate how species' responses to climate and disturbance influence forest resilience. ,Project information will help land managers identify opportunities for high-impact management interventions in forests to promote resilience.,The model outputs are flat csv tables and maps (shapefiles of ecoregions with values of forest change).,,,,,,,,,,,,,,,,,,,,,
