fedramp_id,csp,cso,category,confidence,reasoning,status,impact_level,ato_count,candidate_inventory_products,decision_canonical_name,decision_notes
FR1809360202A,Snowflake Inc.,The Data Cloud on Azure Government (High),ai_featured,medium,"Snowflake Data Cloud (Azure Gov High) is a cloud data warehouse/platform; like its sibling offering it provides built-in ML/AI services (Cortex/Snowpark ML) atop the data platform, though no AI feature is named in this thin description.",FedRAMP Authorized,High,1,Snowflake Cortex (1.00); Azure Data Factory (0.67); Aretec EDP (0.50); Azure AI Foundry (0.50); Azure AI Translator (0.50),,
FR2334936522,"Socure, Inc.",Socure for Government (SocureGov),core_ai,high,"AI-first identity verification and fraud-decisioning platform: nearly every described capability — identity verification, synthetic-fraud detection, email/phone/address risk scoring, and deepfake-resistant document verification — is delivered by machine-learning models with continuous feedback loops.",FedRAMP Authorized,Moderate,1,,,
FR2135915901,Solventum,Solventum RevCycle Health Services Platform,ai_featured,high,"Solventum RevCycle is a healthcare revenue-cycle platform whose flagship capability is NLP that automatically suggests CPT and ICD codes for computer-assisted coding, alongside non-AI grouping, reimbursement, and analytics services.",FedRAMP Authorized,Moderate,1,,,
FR2002367706,Somnoware Healthcare Systems,Somnoware,ai_featured,low,"Somnoware is a sleep/pulmonary diagnostic and care-management platform. It cites 'clinical intelligence' for instant diagnostic report generation and risk profiles, suggesting algorithmic analysis, but no explicit ML/AI feature is named, so confidence is low.",FedRAMP Authorized,Moderate,1,,,
FR2533435144,Syneren Technologies Corporation,Configurable Case Management Application Platform (CMAP),ai_featured,medium,Low-code/no-code case management platform whose primary purpose is business process automation; it ships AI/ML and an RPA chatbot as integrated features rather than as the core product.,FedRAMP Authorized,Low,1,Federal Docket Management System (0.50); Palantir Case Management & Analytics (CMA) (0.40),,
F1602057825A,TRAPWIRE,TRAPWIRE Threat Detection and Analysis System,ai_featured,low,"TRAPWIRE is a threat-detection and incident-analysis platform whose core job is incident reporting and information sharing, but it advertises pattern analysis and threat detection over reported activity. No explicit ML/AI technique is named.",FedRAMP Authorized,High,1,Rangeland Analysis Platform (0.50); Recorded Future (0.40),,
FR2213647361,Talkdesk,Talkdesk CX Cloud™ Government Edition,ai_featured,low,"Talkdesk CX Cloud is a cloud contact-center platform; its core is voice routing, agent workspace, and workforce management. Talkdesk's broader product is known for AI features, but this Government Edition description names no specific AI capability.",FedRAMP Authorized,Moderate,1,Genesys Cloud CX (0.50),,
FR2535435454,Transform9,Transform9,core_ai,high,"The product is AI voice agents: conversational AI that autonomously handles calls, scheduling, reminders, and information requests end to end. AI is the product's primary purpose.",FedRAMP Authorized,Low,1,,,
FR2226228379,Trend Micro Inc.,Trend Cloud One for Government,ai_featured,medium,"Trend Cloud One is an endpoint/server/cloud-workload security platform whose core is prevention and EDR/XDR, but it lists machine learning among its real-time prevention and detection capabilities.",FedRAMP Authorized,Moderate,1,Rank One Computing (0.50); SentinelOne (0.50),,
FR2226231529,Trend Micro Inc.,Trend Vision One for Government,ai_featured,high,"Trend Vision One is a security operations (XDR) platform; its core is threat detection and response, and it materially leverages AI and predictive machine learning for earlier detection and automated response.",FedRAMP Authorized,Moderate,1,Google Cloud Vision (0.50); Rank One Computing (0.50); SentinelOne (0.50),,
FR2421943168,UKG Inc.,UKG Government Cloud,ai_featured,medium,"Workforce management and HCM platform (timekeeping, scheduling, payroll); its scheduling and labor forecasting modules are known to be driven by UKG's machine-learning forecasting engine, though the description does not detail the AI explicitly.",Agency Authorization In Process,Moderate,1,,,
FR2208555094,UberEther,IAM Advantage,ai_featured,medium,"IAM Advantage is an identity and access management platform; AI is not its purpose. It bundles CyberArk Privileged Threat Analytics and OpenSearch user behavior analytics, which provide ML-based behavioral threat detection as a feature.",FedRAMP Authorized,High,1,,,
FR2411443563,"Valley IT Solutions, LLC",Kernos,ai_featured,high,"Common-operating-picture and video exploitation platform whose broader job is operations collaboration, shipping substantial embedded AI: LLM-based translation, facial recognition, and object detection with AI/ML-based alerting on full-motion video.",FedRAMP Authorized,Moderate,1,,,
FR2525556241XM,Vanta,Vanta Government Cloud,ai_featured,medium,"Vanta Government Cloud is a GRC/compliance automation platform that the vendor describes as powered by AI, with Vanta AI driving questionnaire automation and compliance workflows. AI is a material embedded feature rather than the product's primary purpose.",FedRAMP Authorized,Moderate,1,,,
FR2525556241,Vanta,Vanta Trust Management Platform,ai_featured,medium,"Vanta is a security compliance automation platform whose core job is GRC, with a material AI feature: Vanta AI powers its security questionnaire automation (LLM-drafted answers) and vendor review. The description names questionnaire automation but not AI explicitly, hence medium confidence.",FedRAMP Authorized,Low,1,Federal Docket Management System (0.50),,
FR2616952670,Verily Health,Verily Pre,ai_featured,high,"Biomedical data platform whose primary job is harmonizing and governing multimodal health data, with built-in AI services as a material capability: curating AI-ready datasets and building and deploying AI models and agents into care and research workflows.",Agency Authorization In Process,Moderate,1,,,
FR2425035681,Verint,Verint Self-Service for Government,core_ai,high,"Contact-center self-service portfolio centered on conversational AI: an Intelligent Virtual Assistant with pre-built NLU models delivering AI-driven conversations across voice and digital channels, plus IVR automation and ML-based call risk scoring.",FedRAMP Ready,Moderate,1,,,
FR2619254906,Vulcan Technologies,VulcanGov,core_ai,low,"Vulcan Technologies builds an AI-driven legal research and regulatory intelligence platform (LLM-based analysis and drafting of regulations), and the marketplace listing tags it under Artificial Intelligence. The service description itself covers only hosting architecture, so confidence is lowered.",FedRAMP Ready,Moderate,1,,,
FR2612836790,Wraithwatch Corporation,Wraithwatch Government,ai_featured,high,"Security data-fabric platform whose primary job is continuous GRC and threat detection, but it ships material AI: autonomous reasoning workers that hunt threats across SIEM telemetry and natural-language query translation across data sources.",Agency Authorization In Process,High,1,,,
FR2618651192,ZeroEyes Inc,ZEF,core_ai,high,Computer-vision weapons detection system: its primary purpose is AI-based real-time video analysis that identifies visible firearms and alerts personnel before shots are fired.,FedRAMP Ready,Moderate,1,,,
FR2424945160,dMetrics,Minsky No-code ML/NLP Knowledge Graphing Platform,core_ai,high,"No-code ML/NLP platform whose primary purpose is AI: analysts build personalized ML agents that continuously scan large text datasets, extract entities and events, and learn from analyst feedback across multiple languages.",FedRAMP Authorized,Moderate,1,Broadcom Code for Z (1.00); Claude Code (0.50); VoiceAtlas (0.40),,
