use_case_id,agency,use_case_name,vendor_name,system_name,development_type,ai_classification,problem_statement,expected_benefits,candidate_products,pre_classification
62714,FRB,Body Worn Cameras Data Management System,Third Party Vendor,Body Worn Camera Data Management System,Purchased from a vendor,Generative AI,Body Worn Cameras Data Management – Ensure proper handling of information in body camera footage while making content searchable,"Audio recordings may be transcribed to text and/or redacted. Transcripts are then labeled “unverified” until an OIG designated member reviews, edits and approves the final transcript.  Automatically detects and redacts screens (computer screens, digital signs), faces and license plates captured. Prior to redacting any evidence, a special agent must first approve the redactions before sharing any evidence.",Aretec SEARCH (via 'SEARCH'),high_signal
62739,FRB,Virtual Benefits Assistant,Benefits Manager,Benefits Manager,Purchased from a vendor,Generative AI,Virtual Assistant is designed to answer questions on how to navigate the site and answer general questions,Get general answers on benefits and links to reference materials for additional information or benefits contact information,,high_signal
62742,FRTIB,AVA,Accenture Federal Services (AFS),Converge,a) Purchased from a vendor,Generative AI,Assist with participant questions,Help participants answering questions about the TSP,,high_signal
62743,FRTIB,Fraud Detection Platform,Accenture Federal Services (AFS),Converge,a) Purchased from a vendor,Classical/Predictive Machine Learning,Fraud Detection,Detect potential fraud and abuse,,high_signal
62744,FRTIB,Contact Center AI,Accenture Federal Services (AFS),Converge,a) Purchased from a vendor,Generative AI,Assist participant Service Representative interaction with plan participants,"Help with knowledgebase search, transcription and scripts",Aretec SEARCH (via 'SEARCH'),high_signal
62748,FTC,Automatic PSC Classification,Leidos,Sentinel Network Services,c) Developed with both contracting and in-house resources,Classical/Predictive Machine Learning,FTC receives uncategorized complaints from multiple channels and contents of comments varies widely by source.,"Enhances data quality by automatically classifying consumer complaints by PSC (Product and Sevice Code), minimizing the need for manual effort.",,high_signal
62750,FTC,Chatbot,Leidos,Sentinel Network Services,c) Developed with both contracting and in-house resources,Classical/Predictive Machine Learning,Assisted chat is only available during business hours. Many consumers are left with no option to wait until assisted chat is available if they have questions.,Provide automated chatbots capabilities for ReportFraud.ftc.gov and IdentifyTheft.gov and replacing assisted chat services.,,high_signal
62752,FTC,Graph Analytics,Leidos,Sentinel Network Services,c) Developed with both contracting and in-house resources,Other,"Assist with identifying connections between complaints as consumers may file same type of complaints against a company but with different names, phone numbers or when company use different names, aliases, phone numbers. It helps with grouping the complaints for further review and analysis.",Helps law enforcement to explore and identify relationships and connections between complaints.,,high_signal
62753,FTC,Analytic Sandbox,Leidos,Sentinel Network Services,c) Developed with both contracting and in-house resources,Other,"Provides a managed data analytics platform to help FTC staff perform data analytics tasks supporting various business purposes, by utilizing Python and other tools, with ML (Machine Learning) capabilties and reporting capabilities to create interactive visualization and reports.",Enable FTC Data Analysts to perform data analysis and respond to inquiries from various agency departments.,,high_signal
62754,FTC,Developer Productivity,Leidos,Sentinel Network Services,c) Developed with both contracting and in-house resources,Generative AI,Solve challenges and inefficiencies in development,Enhance developer productivity by improving code quality,,high_signal
62760,FTC,IVR Automated Voice Assistant,Amazon,Sentinel Network Services,c) Developed with both contracting and in-house resources,Generative AI,Reduce cost of call volume for requests for information which are low value contacts for law enforcements while maintaining positive customer experience.,Enhances user experience by providing RFIs (Request for Information) accessible 24x7 rather than limited to working hours.,Custom In-House AI (via 'Custom'),high_signal
62761,FTC,GenAI Mail Scan,Amazon,Sentinel Network Services,c) Developed with both contracting and in-house resources,Generative AI,The difficulties of interpreting handwritten and poorly formatted documents by staff leads to increased manual labor required to accurately read and enter data into all fields.,"Automatic processing of handwritten mail received by the agency enhances accuracy, reduces manual labor, accelerates processing times, and improves data quality.",,high_signal
62828,HHS,Unaccompanied Children Program Policy & Procedure Research Tool,MIT Lincoln Labs,ACF Horizon,c) Developed with both contracting and in-house resources,Agentic AI,"How can the Office of Refugee Resettlement (ORR) research the laws, standards, policies, and procedures applicable to monitoring visits more quickly while maintaining thoroughness?  The Office of Refugee Resettlement (ORR) conducts monitoring visits at least monthly to ensure that care providers meet minimum standards for the care and timely release of unaccompanied children, and that they abide by all Federal and State laws and regulations, licensing and accreditation standards, ORR policies and procedures, and child welfare standards. If ORR monitoring finds a care provider to be out of compliance with requirements, ORR issues corrective action findings and requires the care provider to resolve the issue within a specified time frame. Compliance determination involves research into the various laws, standards, policies, and procedures.","Faster issuance of well-informed corrective action findings  The goal of the  UC Program Policy & Research Tool is to speed up this process as children's health and well-being may be impacted before a corrective action finding is issued and the issue is resolved. The UC Program Policy & Procedure Research Tool speeds up research of relevant laws, standards, policies, and procedures content curated and approved by ORR's policy team. This research is one part of the process that informs ORR's monitoring team's decisions on whether corrective actions are needed and if so, what corrective actions.",Aretec SEARCH (via 'SEARCH'),high_signal
62958,HHS,OFR Robotics and Process Automation (ORPA),UIPath,UIPath,c) Developed with both contracting and in-house resources,Agentic AI,Reduction in human workload and increase in quality through automation of repetitive tasks.,"Multiple Robotics and Process Automation (RPA) bots are in use.  Most are simple automations of basic tasks (conversation of documents/file management). The two most significant bots focus on automating the sorting and distribution of thousands of invoices annually (Invoice Mailbox Management) and conducting government purchase card use validations monthly (PCARD Line Item Review).  The result of the two bots are greater consistency/quality in the outputs and a reduction in human workload.  The Invoice Mailbox Management bot processes >15,000 emails annually and the PCARD Line Item Review bot processes 3,000  5,000 transactions monthly against more than 200 unique business rules.",,high_signal
62966,HHS,AI-assisted comment triaging tool,"L&M Policy Research, LLC",,c) Developed with both contracting and in-house resources,Classical/Predictive Machine Learning,"To reduce labor hours of manual comment review we use AI to assist in comment review and triage, and in identifying form letters.",Cost savings and time savings to the government.,Aretec SEARCH (via 'SEARCH'),high_signal
62979,HHS,CMS Labor Analysis Wizard (CLAW),Skyward Solutions,CEDAR,c) Developed with both contracting and in-house resources,Natural Language Processing (NLP),"CLAW provides semi-automated analysis and insights into contractor-proposed labor for evaluation and negotiation purposes, enabling OAGM to make more informed procurement decisions that optimize contract terms and enhance the efficiency of the federal acquisition process.",CLAW enables  OAGM to make more informed procurement decisions that optimize contract terms and enhance the efficiency of the federal acquisition process.,,high_signal
62981,HHS,AI Workspace,Skyward Solutions,CEDAR,c) Developed with both contracting and in-house resources,Natural Language Processing (NLP),"Hosted development env with access to AI tooling, including LLMs for use in early stage exploration.","AI Workspace provides a hosted development environment with access to AI tooling including LLMs, enabling CMS teams to conduct early-stage AI exploration and experimentation that can lead to innovative solutions",Microsoft Teams (via 'MS Teams'),high_signal
62993,HHS,CMS Chat,Skyward IT Solutions,CEDAR,c) Developed with both contracting and in-house resources,Generative AI,Workforce productivity and operational efficiency,The expected benefits include significant productivity gains and enhanced operational efficiency through streamlined work.,,high_signal
63009,HHS,Medicare AI Customer Insights,commonFont and AWS,Public Website Shared Services,c) Developed with both contracting and in-house resources,Generative AI,Improved customer insights,"Cost savings, improved efficiency and quality",Custom In-House AI (via 'Custom'),high_signal
63016,HHS,AI Agent Orchestrator POC,Noblis,CEDAR,c) Developed with both contracting and in-house resources,Natural Language Processing (NLP),"The AI Agent Orchestrator solves the problem that current chatbots are limited to question-and-answer interactions and cannot orchestrate complex, multi-step analytical workflows that require calling external data science notebooks and tools in the correct sequence to solve sophisticated problems.","The AI Agent Orchestrator will transform CMS's analytical capabilities by enabling any staff member to execute sophisticated, multi-step data science workflows through natural language interactions, eliminating the current barrier of requiring specialized technical expertise to access complex analytical tools and notebooks.",,high_signal
63034,HHS,Integrated Data Repository (IDR) Customer Analytic Environment (CAE),GDIT,Integrated Data Repository (IDR) Cloud,c) Developed with both contracting and in-house resources,Classical/Predictive Machine Learning,"Provides an AI/ML environment connected to the IDR that enables CAE customers to focus on their AI use cases and business outcomes, without the burden of setting up or maintaining their own IT infrastructure or AI/ML labs or environments.","The CAE provides CMS Centers and Offices with secure, fully managed AI/ML workspaces directly integrated with the IDR, eliminating the need to build or maintain separate infrastructure. This accelerates AI innovation, shortens time-to-insight, and enables scalable adoption of advanced analytics across the agency.",Custom In-House AI (via 'Custom'),high_signal
63035,HHS,IDR Support Bot,GDIT,Integrated Data Repository (IDR) Cloud,c) Developed with both contracting and in-house resources,Generative AI,"The IDR Support Bot is an AI-powered chatbot that makes it easier for CMS users to get the IDR information they need, when they need it. It answers questions about IDR terminology, tools and services, onboarding steps, available data, training content, key contacts, and morewithout the hassle of submitting a support request or digging through pages of documentation.","Any CMS user with an active ID can use the IDR Support Bot to gain a foundational understanding of the IDR, its data offerings, and how to navigate its resources. The IDR Support Bot leverages retrieval-augmented generation (RAG) technology to provide accurate and contextually relevant responses to user queries. By combining a structured knowledge base with real-time document retrieval, IDR Support Bot ensures that users receive up-to-date and comprehensive information about the IDR.",,high_signal
63036,HHS,Eligibility & Enrollment Medicare Online (ELMO) Chatbot,"Peraton, Inc.",Medicare Enrollment & Premium Billing Systems (MEPBS),c) Developed with both contracting and in-house resources,Generative AI,Assist Medicare caseworkers in navigating a fairly complex application,More efficient caseworkers,,high_signal
63042,HHS,"Renamed: 356H Machine Learning (ML) Facility Supply Chain Role Classification
Previously: 356H ML Facility Supply Chain Role Classification",Deloitte,CDEROne Analytics: FISMA-high environment,c) Developed with both contracting and in-house resources,Classical/Predictive Machine Learning,Manual classification of facility supply chain roles from FDA industry submissions (356h forms) is time-consuming and inefficient,"Improve the efficiency of evaluating 356H forms to assess a facility's supply chain role, thereby decreasing the time required for the processing of submissions and enabling faster oversight of drug manufacturing facilities.",,high_signal
63048,HHS,Annual Report CMC,Deloitte,CDEROne Analytics: FISMA-high environment,c) Developed with both contracting and in-house resources,Generative AI,"FDA receives numerous annual reports from drug manufacturers containing important manufacturing and quality information, but key details can be difficult to locate quickly within lengthy documents.","Objective of this use case was to assist in extracting Chemistry, Manufacturing, and Controls (CMC) changes reported within unstructured annual report industry submission documents to help build a complete repository for downstream analysis and more efficient regulatory review.",,high_signal
63049,HHS,"Renamed: Application References
Previously: Application-DMF Reference",Deloitte,CDEROne Analytics: FISMA-high environment,c) Developed with both contracting and in-house resources,Natural Language Processing (NLP),"FDA receives extensive drug application submissions that contain valuable references to related applications, but these relationships aren't always captured in existing regulatory databases.","Extracts references to Drug Master Files (DMFs) from marketing application submissions including Abbreviated New Drug Applications (ANDA), New Drug Applications (NDA), and Biologics License Applications (BLA). These submission documents may be structured (356H form) or unstructured (electronic Common Technical Document modules 1-4). This pipeline parses content from these documents, extracts DMF references (e.g., ANDA123456 references DMF123456), and exposes the data in a structured format for analysis.",,high_signal
63050,HHS,"Renamed: Extracting DMF Facilities from unstructured documents
Previously: DMF (Drug Master File) Facilities",Deloitte,CDEROne Analytics: FISMA-high environment,c) Developed with both contracting and in-house resources,Natural Language Processing (NLP),"FDA receives Drug Master File (DMF) submissions containing valuable information about manufacturing facilities, but this data exists in various document formats that require manual review to compile comprehensive facility information.","Extracts facility references from Type II (Drug Substance) DMF manufacturing submissions (i.e., DMF123456 discloses that it uses Facility X for manufacturing and Facility Y for stability testing). These DMF submissions may include structured documents (3938 form) or unstructured documents (electronic Common Technical Document module 3), enabling more comprehensive oversight of the drug supply chain.",,high_signal
63053,HHS,"Renamed: Module 3 Facilities Extraction
Previously: Module 3 Faculties",Deloitte,CDEROne Analytics: FISMA-high environment,c) Developed with both contracting and in-house resources,Generative AI,"FDA receives drug application submissions (ANDA, NDA, BLA) that contain important manufacturing facility information in Module 3 documents, but this data requires manual review to identify and organize all facility details.",Objective of this use case was to assist in identifying and extracting all drug manufacturing facilities reported within unstructured module 3 submissions from marketing applications to build a comprehensive inventory of drug facilities for better regulatory oversight.,,high_signal
63054,HHS,Packaging Materials and Suppliers,Deloitte,CDEROne Analytics: FISMA-high environment,c) Developed with both contracting and in-house resources,Generative AI,"FDA needs to efficiently identify which Drug Master Files (DMFs) contain specific packaging materials and understand how these materials connect to drug applications, but this information is currently difficult to locate across numerous documents.",Objective of this use case is to extract data from unstructured sources to assist in building an inventory of drug packaging materials and their suppliers to support staff in conducting drug supply chain analysis for better regulatory oversight.,,high_signal
63056,HHS,Real World Data/Evidence,Deloitte,CDEROne Analytics: FISMA-high environment,c) Developed with both contracting and in-house resources,Generative AI,"FDA receives numerous submissions containing real-world data and evidence, but identifying and cataloging these studies across various submission types is time-intensive and critical for regulatory reporting requirements under PDUFA (Prescription Drug User Fee Act).",Assist in identifying industry unstructured submissions containing Real World Data/Evidence (RWD/E) by analyzing parsed content for likely indicators to support congressional reporting and regulatory decision-making.,,high_signal
63057,HHS,Regulatory Starting Material,Deloitte,CDEROne Analytics: FISMA-high environment,c) Developed with both contracting and in-house resources,Generative AI,"FDA needs comprehensive visibility into the upstream supply chain for drug manufacturing, particularly tracking regulatory starting materials and their suppliers across approved and pending drug applications to better understand potential supply chain vulnerabilities.",Assists in extracting Regulatory Starting Materials (RSMs) and their suppliers from unstructured module 3 industry submissions to help create an inventory that will illuminate the upstream supply chain and help FDA identify potential supply chain vulnerabilities.,,high_signal
63060,HHS,HIVE AI Pilot,SAIC,HIVE,c) Developed with both contracting and in-house resources,Generative AI,"The AI is intended to assist in solving several problems related to the review process for INDs.  Specifically, it aims to address issues of inefficiency, delays in identifying deficiencies and information overload.  By providing recommendations for review disciplines, it helps reviewers to quickly identify potential review disciplines that are required.  By identifying grossly deficient submissions early on, it reduces the workload and highlighting key data helps reviewers to focus on higher-level tasks that require their expertise.","Overall, is designed to improve efficiency and effectiveness of the regulatory review process, allowing for quicker and well-informed decision making",,high_signal
63062,HHS,CDER Publications,NCTR,CDER Pubs,c) Developed with both contracting and in-house resources,Natural Language Processing (NLP),"Inefficient manual curation and categorization of publications by CDER authors. It aims to automate the process of organizing publications by focus areas for data call responses and identifying regulatory publications, replacing time-consuming manual review processes.","CDER Pubs is needed for the Science and Research Investments Tracking Archive (SARITA) for reporting of outcomes and to support the prioritization, management, and review of the quality and impact of CDER's science and research investments, helping ensure public accountability for research activities.",Aretec SEARCH (via 'SEARCH'),high_signal
63067,HHS,Category Subcategory Classification - Safety Reports Bot,Deloitte,Data Services Automation,c) Developed with both contracting and in-house resources,Other,Manual analysis and data entry of safety report submissions is time-intensive and requires staff to review scanned PDFs and determine appropriate categories.,"Potentially reduces manual labor in processing safety report submissions, allowing FDA staff to focus on safety analysis and regulatory decision-making rather than data entry tasks.",,high_signal
63068,HHS,Data Extraction from IND Safety Reports using OCR/AI Technologies,ThinkTrends,FAERS,a) Purchased from a vendor,Natural Language Processing (NLP),Manual extraction of data from IND safety reports is labor-intensive and time-consuming for regulatory staff.,"Expedited processing of Investigational New Drug (IND) Safety Reports received by the Agency, enabling more rapid regulatory action in response to reported adverse events and better protection of clinical trial participants.",,high_signal
63093,HHS,Product Label and Text Extraction System (PLATES),"Trigent Solutions Inc, Digitrix LLC","PLATES, FoodTrak",c) Developed with both contracting and in-house resources,Classical/Predictive Machine Learning,Manual food label data extraction causes slow data accessibility and insights.  Manual data processing and standardization causes slow data accessibility and insights.  Decentralized food label data limits research and regulatory processing of industry compliance and health impacts.,"Reduced burden to HFP reviewers and data scientists reviewing and analyzing food product label data, including ingredient and nutrition research. The capabilities have significantly accelerated the data extraction and entry process, providing standardized and parsed structured data 35.29x faster than the manual process (reducing the manual burden by 97.08%).",Aretec SEARCH (via 'SEARCH'),high_signal
63095,HHS,Smart Solution for Docket Management (SSDM),Deloitte,AWS,c) Developed with both contracting and in-house resources,Generative AI,"The AI is intended to solve the extremely labor-intensive and time consuming process of manually collating, de-duplicating, and categorizing public comments on FDA dockets.","1. Significant time and resource savings: The platform aims to save the Agency a substantial number of staff hours by assisting in reducing redundant and time-consuming tasks that can take weeks to complete manually. 2. Enhanced processing capacity: The platform will enable FDA to effectively handle large-scale comment volumes. 3. Improved accuracy and quality: The AI-powered deduplication, topic modeling, and keyword flagging can potentially enhance the overall quality of comment processing while reducing human error in manual sorting.",,high_signal
63104,HHS,Filer Evaluation prioritization using risk-based decision Machine Learning approach,"Precise Software Solutions, Inc.",evaluation prediction ml,c) Developed with both contracting and in-house resources,Classical/Predictive Machine Learning,"The FDA's Office of Information Operations (OIO) has an opportunity to enhance its evaluation capabilities across over 4,000 filers in the current FDA inventory by implementing a systematic, data-driven approach to risk assessment and prioritization. By developing standardized evaluation processes and integrated analytical tools, OIO can optimize resource allocation, improve consistency in risk identification, and strengthen the FDA's capacity to effectively protect public health through targeted regulatory oversight.","OIO is responsible for filer evaluations. There are over 4,000 filers in the current FDA inventory and this ML-based risk scoring approach to identify high-risk filers reduces the burden of sorting through the information manually and provides a standard process for conducting evaluations for the staff. An interactive dashboard has been developed that displays model outputs in various forms for staff use.",,high_signal
63109,HHS,AI Audit Resolution Assistant (AIARA),Mindpetal,IRMS - UiPath Automation Cloud Public Sector,c) Developed with both contracting and in-house resources,Agentic AI,"The DFI PRF AIARA project leverages AI to streamline the single audit process.  The team utilizes the Robotic Process Automation (RPA) to extract data from the Federal Audit Clearinghouse to create templates for both the audit notification and management decision letters, and to generate a comprehensive report of the auditee and its findings.","Since its launch, the AIARA has successfully processed and resolved 73 audits. Automation has resulted in an estimated total of 276 hours of work saved. The AIARA has significantly enhanced both efficiency and consistency in the audit resolution process.",,high_signal
63110,HHS,Knowledge Navigator,Publicis Sapient,BMISS,c) Developed with both contracting and in-house resources,Generative AI,"The objective is to develop an AI model that can answer detailed and complex questions about the key programmatic document, Application and Program Guidance (APG), that is issued annually before the application cycle opens. The PoC LLM has Applicant and Program Guidance (APG) documents for 10 loan repayments and scholarship programs.",This will allow loan repayment and scholarship analysts and call center agents to  better respond to public inquiries from applicants and participants,,high_signal
63113,HHS,PRF Program Chatbot,GDIT Inc,PRB,c) Developed with both contracting and in-house resources,Generative AI,"Answer the inquiries related to GAO, FOIAs, and Litigation quickly and efficiently","PRB leadership is equipped to manage the PRF program effectively, by responding to adhoc inquiries that enhances the customer experience while adapting to current reductions in staff",Custom In-House AI (via 'Custom'),high_signal
63138,HHS,DAIT AIDS-Related Research Solution,Deloitte,DAIT AIDS-Related Research Solution,c) Developed with both contracting and in-house resources,Classical/Predictive Machine Learning,DAIT POs need to identify grant applications that involve AIDS-related research (ARR) so they can evaluate them for additional funding.,"DAIT ARR suggests prioritization of grant applications that are likely to include AIDS-Related Research to assist POs in prioritizing which grants to select, which improved the review time and quality of review for ARR applications.",Aretec SEARCH (via 'SEARCH'),high_signal
63142,HHS,Federal IT Acquisition Reform Act (FITARA) Tool,Deloitte,FITARA,c) Developed with both contracting and in-house resources,Classical/Predictive Machine Learning,Contracting officers use this tool to help identify whether a Statement of Work meets the criteria of Federal IT Acquisition Reform Act (FITARA).,"Contracting Officers can use this tool to indicate if Statements of Work are likely to be IT-related, which saves significant manual effort and time required to identify relevant contracts.",,high_signal
63145,HHS,Internal Referral Module (IRM),Leidos and Highrise,eRA,c) Developed with both contracting and in-house resources,Classical/Predictive Machine Learning,Automated Assignment of Grants to Program Officers,The original IRM application grew out of a desire to refer applications to the appropriate Program Officer to manage the scientific research that fit their portfolio.  This manual referral of grant applications still exists within IRM and has been complemented by use of AI/NLP capabilities.,Aretec SEARCH (via 'SEARCH'),high_signal
63151,HHS,NanCI: Connecting Scientists,Google; Barnacle,NanCI Connecting Scientists Mobile App,a) Purchased from a vendor,Natural Language Processing (NLP),"NanCI phone/web application to connect scientists. The app uses AI to match scientific content to users' interests. By collecting papers into a folder, a user can engage the tool to find similar articles in the scientific literature and can refine the recommendations by up or down voting recommendations. Users can also connect with others via their interests and receive and make recommendations via this social network. Users: Cancer Research Trainees at NCI and across the USA.",Cancer research trainees indicate feeling overwhelmed by information and finding things of interest is a challenge. Furthermore they feel isolated. NanCI helps them home in on key content of interest and connect with others who share those interests.,Aretec SEARCH (via 'SEARCH'),high_signal
63152,HHS,NBS Virtual Assistant,H2O.GPTe,NIH Business System Cloud (NBSC),a) Purchased from a vendor,Generative AI,Service Desk Operations,"A robust knowledge base supports the NBSC user community, significantly reducing service requests to the ONBS Service Desk. This allows Subject Matter Experts (SMEs) to concentrate on critical operational and maintenance activities.",,high_signal
63153,HHS,"NCI-DOE Collaboration, MOSSAIC project (Modeling Outcomes using Surveillance Data and Scalable AI for Cancer)",development -- Oak Ridge National Lab; maintenance -- Information Management Services (IMS),SEER*Data Management System (SEER*DMS),c) Developed with both contracting and in-house resources,Natural Language Processing (NLP),"MOSSAIC applies deep learning natural language processing (NLP) and foundation models to population-based cancer data collected by NCI's Surveillance, Epidemiology, and End Results (SEER) program. DOE's Oak Ridge National Lab (ORNL) has data use agreements (DUAs) with multiple SEER registries to access and train models using SEER data. Two APIs are in production use in the data management system used by the SEER registries -- OncoID which predicts whether a pathology report is related to cancer and OncoIE which extracts key tumor characteristics from unstructured pathology report text.  Together these APIs are an important part of moving the US towards near real-time cancer incidence reporting.  In addition, a third API OncoMetsID, which predicts whether a pathology report is indicative of metastatic disease, is in a pilot phase to use in conjunction with other sources of information in the registries to identify recurrent disease.","MOSSAIC enhances the infrastructure of the SEER cancer registries by providing tools that can increase the efficiency and accuracy of manual data abstraction by automatically extracting cancer surveillance data elements.  SEER registries receive millions of unstructured clinical text documents that must be manually reviewed, leading to a lag in reporting of US cancer incidence trends.  Automated tools such as those developed by MOSSAIC will help us achieve near real-time incidence trends and ultimately a more meaningful report card on the status of cancer in the US.",,high_signal
63155,HHS,NIAMS AI Chatbot Pilot,Microsoft,,c) Developed with both contracting and in-house resources,Generative AI,"To provide a secure, protected environment for NIAMS staff (OD, EP, IRP and IT) to explore, test, and understand how to use AI to be more efficient with a wide variety of administrative tasks such as general research, summarizing/querying documents, drafting emails, generating programming code, and creating presentation outlines?, etc.","The Azure-hosted NIAMS GenAI Chatbot helps employees be more efficient with a wide variety of administrative tasks such as summarizing/querying documents, drafting emails, and creating presentation outlines?, etc.",Aretec SEARCH (via 'SEARCH'),high_signal
63167,HHS,SRDMS NLP COI,Deloitte,SRDMS NLP COI KP/KI Module,c) Developed with both contracting and in-house resources,Natural Language Processing (NLP),Scientific review officers need to identify individuals who may pose a conflict-of-interest (COI) during the grant application review process.,"SRDMS NLP COI is able to automate the identification of individuals who may pose a conflict-of-interest during the grant application review process, which saves significant time and effort by the SRO during application review and promotes consistency in identifying COIs.",,high_signal
63178,HHS,NIH Grants Virtual Assistant,Google,NIH Grants Virtual Assistant,a) Purchased from a vendor,Natural Language Processing (NLP),Provides easy access to grants information and policies.,Chat Bot to assist users in finding grant related information.,,high_signal
63181,HHS,Aivia,Leica,,a) Purchased from a vendor,Computer Vision,Provides machine-learning-based object classification in microscopy applications,"Provides AI-based segmentation, enhancement, and prediction in microscopy applications. This tool is utilized in support of research projects within NIEHS DIR and DTT laboratories.",Aretec SEARCH (via 'SEARCH'),high_signal
63200,HHS,TB DEPOT (Tuberculosis Data Exploration Portal),"Deloitte, Guidehouse, Research Data and Communication Technologies Corp.",NIAID TB Portals,c) Developed with both contracting and in-house resources,Classical/Predictive Machine Learning,"There was a lack of deidentified, multidimensional tuberculosis socioeconomic, clinical, imaging, and pathogen genomic data available for researchers to use in developing models and learning more about TB cases.",Provide a no-code application for users to explore and analyze multidimensional TB Portals data.,Aretec SEARCH (via 'SEARCH'),high_signal
63201,HHS,TB Portals Outlier Detection Lambda Function,"Deloitte, Guidehouse, Research Data and Communication Technologies Corp.",NIAID TB Portals,c) Developed with both contracting and in-house resources,Computer Vision,"The quality of chest X-ray (CXR) images uploaded by TB Portals Program partners varied significantly, and as the scale of images increased, NIAID needed a way to identify outliers in the imaging dataset.",Detect potential low-quality chest X Rays to flag as potentially being unsuitable for AI/ML training and flag for quality improvement.,Aretec SEARCH (via 'SEARCH'),high_signal
63208,HHS,MirBot,Technatomy Axle,,c) Developed with both contracting and in-house resources,Natural Language Processing (NLP),The AI tool addresses the challenge of efficiently and consistently processing incoming study PDFs by automatically extracting key information needed for grant review workflows.,"The AI tool helps maintain continuity in the grant review process by ensuring consistent extraction and presentation of key study information, even as experienced staff retire or transition. This reduces the training burden on new team members and preserves institutional knowledge through standardized workflows.",,high_signal
63223,HHS,Merops,Shabash,,a) Purchased from a vendor,Natural Language Processing (NLP),Automate and expedite copyediting of scientific manuscripts,More efficient and cost-effective source of copy-editing manuscripts.,,high_signal
63224,HHS,OSPIDA RPAB Scientific Coding Assistance Tool (CAT),Deloitte,SCORS Coding Assistance Tool (CAT),c) Developed with both contracting and in-house resources,Natural Language Processing (NLP),"OSPIDA's Referral Program and Analysis Branch (RPAB) is responsible for scientific coding assignments of grant applications. They assign scientific codes to grants based on different objectives, selecting from a list of over 3,000 scientific codes related to NIAID's research areas.",RPAB's Scientific CAT will significantly save time spent on the initial manual assignment of scientific codes and promote consistency in coding across applications.,Aretec SEARCH (via 'SEARCH'),high_signal
63244,HHS,Leveraging NLP and LLMs to identify and characterize NIH prevention research via 160-topic taxonomy,"Microsoft Azure, Westat",Microsoft Azure,c) Developed with both contracting and in-house resources,Generative AI,Semi-automate manual curation,More timely assessments of NIH spending in specific areas within prevention research.,Aretec SEARCH (via 'SEARCH'),high_signal
63249,HHS,NIH Travel Policy AI Chatbot,Infer Solutions,,c) Developed with both contracting and in-house resources,Generative AI,"The AI-powered chatbot is designed to address a key operational challenge: the high volume of routine travel policy inquiries directed toward NIH administrative staff. These questions, often repetitive and time-consuming, divert valuable human resources from more complex and strategic responsibilities.Specifically, the AI chatbot leverages Generative Artificial Intelligence (AI) to provide accurate, consistent, and real-time responses to questions related to the Federal Travel Regulation (FTR) and the NIH Travel Policy Handbook. By doing so, it significantly reduces the dependency on staff to manually research and craft responses to standard inquiries. In addition, the chatbot serves as the foundation for a self-service portal for the NIH community. This portal empowers employees and stakeholders to independently access authoritative travel policy guidance 24/7improving efficiency, enhancing user experience, and ensuring policy compliance across the organization.","The Office of Financial Management (OFM) envisions this AI-powered chatbot as a critical support tool for NIH staff during the upcoming transition to a self-service travel planning model, aligned with the government-wide shift to GSAs ETS Next travel system, recently named GO.gov. With this transition slated to begin in 2026, the chatbot will serve as an intelligent, always-available assistant that simplifies the travel planning process for thousands of NIH employees. Enhanced Operational Efficiency.Improved User Experience for NIH Staff.Support for a Modern, Self-Service Government.Increased Compliance and Accuracy.Indirect cost benefit to public. Up to 6080% reduction in inquiry volume handled by human agents. 160 FTE hours saved per month at the central NIH Travel office. 1000 FTE hours saved per month across the IC Community Travel offices. Drastic reductions in average response times, often from days or hours down to seconds.",Aretec SEARCH (via 'SEARCH'),high_signal
63253,HHS,AI Harvest Service,Tyler Technologies,HealthData.gov,a) Purchased from a vendor,Generative AI,"The Harvest Service addresses inconsistent or incomplete metadata across distributed HHS open data sources by normalizing descriptions, creating concise summaries, and tagging data assets for improved searchability","Enhanced discoverability of HHS  data from distributed agency-owned systems; improved user accessibility of health- and human-related data; faster identification of relevant data assets for researchers, policymakers, and the public; and increased value of open data investments.",Descript (via 'Descript') | Aretec SEARCH (via 'SEARCH'),high_signal
63255,HHS,Similar Opportunities (KNN),MicroHealth,Grants.gov Cloud,a) Purchased from a vendor,Natural Language Processing (NLP),Agencies do not receive the highest number of proposals from capable applicants as applications generally tend to come from the same set of applicants.,Increase the quality and capability of applicants submitting grant proposals to federal agencies.,,high_signal
63256,HHS,Applicant Help Chatbot,Business Performance Systems,Grants.gov Cloud,a) Purchased from a vendor,Natural Language Processing (NLP),Answer user questions about Grants.gov,Faster answers to questions at a lower cost,,high_signal
63257,HHS,GrantSolutions Text Analyzer Tool,Internal Federal Shared Service (GrantSolutions),GrantSolutions,c) Developed with both contracting and in-house resources,Natural Language Processing (NLP),Program staff authoring NOFOs need capabilities to simplify language and ensure NOFOs remain compliant with the Plain Writing Act of 2010.,"Automates repetitive workflows, reduces manual effort, delivers actionable insights, and accelerates accurate, transparent decisions across the grant lifecycle.",,high_signal
